nlc,asc,station,fare_zone,total,early,am_peak,midday,pm_peak,evening,late,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
750,ABRd,Abbey Road,2/3,1689.7400473759817,96.24031670000002,261.5311568,714.2708072800001,321.12688122,220.22397062,76.34691475598112,1.80774012,4.14097592,7.43166592,11.17980018,14.44593108,17.545399760000002,19.45263656,20.23616716,20.608590000000003,20.4980686,18.9699045,18.7428082,18.9290086,18.67323622,20.93251392,23.024318820000005,24.58198472,24.959479620000003,25.7886609,25.8225827,25.0089198,25.2986189,25.759375400000003,27.0185908,28.311737200000007,30.297351500000005,30.779415000000007,31.0389556,30.358473000000004,29.0411388,27.946452,28.8642696,29.0418842,28.88919232,30.55203972,32.537473320000004,31.72570912,32.49205692,34.6540774,34.0208342,31.67483872,30.60097312,29.821308720000005,28.53712192,27.70532452,27.168453140000004,26.87717554,26.30371254,26.40453754,25.95740174,26.543474,26.9115852,27.695120800000005,26.4424888,26.424437399999995,26.69317,27.9068122,26.2876758,24.743551,23.01694906,20.64393278,17.177378760000003,15.64470936,14.741134980000002,13.3894758,12.779088180000002,12.18082212,11.71244058,10.646697520000002,11.54885172,11.1971889,10.49310718,9.67141508,9.261438452,6.280719491011862,4.11030367609486,2.21373733519622,0.92303317519622,0.00041844319622,3.52418436e-06,2.5910136e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1404,ACCr,Acton Central,3,2306.499525200001,68.54745460000001,341.0292773,1205.507579,423.38186930000006,191.50206766000005,76.53127733999999,0.0,0.36376358,1.8419967200000005,4.706314420000001,8.098349220000001,12.58199502,19.17491584,21.7801198,23.474017100000005,23.58405156,24.48160556,24.02204436,26.10931786,27.45583406,29.4800384,30.49500680000001,31.2294476,31.2459978,33.0925004,36.3594158,37.3898722,39.9991576,44.254615,47.177102600000005,50.0276982,52.3357438,56.0831108,58.02022120000001,60.5643568,60.121686,63.94587720000001,60.8760576,61.969863200000006,60.55871880000001,60.49054480000001,56.025837,53.6301526,45.16228460000001,43.5526066,39.42126200000001,38.0588504,38.2575144,40.3836858,37.2007598,37.28593400000001,35.30884366,33.32504506,32.99103706,33.01612086,32.59510126000001,34.6089782,37.1966812,38.3016276,37.8596842,38.0444262,32.84839,28.3053194,24.34662366,21.64123746,17.611029780000003,18.2547705,16.3009884,14.048915180000002,11.99562098,11.47233438,9.71896036,8.62875342,9.17751414,10.138554940000002,10.17651878,11.97413614,11.36742724,10.21585882,7.73627372,6.531514659999999,3.2710382,2.53952594,1.4502266,1.1302023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000,AMLr,Acton Main Line,3,1704.15269795,55.10540412,248.86894506000007,860.62023482,316.61617308,183.86062735,39.08131352,1.7863855200000005,2.7810170000000003,4.463277660000001,6.6855176,7.04282628,9.41140834,12.04356936,10.89140236,11.810735760000002,14.201226400000005,15.535241000000005,15.867235860000005,19.778812400000003,21.345547000000003,22.175772360000003,22.83026992,24.52214176,25.65474104,27.004906540000004,28.14231502,29.05597966,30.83224446,32.27803132,32.703747760000006,34.94917588,35.13194528,34.92360740000001,36.01615436,38.78369182,41.82502602,45.449336220000006,47.60201370000001,47.7011154,45.1633166,42.936885,39.44759886,35.41121032000001,32.541875919999995,31.632203240000003,29.24822878,29.78461032000001,29.642854140000004,28.926273540000004,28.63310882,27.86668408000001,26.48362948,27.06420608,26.877246560000003,27.17529516,27.976514300000005,27.510001440000003,26.33950530000001,26.99752142,24.519234760000003,24.706426420000007,23.09990808,22.604387460000005,21.00407966,21.51399712,18.20615892,18.30913378,16.0459104,14.796385080000002,11.90330033,11.75608893,9.54964975,9.82478109,8.34675483,8.737115020000001,6.50549143,6.538245262,4.634328068,4.835481848000001,3.0254878080000003,2.649212598,1.185810486,0.970141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,ACTu,Acton Town,3,7063.48404088866,248.694364156,1046.4244146659998,3313.0979078600003,1450.7175957800002,708.0907693,296.4589891266604,8.902271848000002,13.622575532,19.9271075,25.53119126,33.089132878,40.121006278,49.458900454,58.04217840599999,63.785971886,65.51061254,72.42376166,76.960338,80.12406447999999,83.30964975999999,90.04730952,92.83347528,94.5202256,100.8147503,109.16923816,116.92501747999998,119.00257779999998,122.57714108000002,125.74304726000004,131.25940536,133.9168703,138.75496582,145.3374045,149.82151688,146.74394874,148.2820338,152.67176340000003,151.45526492,147.5909724,148.40618014000003,147.7047778,142.7644234,141.29736228000002,138.02284004,136.72868116,132.79610036,132.42111036,126.51359662,127.14671508,126.13920836,125.34793650000005,123.04443610000004,126.14537556,127.0269042,125.98113706,125.21202720000002,122.56121914,123.15094514,119.41469274000002,115.71388348000002,110.27621634,106.84282232,96.13628336,85.72180286000001,79.01780620000001,72.06266856,63.09911804,57.75750394000001,53.67285838,46.80330852,42.59026464,38.41081058000001,36.99073468,35.82760954,35.19713169400001,34.17198216400001,35.010455144000005,32.236102916,29.506583842,26.262954348,23.51973103985487,19.92977632680487,14.637377971578472,10.39458926938947,6.45092500662407,2.9642937471832,0.0043743771071999,0.0012890004396,0.0002274227586,0.000284848708,0.000257866294,0.0001600294199999,0.000106349314,6.730318400000001e-05,0.92,1.5812911120000002,2.223204712,3.120705152,4.162950252000001,5.375554352000002,4.714263240000001,4.0723496400000005
9441,ADVt,Addington Village,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9440,ADSt,Addiscombe,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502,ALDu,Aldgate,1,6345.76009709678,103.571388424,678.4913547534001,2701.652615321,1447.27875795416,892.390876994954,522.375103649266,3.0969116000000003,4.361903788600001,5.9785017998,9.9635408298,13.6328657598,17.0202353418,22.0899910982,27.427438206,28.6024313758,28.336471521800004,32.712963594,34.437082386,37.486569408200005,42.9575374842,52.42570351420001,61.87662563199999,72.691453681,82.923263641,97.87599758420002,106.16525493100002,114.11088748300004,116.294237551,121.6101323886,119.0622663962,119.2290027614,113.8590659094,116.2206329474,113.8319201606,115.005007632,116.903440818,124.4150948448,123.48273306080002,122.0939336478,118.21743552619998,115.3544241342,111.10110401380004,109.3600764756,104.9683303738,102.7832494042,98.1029722322,93.745344738,94.884784523,106.9803763158,110.0361619832,114.7421799324,119.2481124338,119.751006513,114.673348035,118.09817291379998,118.1705158556,120.04344614110002,122.87137713020002,127.120325196,125.79654606760002,126.66475809968,120.09896963598,110.11039274062,96.70628070886002,86.36658060676001,75.06017847708002,65.61607069812001,63.02238934422001,65.49563447318,65.857998348254,67.971098634914,68.01186405239399,67.23158301656599,60.940805893986,61.514039571792,61.028568447238015,65.13180649373001,62.75743861216201,61.76816801273,57.57433081935002,50.04276661384401,39.48053560143201,30.008070366988,19.570124974,9.863856692,3.629282422,0.0061150219999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503,ALEu,Aldgate East,1,15780.92010873445,167.42516490000003,1232.7769607,6786.6713098,3827.8695976,2371.0727928,1395.104282934448,5.563304100000002,9.512224500000002,12.9197201,19.7464897,23.65961504,26.41701338,31.67849238,37.9283057,40.557817500000006,44.15605496,51.07286892,56.070081520000016,65.15628780000002,74.87728100000001,91.162057,112.2827256,137.34406040000002,160.88435120000003,188.329212,210.8841628,224.717117,232.6784422,242.6377362,257.6283568,263.6310768,265.00276160000004,273.0486976,280.8386636,272.9499826,278.22013360000005,291.70010400000007,295.0374492,295.5668472,298.9615586,297.0951996,298.5171364,297.589572,297.7965004,300.66183920000003,303.39311720000006,303.4817276,300.40979680000004,305.23934340000005,309.86815020000006,313.30401220000005,312.336965,323.6357720000001,328.876095,335.224433,331.5947838000001,334.8271068,332.0122626,324.0690446,307.49746460000006,299.9811852,284.5104728,268.922746,246.2584386,229.2038646000001,214.4208824,198.3378204,185.609427,179.219751,173.3584174,172.6514482,168.738308,167.0400424,167.3116468,168.677269,161.1968908,163.0485214,155.5240688,151.9662638,140.8031912,128.2491294,110.93080198,90.52161958,59.96575962688955,38.28942762688956,20.78133962688955,5.15000004688955,4.688955e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
850,ALSd,All Saints,2,2096.4734531111308,40.44509875000001,237.09140944,1075.6672696000005,422.0868846,230.48042364000003,90.7023670811298,1.17363177,1.76201693,2.96721329,4.26947331,5.692002590000001,6.452355260000001,8.367596500000001,9.7608091,11.81958228,12.948696900000002,14.47540428,15.488485280000004,16.32230144,16.52308584,18.47985538,20.91822412,23.915639320000004,25.9025232,29.2640756,31.033535800000003,32.619645600000005,34.0656778,37.509208400000006,40.08456400000001,42.18282980000001,42.953633,42.89465319999999,42.6688654,43.7978398,44.65423980000001,46.2628342,48.2322226,49.05160480000001,49.2351776,49.44825420000001,49.653957600000005,49.36967620000001,49.14363900000001,46.7166756,46.7080704,46.9802972,46.13700800000001,47.3564492,47.9402462,46.1199116,43.8383594,42.7470164,39.018821200000005,36.1955534,35.483531,33.5360846,31.3487446,30.843657200000003,29.4715386,27.2113176,26.272349,25.77860800000001,23.9332738,23.1484027,22.15609762,21.14747096,19.78559486,18.26651152,17.1183665,16.10230146,15.616603200000002,14.1421252,13.285067820000002,12.69247618,11.92110442,11.05729566,11.81883786,11.974733120000002,11.09405436,8.8468313581796,6.413034417193967,3.517302848144868,1.366527124225962,9.3644225962e-05,5.0726046362e-05,2.5347031996e-05,1.6081094e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505,ALPu,Alperton,4,3022.2705707252,199.3446901,537.9103711199999,1248.4169261800002,632.4336472,319.58542782000006,84.57950830520002,5.02679946,17.303280859999997,20.866734120000007,25.043556400000007,27.7680048,29.45187084,32.66846324,41.21598038,44.66836298,47.79248898,53.23126627999999,47.547335180000005,43.97677388,42.7437388,44.5164782,44.02350059999999,43.05429195999999,40.89872426,43.13048176,42.32692823999999,42.53039010000001,42.91611624,45.15449284,46.16912214,46.48167352,46.26402466,46.82544126,48.597026060000005,49.53890186,50.96056320000001,52.8602394,54.2945344,54.483875600000005,55.9725596,59.8449562,60.480577800000006,60.99889300000001,61.059359400000005,59.1450601,54.86322290000001,52.8108615,51.7612863,51.7992773,52.604470800000016,53.715780400000014,55.3112392,55.7055746,54.7278124,53.417627800000005,54.2291802,53.6628166,52.531173800000005,52.8070674,52.02680180000001,48.983917,45.31465600000001,42.1347658,38.90082540000001,35.32918180000001,32.272541000000004,27.88376724,26.67168104,23.044327839999998,21.56223724,19.80967356,18.71081132,16.741463720000006,16.524151860000003,13.87068754,12.291850620000002,11.73672392,10.148347480000002,9.10689146,9.09425398,7.180211119999998,5.505477435259998,3.50323626744,1.64318453644,0.4904897450400001,0.0029634050399999,0.00251198978,0.0016491976,0.0010296086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
