Source Station,Target Station,Weight
St. Jamess Park,Westminster,25
Oval,Stockwell,196
East Finchley,Highgate,111
Latimer Road,Wood Lane,67
Covent Garden,Leicester Square,36
Dagenham East,Elm Park,174
North Harrow,Pinner,51
Manor House,Turnpike Lane,352
Hanger Lane,Perivale,121
Burnt Oak,Colindale,542
Croxley,Moor Park,15
Hatton Cross,Heathrow Terminals 1 2 3,325
Charing Cross,Piccadilly Circus,75
Redbridge,Wanstead,105
Finchley Central,Mill Hill East,99
Blackhorse Road,Walthamstow Central,1387
Sloane Square,Victoria,183
Kennington,Nine Elms,57
Goodge Street,Tottenham Court Road,49
Acton Town,Turnham Green,185
Eastcote,Ruislip Manor,52
Highbury and Islington,Kings Cross St. Pancras,194
Brixton,Stockwell,664
Bounds Green,Wood Green,529
Sudbury Hill,Sudbury Town,107
Leicester Square,Piccadilly Circus,99
Monument,Cannon Street,43
Oakwood,Southgate,232
Lambeth North,Waterloo,133
Monument,Moorgate,231
Monument,St. Pauls,34
Alperton,Park Royal,74
Kensal Green,Willesden Junction,184
Acton Town,Chiswick Park,77
East Acton,White City,63
Cannon Street,Mansion House,18
Goldhawk Road,Shepherds Bush Market,90
Harrow-on-the-Hill,West Harrow,158
Turnpike Lane,Wood Green,644
Bayswater,Notting Hill Gate,34
North Acton,West Acton,67
Balham,Tooting Bec,194
Barons Court,Earls Court,121
Arnos Grove,Bounds Green,262
Caledonian Road,Kings Cross St. Pancras,133
High Street Kensington,Notting Hill Gate,56
Colindale,Hendon Central,360
Stepney Green,Whitechapel,94
Holland Park,Notting Hill Gate,42
Balham,Clapham South,194
Ravenscourt Park,Stamford Brook,41
Ruislip Gardens,West Ruislip,76
Boston Manor,Osterley,64
Kentish Town,Tufnell Park,57
Paddington,Warwick Avenue,218
Barbican,Farringdon,65
Fulham Broadway,Parsons Green,68
Pimlico,Victoria,198
Parsons Green,Putney Bridge,77
Shepherds Bush Market,Wood Lane,111
Finsbury Park,Manor House,329
Euston,Kings Cross St. Pancras,266
Green Park,Westminster,47
Camden Town,Kentish Town,69
Ealing Common,North Ealing,31
Maida Vale,Warwick Avenue,35
Debden,Loughton,83
Kilburn Park,Queens Park,76
Bow Road,Mile End,100
Oxford Circus,Warren Street,44
Clapham North,Stockwell,269
Borough,Elephant and Castle,76
Hyde Park Corner,Knightsbridge,21
Burnt Oak,Edgware,387
Kings Cross St. Pancras,Russell Square,108
Clapham Common,Clapham South,214
Embankment,Westminster,55
Fulham Broadway,West Brompton,46
Northwood Hills,Pinner,40
Harlesden,Willesden Junction,230
Canada Water,Canary Wharf,335
Ickenham,Ruislip,27
Holland Park,Shepherds Bush,96
Barons Court,West Kensington,100
Battersea Power Station,Nine Elms,46
Barbican,Moorgate,107
Acton Town,South Ealing,93
Buckhurst Hill,Woodford,105
Baker Street,Finchley Road,76
Heathrow Terminal 4,Heathrow Terminals 1 2 3,209
Moor Park,Northwood,41
Dagenham East,Dagenham Heathway,369
Harrow-on-the-Hill,Northwick Park,196
Monument,Waterloo,246
Hillingdon,Uxbridge,178
Monument,London Bridge,407
Earls Court,High Street Kensington,140
Euston,Mornington Crescent,95
Mile End,Stratford,929
Harrow and Wealdstone,Kenton,333
Plaistow,Upton Park,404
Goodge Street,Warren Street,21
East Acton,North Acton,118
Leytonstone,Snaresbrook,147
Aldgate,Liverpool Street,241
