Hounslow Central,Hounslow East,227
Blackfriars,Mansion House,53
Boston Manor,Northfields,83
Aldgate East,Liverpool Street,369
St. Jamess Park,Victoria,157
Eastcote,Rayners Lane,101
South Harrow,Sudbury Hill,101
Green Park,Oxford Circus,69
Barking,East Ham,1198
Northfields,South Ealing,86
Camden Town,Mornington Crescent,42
Green Park,Victoria,271
Blackfriars,Temple,43
East Finchley,Finchley Central,182
Barkingside,Newbury Park,224
Camden Town,Chalk Farm,48
Holborn,Tottenham Court Road,98
Brent Cross,Hendon Central,211
Covent Garden,Holborn,28
Barkingside,Fairlop,114
Green Park,Piccadilly Circus,49
North Ealing,Park Royal,19
Cockfosters,Oakwood,83
Preston Road,Wembley Park,177
Hounslow Central,Hounslow West,200
Bermondsey,London Bridge,361
Chiswick Park,Turnham Green,75
Clapham Common,Clapham North,214
Oxford Circus,Piccadilly Circus,62
Totteridge and Whetstone,Woodside Park,127
West Finchley,Woodside Park,78
Paddington,Royal Oak,223
South Woodford,Woodford,182
Fairlop,Hainault,224
Euston Square,Kings Cross St. Pancras,122
Chorleywood,Rickmansworth,29
Hillingdon,Ickenham,56
Baker Street,Bond Street,46
Canning Town,North Greenwich,591
Baker Street,Regents Park,18
Kew Gardens,Richmond,175
Pimlico,Vauxhall,154
Chalfont and Latimer,Chorleywood,33
Kennington,Oval,109
Aldgate,Tower Hill,57
Bromley-by-Bow,West Ham,139
Stockwell,Vauxhall,357
Oxford Circus,Tottenham Court Road,113
Finchley Central,West Finchley,130
Angel,Old Street,64
Arnos Grove,Southgate,211
Monument,Liverpool Street,480
Ladbroke Grove,Latimer Road,43
Southfields,Wimbledon Park,110
Holborn,Russell Square,33
Harrow-on-the-Hill,North Harrow,179
Canons Park,Stanmore,179
Ruislip Gardens,South Ruislip,90
Caledonian Road,Holloway Road,51
Hanger Lane,North Acton,166
Oxford Circus,Regents Park,18
Bond Street,Oxford Circus,65
Northolt,South Ruislip,332
Rayners Lane,West Harrow,82
Moorgate,Old Street,153
Edgware Road (Bakerloo),Paddington,238
Aldgate East,Whitechapel,99
Green Park,Hyde Park Corner,21
East Putney,Southfields,134
Angel,Kings Cross St. Pancras,165
Royal Oak,Westbourne Park,43
Chancery Lane,Holborn,26
Canons Park,Queensbury,375
Arsenal,Holloway Road,51
Grange Hill,Hainault,144
Amersham,Chalfont and Latimer,70
London Bridge,Southwark,240
Embankment,Waterloo,218
Morden,South Wimbledon,568
Rayners Lane,South Harrow,105
Borough,London Bridge,204
Leytonstone,Wanstead,197
East Putney,Putney Bridge,94
Heathrow Terminal 5,Heathrow Terminals 1 2 3,205
Hatton Cross,Heathrow Terminal 4,163
Earls Court,Kensington (Olympia),60
Knightsbridge,South Kensington,42
Edgware Road (Bakerloo),Marylebone,24
Hounslow East,Osterley,172
Dollis Hill,Neasden,140
Debden,Theydon Bois,67
Kensal Green,Queens Park,113
Hatton Cross,Hounslow West,259
Bethnal Green,Mile End,142
Camden Town,Euston,232
Canary Wharf,North Greenwich,556
Charing Cross,Leicester Square,103
Snaresbrook,South Woodford,76
Euston Square,Great Portland Street,11
Northwood,Northwood Hills,29
North Wembley,Wembley Central,244
Colliers Wood,Tooting Broadway,456
Embankment,Temple,29
Colliers Wood,South Wimbledon,300
Farringdon,Kings Cross St. Pancras,210
Archway,Tufnell Park,113
Alperton,Sudbury Town,115
Greenford,Northolt,365
Canning Town,West Ham,581
Chigwell,Roding Valley,41
Epping,Theydon Bois,169
Finsbury Park,Seven Sisters,747
East Ham,Upton Park,755
Bond Street,Green Park,48
Elm Park,Hornchurch,112
Roding Valley,Woodford,67
Stonebridge Park,Wembley Central,256
Becontree,Upney,248
Gunnersbury,Kew Gardens,57
Kingsbury,Queensbury,325
Kilburn,Willesden Green,190
Charing Cross,Embankment,76
Arsenal,Finsbury Park,182
Gloucester Road,South Kensington,65
Gunnersbury,Turnham Green,94
Neasden,Wembley Park,210
Monument,Tower Hill,125
Belsize Park,Chalk Farm,35
Sloane Square,South Kensington,41
Upminster,Upminster Bridge,180
Finchley Road,Swiss Cottage,51
Plaistow,West Ham,286
Croxley,Watford,44
Earls Court,Gloucester Road,146
Earls Court,West Kensington,216
Baker Street,Marylebone,55
Kenton,South Kenton,194
Blackhorse Road,Tottenham Hale,908
Becontree,Dagenham Heathway,342
Chancery Lane,St. Pauls,13
Brent Cross,Golders Green,142
Elephant and Castle,Lambeth North,78
Waterloo,Westminster,182
Euston,Warren Street,62
Baker Street,Great Portland Street,30
High Barnet,Totteridge and Whetstone,147
Kilburn,West Hampstead,143
Ruislip,Ruislip Manor,43
Leyton,Stratford,713
Southwark,Waterloo,154
Liverpool Street,Moorgate,478
Barking,Upney,777
Ladbroke Grove,Westbourne Park,51
Bow Road,Bromley-by-Bow,50
Mile End,Stepney Green,104
Aldgate East,Tower Hill,91
Shepherds Bush,White City,151
Chalfont and Latimer,Chesham,60
Lancaster Gate,Marble Arch,29
Seven Sisters,Tottenham Hale,710
Belsize Park,Hampstead,42
Finchley Road,Wembley Park,202
Earls Court,West Brompton,165
Wimbledon,Wimbledon Park,510
Leyton,Leytonstone,457
Leicester Square,Tottenham Court Road,139
North Wembley,South Kenton,159
Kilburn Park,Maida Vale,47
Hornchurch,Upminster Bridge,63
Northwick Park,Preston Road,107
Bermondsey,Canada Water,178
Gants Hill,Redbridge,297
Lancaster Gate,Queensway,23
Dollis Hill,Willesden Green,193
Kennington,Waterloo,278
Archway,Highgate,133
Bayswater,Paddington,180
Acton Town,Ealing Common,82
Moor Park,Rickmansworth,24
Stratford,West Ham,1041
Tooting Bec,Tooting Broadway,343
Golders Green,Hampstead,101
Elephant and Castle,Kennington,179
Ealing Broadway,West Acton,179
Bethnal Green,Liverpool Street,265
Bond Street,Marble Arch,39
Gloucester Road,High Street Kensington,48
Harlesden,Stonebridge Park,156
Finsbury Park,Highbury and Islington,219
Stamford Brook,Turnham Green,89
Kingsbury,Wembley Park,275
Baker Street,St. Johns Wood,54
Gants Hill,Newbury Park,382
Notting Hill Gate,Queensway,55
Chigwell,Grange Hill,43
St. Johns Wood,Swiss Cottage,29
Ealing Broadway,Ealing Common,215
Greenford,Perivale,222
Finchley Road,West Hampstead,81
Buckhurst Hill,Loughton,66
Source Station,Target Station,Weight
Hatton Cross,Heathrow Terminal 4,164
Harrow-on-the-Hill,North Harrow,161
Kennington,Oval,120
Barons Court,Earls Court,188
Amersham,Chalfont and Latimer,70
Knightsbridge,South Kensington,42
Baker Street,Marylebone,51
Eastcote,Ruislip Manor,47
Acton Town,Ealing Common,88
Bermondsey,London Bridge,284
Lancaster Gate,Marble Arch,44
Oakwood,Southgate,212
Leyton,Stratford,682
Greenford,Northolt,393
Chalfont and Latimer,Chorleywood,41
Gloucester Road,South Kensington,67
Roding Valley,Woodford,98
Barbican,Moorgate,120
North Wembley,South Kenton,140
Bond Street,Green Park,43
Caledonian Road,Holloway Road,38
Maida Vale,Warwick Avenue,28
Green Park,Victoria,302
Dagenham East,Dagenham Heathway,381
Hanger Lane,North Acton,133
Turnpike Lane,Wood Green,586
Edgware Road (Bakerloo),Paddington,191
Ruislip Gardens,South Ruislip,92
Manor House,Turnpike Lane,283
Oxford Circus,Piccadilly Circus,55
Stamford Brook,Turnham Green,62
Camden Town,Mornington Crescent,50
Totteridge and Whetstone,Woodside Park,119
Bayswater,Notting Hill Gate,46
Ealing Broadway,Ealing Common,232
East Putney,Southfields,141
Covent Garden,Leicester Square,50
Monument,Cannon Street,28
Euston Square,Kings Cross St. Pancras,112
Earls Court,Gloucester Road,139
Boston Manor,Osterley,84
Baker Street,Great Portland Street,37
Chalfont and Latimer,Chesham,52
Monument,Waterloo,241
Blackhorse Road,Tottenham Hale,925
Stepney Green,Whitechapel,94
Hanger Lane,Perivale,141
Stockwell,Vauxhall,394
Earls Court,West Brompton,145
Charing Cross,Leicester Square,123
Buckhurst Hill,Loughton,57
Gants Hill,Newbury Park,476
Leytonstone,Wanstead,186
Monument,Moorgate,239
Chorleywood,Rickmansworth,34
Leytonstone,Snaresbrook,154
Eastcote,Rayners Lane,105
Bromley-by-Bow,West Ham,147
Embankment,Temple,38
Shepherds Bush Market,Wood Lane,123
Brent Cross,Hendon Central,211
Burnt Oak,Colindale,545
Finchley Road,Wembley Park,233
Canning Town,North Greenwich,608
Belsize Park,Hampstead,29
Barking,East Ham,1249
East Finchley,Finchley Central,197
Barkingside,Fairlop,88
Northolt,South Ruislip,257
South Woodford,Woodford,131
Hounslow East,Osterley,178
Clapham Common,Clapham South,236
Morden,South Wimbledon,623
Croxley,Watford,41
Kensal Green,Willesden Junction,177
Chancery Lane,Holborn,32
Kennington,Waterloo,251
Elm Park,Hornchurch,157
Covent Garden,Holborn,27
East Acton,White City,84
Bow Road,Bromley-by-Bow,55
Dollis Hill,Neasden,164
North Wembley,Wembley Central,246
Aldgate East,Whitechapel,102
Royal Oak,Westbourne Park,34
Kennington,Nine Elms,47
Chigwell,Roding Valley,35
Southfields,Wimbledon Park,108
Preston Road,Wembley Park,206
North Acton,West Acton,61
Kilburn Park,Maida Vale,41
Paddington,Warwick Avenue,214
Seven Sisters,Tottenham Hale,805
St. Jamess Park,Victoria,164
Snaresbrook,South Woodford,82
Finsbury Park,Highbury and Islington,208
East Putney,Putney Bridge,96
High Street Kensington,Notting Hill Gate,48
Moor Park,Rickmansworth,15
Farringdon,Kings Cross St. Pancras,204
Barking,Upney,729
Oval,Stockwell,177
Finchley Central,West Finchley,150
Elephant and Castle,Kennington,149
Ravenscourt Park,Stamford Brook,41
Heathrow Terminal 4,Heathrow Terminals 1 2 3,203
Redbridge,Wanstead,122
Monument,St. Pauls,24
Mile End,Stepney Green,107
Gloucester Road,High Street Kensington,65
Arnos Grove,Southgate,243
Oxford Circus,Tottenham Court Road,105
Kingsbury,Queensbury,346
Clapham North,Stockwell,218
Fairlop,Hainault,208
Aldgate,Liverpool Street,204
Harrow-on-the-Hill,Northwick Park,202
Hillingdon,Ickenham,57
Baker Street,Finchley Road,75
Alperton,Park Royal,79
Rayners Lane,South Harrow,113
Holborn,Russell Square,32
Shepherds Bush,White City,135
Burnt Oak,Edgware,372
East Acton,North Acton,118
Embankment,Westminster,54
Kilburn Park,Queens Park,99
Ealing Broadway,West Acton,167
Harrow-on-the-Hill,West Harrow,146
Kilburn,Willesden Green,185
Finchley Road,Swiss Cottage,34
Northfields,South Ealing,60
Charing Cross,Embankment,82
Rayners Lane,West Harrow,75
Barkingside,Newbury Park,249
Northwood,Northwood Hills,48
Ealing Common,North Ealing,21
Dollis Hill,Willesden Green,172
Kew Gardens,Richmond,171
Harrow and Wealdstone,Kenton,341
Bond Street,Oxford Circus,62
Notting Hill Gate,Queensway,48
Ickenham,Ruislip,33
Kings Cross St. Pancras,Russell Square,79
Edgware Road (Bakerloo),Marylebone,26
Canons Park,Stanmore,169
Finsbury Park,Seven Sisters,768
Dagenham East,Elm Park,206
Epping,Theydon Bois,137
Finchley Central,Mill Hill East,96
Baker Street,Bond Street,54
West Finchley,Woodside Park,77
Ladbroke Grove,Westbourne Park,35
Upminster,Upminster Bridge,166
Finchley Road,West Hampstead,84
Bow Road,Mile End,103
Earls Court,Kensington (Olympia),68
Canons Park,Queensbury,393
Alperton,Sudbury Town,100
Kilburn,West Hampstead,135
Blackhorse Road,Walthamstow Central,1331
Bayswater,Paddington,204
Northwick Park,Preston Road,88
Gunnersbury,Kew Gardens,73
Fulham Broadway,Parsons Green,50
Chancery Lane,St. Pauls,11
Becontree,Upney,221
Waterloo,Westminster,218
Southwark,Waterloo,133
Canary Wharf,North Greenwich,520
Colindale,Hendon Central,409
Archway,Tufnell Park,109
Kenton,South Kenton,171
Cannon Street,Mansion House,26
Heathrow Terminal 5,Heathrow Terminals 1 2 3,226
Grange Hill,Hainault,213
Blackfriars,Mansion House,67
Hornchurch,Upminster Bridge,71
Neasden,Wembley Park,237
North Ealing,Park Royal,14
Canada Water,Canary Wharf,366
Blackfriars,Temple,55
Arsenal,Finsbury Park,199
Moorgate,Old Street,133
Archway,Highgate,145
Green Park,Westminster,37
Arnos Grove,Bounds Green,257
Chiswick Park,Turnham Green,68
Embankment,Waterloo,235
Green Park,Piccadilly Circus,70
Leyton,Leytonstone,475
Goldhawk Road,Shepherds Bush Market,67
North Harrow,Pinner,56
Acton Town,Turnham Green,189
Liverpool Street,Moorgate,475
Debden,Theydon Bois,85
Northwood Hills,Pinner,46
Holborn,Tottenham Court Road,116
High Barnet,Totteridge and Whetstone,142
Stonebridge Park,Wembley Central,289
Borough,London Bridge,209
Hatton Cross,Heathrow Terminals 1 2 3,345
Aldgate East,Liverpool Street,327
Baker Street,St. Johns Wood,49
Stratford,West Ham,1046
Bermondsey,Canada Water,196
Ruislip,Ruislip Manor,42
Latimer Road,Wood Lane,60
Fulham Broadway,West Brompton,46
Hillingdon,Uxbridge,166
Paddington,Royal Oak,228
Borough,Elephant and Castle,118
Angel,Kings Cross St. Pancras,131
Brixton,Stockwell,735
Clapham Common,Clapham North,200
Pimlico,Victoria,220
Barbican,Farringdon,57
St. Johns Wood,Swiss Cottage,30
Baker Street,Regents Park,21
Acton Town,Chiswick Park,70
Camden Town,Kentish Town,78
Kingsbury,Wembley Park,312
Bounds Green,Wood Green,509
Camden Town,Euston,228
Lancaster Gate,Queensway,35
Arsenal,Holloway Road,55
Oxford Circus,Warren Street,35
Wimbledon,Wimbledon Park,517
Chigwell,Grange Hill,41
Sloane Square,South Kensington,37
Belsize Park,Chalk Farm,30
Parsons Green,Putney Bridge,71
Sudbury Hill,Sudbury Town,120
Holland Park,Shepherds Bush,90
Hatton Cross,Hounslow West,237
Goodge Street,Warren Street,16
Monument,Tower Hill,106
Lambeth North,Waterloo,122
Brent Cross,Golders Green,118
Harlesden,Willesden Junction,206
Hounslow Central,Hounslow West,207
Euston,Mornington Crescent,104
Balham,Clapham South,228
Ruislip Gardens,West Ruislip,70
Greenford,Perivale,205
Gunnersbury,Turnham Green,89
Monument,London Bridge,384
Goodge Street,Tottenham Court Road,45
Becontree,Dagenham Heathway,356
Bond Street,Marble Arch,25
Green Park,Oxford Circus,84
Euston Square,Great Portland Street,15
Hounslow Central,Hounslow East,245
Bethnal Green,Liverpool Street,248
Colliers Wood,Tooting Broadway,455
Mile End,Stratford,939
Finsbury Park,Manor House,349
Aldgate,Tower Hill,82
Leicester Square,Tottenham Court Road,117
Euston,Warren Street,89
Bethnal Green,Mile End,113
London Bridge,Southwark,223
Boston Manor,Northfields,71
East Ham,Upton Park,779
Kentish Town,Tufnell Park,65
Oxford Circus,Regents Park,15
Acton Town,South Ealing,85
Golders Green,Hampstead,109
Plaistow,West Ham,258
Earls Court,High Street Kensington,145
Elephant and Castle,Lambeth North,80
Earls Court,West Kensington,251
Holland Park,Notting Hill Gate,32
Charing Cross,Piccadilly Circus,80
Moor Park,Northwood,30
Croxley,Moor Park,21
Monument,Liverpool Street,483
Leicester Square,Piccadilly Circus,88
Hyde Park Corner,Knightsbridge,11
Balham,Tooting Bec,229
Buckhurst Hill,Woodford,98
South Harrow,Sudbury Hill,111
Camden Town,Chalk Farm,67
Pimlico,Vauxhall,153
Battersea Power Station,Nine Elms,37
Debden,Loughton,83
Colliers Wood,South Wimbledon,331
Gants Hill,Redbridge,301
Highbury and Islington,Kings Cross St. Pancras,165
Canning Town,West Ham,605
Euston,Kings Cross St. Pancras,252
Harlesden,Stonebridge Park,169
Kensal Green,Queens Park,90
Angel,Old Street,65
Barons Court,West Kensington,78
St. Jamess Park,Westminster,21
Cockfosters,Oakwood,120
Sloane Square,Victoria,199
East Finchley,Highgate,108
Tooting Bec,Tooting Broadway,330
Ladbroke Grove,Latimer Road,40
Aldgate East,Tower Hill,120
Green Park,Hyde Park Corner,19
Plaistow,Upton Park,407
Caledonian Road,Kings Cross St. Pancras,124
Source Station,Target Station,Weight
Borough,London Bridge,198
Ealing Common,North Ealing,34
Snaresbrook,South Woodford,64
Grange Hill,Hainault,180
North Wembley,South Kenton,142
Cockfosters,Oakwood,122
Kilburn Park,Queens Park,82
Arnos Grove,Bounds Green,270
Chigwell,Grange Hill,37
Colliers Wood,South Wimbledon,326
Clapham North,Stockwell,272
Dagenham East,Dagenham Heathway,333
Bond Street,Green Park,52
Ealing Broadway,Ealing Common,229
Archway,Tufnell Park,139
Earls Court,Kensington (Olympia),68
Stonebridge Park,Wembley Central,269
Covent Garden,Leicester Square,42
Pimlico,Victoria,199
Bayswater,Paddington,174
Kensal Green,Willesden Junction,177
Camden Town,Kentish Town,102
Chalfont and Latimer,Chesham,69
Gloucester Road,South Kensington,64
Baker Street,Bond Street,65
Lambeth North,Waterloo,122
Camden Town,Euston,232
Ruislip Gardens,South Ruislip,115
Euston Square,Kings Cross St. Pancras,137
Belsize Park,Chalk Farm,47
Hyde Park Corner,Knightsbridge,21
Ladbroke Grove,Westbourne Park,50
Bromley-by-Bow,West Ham,143
West Finchley,Woodside Park,79
Goodge Street,Warren Street,22
Neasden,Wembley Park,239
Heathrow Terminal 4,Heathrow Terminals 1 2 3,242
Colindale,Hendon Central,400
Elm Park,Hornchurch,130
Becontree,Upney,225
Charing Cross,Embankment,59
Waterloo,Westminster,191
Highbury and Islington,Kings Cross St. Pancras,149
Holborn,Russell Square,37
Knightsbridge,South Kensington,60
Leicester Square,Tottenham Court Road,128
Charing Cross,Leicester Square,88
Parsons Green,Putney Bridge,62
Green Park,Piccadilly Circus,58
Arsenal,Holloway Road,41
Gants Hill,Newbury Park,420
East Finchley,Finchley Central,185
Canada Water,Canary Wharf,407
Ickenham,Ruislip,36
Baker Street,Marylebone,51
Finsbury Park,Seven Sisters,743
East Acton,North Acton,95
Kennington,Nine Elms,43
Bayswater,Notting Hill Gate,57
Harrow and Wealdstone,Kenton,326
Royal Oak,Westbourne Park,52
Edgware Road (Bakerloo),Paddington,193
Goodge Street,Tottenham Court Road,49
Green Park,Victoria,293
Maida Vale,Warwick Avenue,36
Chiswick Park,Turnham Green,72
Debden,Loughton,73
Monument,St. Pauls,37
Stepney Green,Whitechapel,105
Leyton,Stratford,745
Amersham,Chalfont and Latimer,51
Canons Park,Queensbury,396
Northolt,South Ruislip,271
Aldgate,Liverpool Street,249
Preston Road,Wembley Park,205
Alperton,Park Royal,67
Epping,Theydon Bois,162
Harlesden,Stonebridge Park,164
Earls Court,High Street Kensington,130
Fulham Broadway,West Brompton,53
Fulham Broadway,Parsons Green,55
Blackfriars,Mansion House,55
Kew Gardens,Richmond,165
Chigwell,Roding Valley,36
Paddington,Warwick Avenue,234
South Harrow,Sudbury Hill,95
Hillingdon,Ickenham,64
North Wembley,Wembley Central,223
Chancery Lane,St. Pauls,10
Gunnersbury,Turnham Green,88
Lancaster Gate,Queensway,46
Kings Cross St. Pancras,Russell Square,108
Ruislip Gardens,West Ruislip,63
Northwick Park,Preston Road,111
Harrow-on-the-Hill,West Harrow,137
Finchley Central,Mill Hill East,105
Sudbury Hill,Sudbury Town,89
Shepherds Bush,White City,160
Blackhorse Road,Tottenham Hale,909
Monument,Tower Hill,116
Harrow-on-the-Hill,North Harrow,180
Tooting Bec,Tooting Broadway,343
Acton Town,Turnham Green,151
Canning Town,West Ham,578
Hounslow East,Osterley,184
Balham,Clapham South,208
Plaistow,West Ham,282
Boston Manor,Osterley,86
Edgware Road (Bakerloo),Marylebone,15
Notting Hill Gate,Queensway,61
East Finchley,Highgate,109
Monument,Waterloo,253
Euston Square,Great Portland Street,14
Bethnal Green,Liverpool Street,223
High Street Kensington,Notting Hill Gate,50
Hatton Cross,Hounslow West,226
Elephant and Castle,Kennington,179
Ravenscourt Park,Stamford Brook,41
East Putney,Southfields,153
Farringdon,Kings Cross St. Pancras,231
Plaistow,Upton Park,366
Kingsbury,Queensbury,356
Bow Road,Mile End,113
North Acton,West Acton,73
Buckhurst Hill,Loughton,50
Heathrow Terminal 5,Heathrow Terminals 1 2 3,178
Canons Park,Stanmore,198
Harrow-on-the-Hill,Northwick Park,197
Hounslow Central,Hounslow West,179
Kilburn,Willesden Green,203
Kentish Town,Tufnell Park,67
Hillingdon,Uxbridge,156
Croxley,Moor Park,21
Angel,Old Street,44
Earls Court,Gloucester Road,137
Southwark,Waterloo,147
Chancery Lane,Holborn,38
Wimbledon,Wimbledon Park,547
Eastcote,Ruislip Manor,40
Rayners Lane,West Harrow,63
Barbican,Moorgate,129
Turnpike Lane,Wood Green,612
Debden,Theydon Bois,67
Mile End,Stratford,1019
Barbican,Farringdon,53
Barkingside,Fairlop,79
Northfields,South Ealing,53
Euston,Kings Cross St. Pancras,230
Finchley Road,West Hampstead,99
Acton Town,South Ealing,95
Holland Park,Notting Hill Gate,31
Brixton,Stockwell,686
Buckhurst Hill,Woodford,132
Oxford Circus,Piccadilly Circus,64
Leicester Square,Piccadilly Circus,68
Aldgate East,Whitechapel,91
Balham,Tooting Bec,225
Acton Town,Ealing Common,104
Charing Cross,Piccadilly Circus,75
Elephant and Castle,Lambeth North,65
Fairlop,Hainault,198
Monument,Cannon Street,33
Bow Road,Bromley-by-Bow,68
Leytonstone,Snaresbrook,187
Hornchurch,Upminster Bridge,68
Arsenal,Finsbury Park,211
Ealing Broadway,West Acton,181
Baker Street,St. Johns Wood,38
Finchley Road,Wembley Park,195
Greenford,Perivale,239
Kingsbury,Wembley Park,308
Bond Street,Oxford Circus,47
Blackhorse Road,Walthamstow Central,1334
Moorgate,Old Street,172
Green Park,Oxford Circus,92
Dollis Hill,Willesden Green,164
Caledonian Road,Holloway Road,51
Northwood Hills,Pinner,41
St. Jamess Park,Westminster,26
Aldgate East,Tower Hill,111
Archway,Highgate,141
Baker Street,Great Portland Street,30
Borough,Elephant and Castle,75
Bermondsey,London Bridge,332
Finsbury Park,Highbury and Islington,222
Seven Sisters,Tottenham Hale,800
Dagenham East,Elm Park,210
Battersea Power Station,Nine Elms,57
Hanger Lane,North Acton,165
Burnt Oak,Colindale,536
Stockwell,Vauxhall,433
Euston,Mornington Crescent,98
Belsize Park,Hampstead,32
Greenford,Northolt,383
Liverpool Street,Moorgate,473
Burnt Oak,Edgware,373
Lancaster Gate,Marble Arch,35
Canary Wharf,North Greenwich,518
Caledonian Road,Kings Cross St. Pancras,145
Arnos Grove,Southgate,230
Alperton,Sudbury Town,129
Aldgate East,Liverpool Street,329
Chorleywood,Rickmansworth,33
Bounds Green,Wood Green,515
Clapham Common,Clapham South,220
Monument,Moorgate,263
Oakwood,Southgate,223
Northwood,Northwood Hills,30
Clapham Common,Clapham North,202
Harlesden,Willesden Junction,223
Holborn,Tottenham Court Road,100
Oxford Circus,Warren Street,39
Barkingside,Newbury Park,255
Golders Green,Hampstead,94
Aldgate,Tower Hill,70
Canning Town,North Greenwich,594
Sloane Square,Victoria,183
Ruislip,Ruislip Manor,41
Pimlico,Vauxhall,167
Brent Cross,Hendon Central,206
Covent Garden,Holborn,28
London Bridge,Southwark,213
Totteridge and Whetstone,Woodside Park,115
Oxford Circus,Regents Park,20
Hounslow Central,Hounslow East,197
Euston,Warren Street,74
Hatton Cross,Heathrow Terminals 1 2 3,378
Embankment,Waterloo,231
Shepherds Bush Market,Wood Lane,93
Stamford Brook,Turnham Green,80
North Harrow,Pinner,56
Mile End,Stepney Green,96
Bond Street,Marble Arch,39
Bethnal Green,Mile End,131
Barons Court,West Kensington,91
Morden,South Wimbledon,572
Bermondsey,Canada Water,155
Oxford Circus,Tottenham Court Road,123
Barking,Upney,795
Moor Park,Northwood,33
Green Park,Westminster,37
Moor Park,Rickmansworth,22
Upminster,Upminster Bridge,195
Dollis Hill,Neasden,118
Earls Court,West Brompton,158
Blackfriars,Temple,50
Embankment,Westminster,60
Barons Court,Earls Court,170
St. Jamess Park,Victoria,150
Camden Town,Chalk Farm,48
East Ham,Upton Park,767
Baker Street,Finchley Road,73
Gants Hill,Redbridge,321
Hanger Lane,Perivale,111
Kilburn,West Hampstead,110
East Putney,Putney Bridge,98
Oval,Stockwell,204
Chalfont and Latimer,Chorleywood,35
Gunnersbury,Kew Gardens,81
Redbridge,Wanstead,79
Roding Valley,Woodford,100
Goldhawk Road,Shepherds Bush Market,64
Becontree,Dagenham Heathway,403
Stratford,West Ham,1094
Barking,East Ham,1254
Croxley,Watford,31
East Acton,White City,88
Kennington,Oval,116
St. Johns Wood,Swiss Cottage,16
Manor House,Turnpike Lane,327
Leyton,Leytonstone,409
Brent Cross,Golders Green,95
Finsbury Park,Manor House,285
High Barnet,Totteridge and Whetstone,140
