Source Station,Target Station,Weight
Euston,Mornington Crescent,99
Finchley Road,Swiss Cottage,29
Hatton Cross,Hounslow West,151
Stratford,West Ham,553
Acton Town,Turnham Green,170
Waterloo,Westminster,103
Archway,Tufnell Park,117
Oakwood,Southgate,126
Barbican,Moorgate,68
Heathrow Terminal 4,Heathrow Terminals 1 2 3,137
Camden Town,Chalk Farm,60
Rayners Lane,West Harrow,42
Chigwell,Grange Hill,37
Chigwell,Roding Valley,27
Northolt,South Ruislip,178
Hatton Cross,Heathrow Terminals 1 2 3,199
Embankment,Westminster,54
Farringdon,Kings Cross St. Pancras,153
Acton Town,Ealing Common,91
Covent Garden,Leicester Square,32
St. Jamess Park,Westminster,7
Green Park,Westminster,19
Bermondsey,Canada Water,215
Oxford Circus,Regents Park,9
Barons Court,West Kensington,58
Heathrow Terminal 5,Heathrow Terminals 1 2 3,118
Clapham Common,Clapham South,165
Chancery Lane,Holborn,15
Green Park,Hyde Park Corner,11
Gunnersbury,Kew Gardens,39
Harrow-on-the-Hill,North Harrow,78
Oval,Stockwell,94
Boston Manor,Osterley,57
Bond Street,Green Park,52
Dagenham East,Elm Park,177
Arnos Grove,Bounds Green,249
Hounslow East,Osterley,70
Bermondsey,London Bridge,189
Acton Town,Chiswick Park,86
Lambeth North,Waterloo,57
Moorgate,Old Street,54
South Woodford,Woodford,84
Bayswater,Paddington,119
East Finchley,Highgate,88
Upminster,Upminster Bridge,76
Aldgate East,Tower Hill,69
Hornchurch,Upminster Bridge,30
Clapham North,Stockwell,179
Colindale,Hendon Central,326
Camden Town,Kentish Town,41
Charing Cross,Piccadilly Circus,64
Oxford Circus,Warren Street,16
Parsons Green,Putney Bridge,47
East Ham,Upton Park,580
Highbury and Islington,Kings Cross St. Pancras,93
Leicester Square,Tottenham Court Road,55
Leyton,Stratford,307
Edgware Road (Bakerloo),Marylebone,23
Chalfont and Latimer,Chesham,70
Kew Gardens,Richmond,84
Maida Vale,Warwick Avenue,22
East Putney,Putney Bridge,91
Northwood,Northwood Hills,18
Bow Road,Mile End,90
Borough,Elephant and Castle,80
Ruislip Gardens,West Ruislip,36
Buckhurst Hill,Woodford,60
Holborn,Tottenham Court Road,41
Camden Town,Mornington Crescent,37
Greenford,Northolt,188
Mile End,Stepney Green,38
Earls Court,Kensington (Olympia),54
Euston,Warren Street,81
Goldhawk Road,Shepherds Bush Market,62
Baker Street,Great Portland Street,45
Southwark,Waterloo,77
Canning Town,North Greenwich,421
Baker Street,St. Johns Wood,30
Angel,Kings Cross St. Pancras,107
Harrow-on-the-Hill,Northwick Park,88
Baker Street,Bond Street,59
Kennington,Oval,57
North Wembley,South Kenton,90
Aldgate,Liverpool Street,140
Elephant and Castle,Kennington,142
Arsenal,Holloway Road,30
Shepherds Bush,White City,48
Leyton,Leytonstone,153
Northwood Hills,Pinner,31
Harlesden,Willesden Junction,125
Kilburn Park,Queens Park,55
Finchley Central,Mill Hill East,109
Tooting Bec,Tooting Broadway,220
Balham,Clapham South,201
Hanger Lane,North Acton,86
Kings Cross St. Pancras,Russell Square,47
Cannon Street,Mansion House,16
East Finchley,Finchley Central,187
Northwick Park,Preston Road,35
Hatton Cross,Heathrow Terminal 4,126
Battersea Power Station,Nine Elms,37
Ealing Broadway,Ealing Common,206
Sloane Square,Victoria,85
Bethnal Green,Liverpool Street,187
Caledonian Road,Holloway Road,42
Blackfriars,Temple,51
Bethnal Green,Mile End,124
Brent Cross,Hendon Central,150
Barking,East Ham,1167
Northfields,South Ealing,44
Plaistow,West Ham,138
High Street Kensington,Notting Hill Gate,24
Holland Park,Shepherds Bush,42
Blackfriars,Mansion House,70
Bond Street,Oxford Circus,62
Lancaster Gate,Marble Arch,16
Acton Town,South Ealing,73
Aldgate East,Liverpool Street,181
Green Park,Oxford Circus,40
Turnpike Lane,Wood Green,306
Baker Street,Finchley Road,64
Holland Park,Notting Hill Gate,16
Monument,Liverpool Street,274
Monument,St. Pauls,22
Euston Square,Kings Cross St. Pancras,89
Fairlop,Hainault,108
Barons Court,Earls Court,193
East Acton,White City,52
Canning Town,West Ham,525
Ickenham,Ruislip,17
Kilburn,Willesden Green,95
Ravenscourt Park,Stamford Brook,19
Pimlico,Victoria,96
North Harrow,Pinner,18
Debden,Theydon Bois,87
East Acton,North Acton,103
Kilburn,West Hampstead,62
Monument,Cannon Street,33
Redbridge,Wanstead,55
Kensal Green,Willesden Junction,70
Elm Park,Hornchurch,101
Ealing Common,North Ealing,34
Bayswater,Notting Hill Gate,30
Kingsbury,Wembley Park,169
St. Jamess Park,Victoria,91
Hounslow Central,Hounslow West,113
Hillingdon,Ickenham,32
Eastcote,Ruislip Manor,53
Euston Square,Great Portland Street,18
Edgware Road (Bakerloo),Paddington,123
Belsize Park,Hampstead,48
West Finchley,Woodside Park,45
Dollis Hill,Neasden,118
Morden,South Wimbledon,264
Goodge Street,Tottenham Court Road,27
Hyde Park Corner,Knightsbridge,10
Seven Sisters,Tottenham Hale,421
Alperton,Park Royal,85
Ruislip,Ruislip Manor,28
Blackhorse Road,Walthamstow Central,817
Finsbury Park,Seven Sisters,509
