Source Station,Target Station,Weight
Monument,Waterloo,26
Green Park,Victoria,0
High Street Kensington,Notting Hill Gate,0
Euston,Mornington Crescent,87
Rayners Lane,West Harrow,0
Highbury and Islington,Kings Cross St. Pancras,0
Chorleywood,Rickmansworth,27
Earls Court,Gloucester Road,189
Leyton,Stratford,0
Hanger Lane,Perivale,0
Hounslow East,Osterley,0
Shepherds Bush,White City,0
Barkingside,Fairlop,81
Pimlico,Vauxhall,0
Barbican,Moorgate,21
Green Park,Westminster,0
Colindale,Hendon Central,233
Euston,Kings Cross St. Pancras,147
Monument,Moorgate,20
Bond Street,Oxford Circus,32
Waterloo,Westminster,0
Ruislip Gardens,South Ruislip,0
Kew Gardens,Richmond,0
Kingsbury,Wembley Park,0
Canons Park,Queensbury,62
Northolt,South Ruislip,0
Croxley,Watford,8
Stamford Brook,Turnham Green,0
Blackfriars,Mansion House,56
Ravenscourt Park,Stamford Brook,0
Earls Court,West Brompton,74
Green Park,Piccadilly Circus,0
Battersea Power Station,Nine Elms,36
Baker Street,Great Portland Street,34
Knightsbridge,South Kensington,0
Canons Park,Stanmore,52
Bermondsey,Canada Water,246
Blackhorse Road,Walthamstow Central,276
Kilburn Park,Maida Vale,0
Goldhawk Road,Shepherds Bush Market,56
Southfields,Wimbledon Park,0
Heathrow Terminal 4,Heathrow Terminals 1 2 3,0
Blackhorse Road,Tottenham Hale,458
Oxford Circus,Piccadilly Circus,0
Kingsbury,Queensbury,0
Hounslow Central,Hounslow West,0
Moor Park,Northwood,0
Baker Street,Regents Park,25
Moor Park,Rickmansworth,0
Bayswater,Paddington,31
North Harrow,Pinner,0
Acton Town,Ealing Common,103
East Acton,North Acton,67
Liverpool Street,Moorgate,0
Royal Oak,Westbourne Park,0
Canada Water,Canary Wharf,429
Finsbury Park,Manor House,191
Hatton Cross,Hounslow West,0
Oxford Circus,Regents Park,0
Manor House,Turnpike Lane,0
Colliers Wood,Tooting Broadway,175
Bounds Green,Wood Green,145
Earls Court,High Street Kensington,99
Harrow-on-the-Hill,Northwick Park,0
Cannon Street,Mansion House,9
Earls Court,Kensington (Olympia),49
Buckhurst Hill,Woodford,40
Arnos Grove,Bounds Green,282
Harrow-on-the-Hill,West Harrow,0
Hyde Park Corner,Knightsbridge,0
Archway,Highgate,112
Baker Street,St. Johns Wood,27
Barbican,Farringdon,71
East Finchley,Finchley Central,243
Kilburn,West Hampstead,0
Elephant and Castle,Lambeth North,95
South Woodford,Woodford,0
Hillingdon,Uxbridge,0
Leytonstone,Wanstead,0
Kensal Green,Willesden Junction,0
Embankment,Waterloo,63
Southwark,Waterloo,0
Epping,Theydon Bois,137
Tooting Bec,Tooting Broadway,0
Bethnal Green,Liverpool Street,107
Kennington,Oval,0
Aldgate,Tower Hill,28
High Barnet,Totteridge and Whetstone,0
Paddington,Warwick Avenue,0
Covent Garden,Leicester Square,10
Charing Cross,Piccadilly Circus,45
North Wembley,South Kenton,0
Goodge Street,Tottenham Court Road,6
Baker Street,Bond Street,67
Bayswater,Notting Hill Gate,29
Mile End,Stepney Green,0
Fairlop,Hainault,33
Chigwell,Grange Hill,54
Embankment,Temple,11
Bow Road,Bromley-by-Bow,63
London Bridge,Southwark,0
Paddington,Royal Oak,0
Becontree,Dagenham Heathway,349
St. Jamess Park,Westminster,0
Chancery Lane,St. Pauls,7
Northfields,South Ealing,0
Ealing Common,North Ealing,29
Earls Court,West Kensington,110
Debden,Theydon Bois,63
Rayners Lane,South Harrow,0
Monument,London Bridge,40
Kings Cross St. Pancras,Russell Square,0
East Finchley,Highgate,64
Dollis Hill,Willesden Green,72
Sloane Square,South Kensington,0
Monument,Cannon Street,36
Harlesden,Willesden Junction,0
Bond Street,Marble Arch,15
Oakwood,Southgate,0
Goodge Street,Warren Street,3
Aldgate,Liverpool Street,38
Caledonian Road,Kings Cross St. Pancras,63
Bromley-by-Bow,West Ham,66
Eastcote,Rayners Lane,39
Hornchurch,Upminster Bridge,0
Ealing Broadway,West Acton,172
Boston Manor,Northfields,27
North Acton,West Acton,0
Elephant and Castle,Kennington,135
Morden,South Wimbledon,0
Embankment,Westminster,33
Bond Street,Green Park,32
Finsbury Park,Seven Sisters,243
Grange Hill,Hainault,18
Seven Sisters,Tottenham Hale,0
Bermondsey,London Bridge,94
Kilburn,Willesden Green,0
Holborn,Tottenham Court Road,0
Aldgate East,Whitechapel,38
Ladbroke Grove,Latimer Road,0
Dollis Hill,Neasden,66
Hatton Cross,Heathrow Terminal 4,0
Gloucester Road,South Kensington,44
Greenford,Northolt,0
Fulham Broadway,Parsons Green,51
Greenford,Perivale,0
Finchley Central,West Finchley,127
Hanger Lane,North Acton,0
St. Johns Wood,Swiss Cottage,0
Fulham Broadway,West Brompton,28
Northwick Park,Preston Road,0
Bethnal Green,Mile End,103
Monument,Liverpool Street,32
Finchley Road,Wembley Park,35
Angel,Kings Cross St. Pancras,65
Mile End,Stratford,0
Barkingside,Newbury Park,52
Becontree,Upney,109
Harlesden,Stonebridge Park,0
Euston Square,Great Portland Street,19
Eastcote,Ruislip Manor,35
Clapham Common,Clapham North,121
Stratford,West Ham,0
Croxley,Moor Park,16
Arsenal,Finsbury Park,195
East Putney,Putney Bridge,73
Hounslow Central,Hounslow East,0
Gunnersbury,Turnham Green,0
Upminster,Upminster Bridge,0
Covent Garden,Holborn,4
Stepney Green,Whitechapel,0
Totteridge and Whetstone,Woodside Park,0
Borough,Elephant and Castle,108
Heathrow Terminal 5,Heathrow Terminals 1 2 3,0
Green Park,Hyde Park Corner,0
Holland Park,Notting Hill Gate,0
Northwood,Northwood Hills,0
Holland Park,Shepherds Bush,0
East Acton,White City,48
Borough,London Bridge,12
Barons Court,West Kensington,39
Kennington,Waterloo,0
Monument,Tower Hill,19
Golders Green,Hampstead,109
Kentish Town,Tufnell Park,0
Finchley Road,Swiss Cottage,33
Alperton,Sudbury Town,98
Canning Town,West Ham,501
Alperton,Park Royal,77
Charing Cross,Leicester Square,63
Chigwell,Roding Valley,23
Harrow-on-the-Hill,North Harrow,0
Caledonian Road,Holloway Road,25
Gants Hill,Redbridge,158
West Finchley,Woodside Park,0
Neasden,Wembley Park,0
Acton Town,Turnham Green,145
Latimer Road,Wood Lane,0
Ruislip Gardens,West Ruislip,0
Lambeth North,Waterloo,0
Archway,Tufnell Park,97
Hillingdon,Ickenham,0
Baker Street,Finchley Road,83
Acton Town,South Ealing,68
North Wembley,Wembley Central,0
Northwood Hills,Pinner,0
Turnpike Lane,Wood Green,0
Ladbroke Grove,Westbourne Park,0
Belsize Park,Hampstead,29
Dagenham East,Dagenham Heathway,293
Hatton Cross,Heathrow Terminals 1 2 3,0
Boston Manor,Osterley,22
East Ham,Upton Park,391
Leytonstone,Snaresbrook,0
Notting Hill Gate,Queensway,0
Brent Cross,Golders Green,115
Chancery Lane,Holborn,11
Acton Town,Chiswick Park,95
Snaresbrook,South Woodford,0
Balham,Clapham South,186
Euston Square,Kings Cross St. Pancras,50
Plaistow,West Ham,0
Euston,Warren Street,69
Camden Town,Euston,199
Gunnersbury,Kew Gardens,0
Kensal Green,Queens Park,0
Kennington,Nine Elms,0
Camden Town,Mornington Crescent,27
Bow Road,Mile End,61
South Harrow,Sudbury Hill,0
Dagenham East,Elm Park,151
Clapham North,Stockwell,79
Canning Town,North Greenwich,328
Barons Court,Earls Court,202
Moorgate,Old Street,0
Gants Hill,Newbury Park,194
Amersham,Chalfont and Latimer,73
Chalfont and Latimer,Chesham,78
Wimbledon,Wimbledon Park,0
Aldgate East,Liverpool Street,54
Barking,Upney,613
Green Park,Oxford Circus,0
Brixton,Stockwell,660
Finchley Road,West Hampstead,38
Parsons Green,Putney Bridge,0
Kilburn Park,Queens Park,0
Burnt Oak,Colindale,590
Aldgate East,Tower Hill,39
Camden Town,Chalk Farm,70
Angel,Old Street,28
Redbridge,Wanstead,0
Debden,Loughton,41
Harrow and Wealdstone,Kenton,0
Ealing Broadway,Ealing Common,210
Belsize Park,Chalk Farm,52
Maida Vale,Warwick Avenue,0
Ickenham,Ruislip,0
Kenton,South Kenton,0
