Source Station,Target Station,Weight
Arsenal,Finsbury Park,228
Acton Town,Chiswick Park,111
Pimlico,Vauxhall,0
Royal Oak,Westbourne Park,0
Rayners Lane,South Harrow,0
Camden Town,Mornington Crescent,30
Angel,Kings Cross St. Pancras,55
Euston Square,Great Portland Street,21
Covent Garden,Leicester Square,11
East Acton,White City,46
Green Park,Piccadilly Circus,4
Becontree,Dagenham Heathway,288
Tooting Bec,Tooting Broadway,0
Baker Street,Marylebone,14
Roding Valley,Woodford,0
Embankment,Westminster,47
Edgware Road (Bakerloo),Marylebone,6
Kennington,Nine Elms,0
Buckhurst Hill,Loughton,17
Ickenham,Ruislip,0
Elephant and Castle,Lambeth North,92
Aldgate East,Whitechapel,35
Burnt Oak,Colindale,503
Embankment,Waterloo,47
Knightsbridge,South Kensington,0
Sudbury Hill,Sudbury Town,0
North Acton,West Acton,0
Eastcote,Rayners Lane,52
Barkingside,Fairlop,88
Greenford,Perivale,0
St. Jamess Park,Westminster,0
Hillingdon,Ickenham,0
Balham,Clapham South,186
Camden Town,Kentish Town,33
Hatton Cross,Hounslow West,0
Buckhurst Hill,Woodford,37
Canada Water,Canary Wharf,383
North Wembley,Wembley Central,0
Finchley Road,West Hampstead,28
Chancery Lane,Holborn,20
Stockwell,Vauxhall,0
Chalfont and Latimer,Chesham,80
Balham,Tooting Bec,152
Eastcote,Ruislip Manor,32
Leicester Square,Tottenham Court Road,0
Holland Park,Notting Hill Gate,0
Brent Cross,Hendon Central,41
East Ham,Upton Park,454
Boston Manor,Northfields,36
East Acton,North Acton,61
Oxford Circus,Warren Street,0
Rayners Lane,West Harrow,0
Finsbury Park,Manor House,206
Chiswick Park,Turnham Green,28
Charing Cross,Embankment,69
Ladbroke Grove,Westbourne Park,0
Covent Garden,Holborn,5
Southwark,Waterloo,0
Euston Square,Kings Cross St. Pancras,29
Kentish Town,Tufnell Park,0
Stratford,West Ham,0
Harrow-on-the-Hill,Northwick Park,0
Totteridge and Whetstone,Woodside Park,0
Moor Park,Northwood,0
Monument,Waterloo,30
Plaistow,Upton Park,0
Maida Vale,Warwick Avenue,0
Canons Park,Queensbury,81
Clapham Common,Clapham South,156
Borough,London Bridge,24
Chalfont and Latimer,Chorleywood,46
Ruislip Gardens,South Ruislip,0
Finchley Road,Wembley Park,31
Bow Road,Mile End,51
Upminster,Upminster Bridge,0
Gants Hill,Newbury Park,189
Monument,Moorgate,25
Leytonstone,Wanstead,0
Stonebridge Park,Wembley Central,0
Harlesden,Stonebridge Park,0
Barons Court,West Kensington,43
Finchley Road,Swiss Cottage,31
Seven Sisters,Tottenham Hale,0
Leytonstone,Snaresbrook,0
Colliers Wood,Tooting Broadway,199
Latimer Road,Wood Lane,0
Bow Road,Bromley-by-Bow,59
Blackhorse Road,Tottenham Hale,434
Golders Green,Hampstead,96
St. Johns Wood,Swiss Cottage,0
Dagenham East,Dagenham Heathway,323
Hyde Park Corner,Knightsbridge,0
Goodge Street,Warren Street,4
Moor Park,Rickmansworth,0
Fairlop,Hainault,30
Oxford Circus,Regents Park,0
Farringdon,Kings Cross St. Pancras,132
Kilburn,Willesden Green,0
Debden,Theydon Bois,53
Green Park,Hyde Park Corner,4
Canons Park,Stanmore,65
Arsenal,Holloway Road,24
Canning Town,West Ham,504
Chigwell,Grange Hill,52
Ladbroke Grove,Latimer Road,0
Fulham Broadway,Parsons Green,42
Manor House,Turnpike Lane,0
Elephant and Castle,Kennington,152
Aldgate,Liverpool Street,45
Bermondsey,Canada Water,194
East Finchley,Highgate,66
Barkingside,Newbury Park,58
Barons Court,Earls Court,178
Pimlico,Victoria,0
Mile End,Stepney Green,0
Blackfriars,Temple,51
Hounslow Central,Hounslow West,0
Caledonian Road,Holloway Road,30
Holborn,Tottenham Court Road,0
Bond Street,Green Park,35
Charing Cross,Piccadilly Circus,51
Cockfosters,Oakwood,77
Highbury and Islington,Kings Cross St. Pancras,0
Blackfriars,Mansion House,61
Boston Manor,Osterley,21
Finsbury Park,Highbury and Islington,163
Holland Park,Shepherds Bush,0
Baker Street,St. Johns Wood,19
Colliers Wood,South Wimbledon,255
Battersea Power Station,Nine Elms,37
Caledonian Road,Kings Cross St. Pancras,44
Northwick Park,Preston Road,0
Goodge Street,Tottenham Court Road,8
Goldhawk Road,Shepherds Bush Market,63
Charing Cross,Leicester Square,51
Fulham Broadway,West Brompton,26
Oxford Circus,Piccadilly Circus,0
Barbican,Farringdon,62
Canary Wharf,North Greenwich,288
Bermondsey,London Bridge,93
Ruislip Gardens,West Ruislip,0
Barbican,Moorgate,21
Plaistow,West Ham,0
Bromley-by-Bow,West Ham,58
Leicester Square,Piccadilly Circus,0
London Bridge,Southwark,0
Green Park,Westminster,3
Leyton,Leytonstone,0
Chigwell,Roding Valley,29
Acton Town,Turnham Green,134
Morden,South Wimbledon,0
Turnpike Lane,Wood Green,0
Shepherds Bush,White City,0
Camden Town,Chalk Farm,69
Elm Park,Hornchurch,81
Finchley Central,Mill Hill East,87
Dollis Hill,Willesden Green,77
Archway,Highgate,128
Ealing Broadway,West Acton,172
Acton Town,Ealing Common,95
Northwood Hills,Pinner,0
Shepherds Bush Market,Wood Lane,0
Neasden,Wembley Park,0
Angel,Old Street,36
Epping,Theydon Bois,174
Leyton,Stratford,0
Hatton Cross,Heathrow Terminal 4,0
Hounslow Central,Hounslow East,0
North Harrow,Pinner,0
Liverpool Street,Moorgate,0
Bethnal Green,Liverpool Street,88
Aldgate,Tower Hill,27
High Street Kensington,Notting Hill Gate,0
Gants Hill,Redbridge,169
Moorgate,Old Street,0
Belsize Park,Hampstead,21
Green Park,Victoria,7
Redbridge,Wanstead,0
Oakwood,Southgate,0
