Source Station,Target Station,Weight
St. Johns Wood,Swiss Cottage,0
Finsbury Park,Highbury and Islington,156
Croxley,Watford,11
Preston Road,Wembley Park,0
Kilburn Park,Queens Park,0
Arnos Grove,Southgate,138
Arsenal,Holloway Road,16
Dollis Hill,Willesden Green,71
Mile End,Stratford,0
Camden Town,Mornington Crescent,29
North Wembley,South Kenton,0
Kingsbury,Wembley Park,0
Totteridge and Whetstone,Woodside Park,0
Acton Town,Chiswick Park,100
Hillingdon,Ickenham,0
Eastcote,Ruislip Manor,28
Ruislip Gardens,West Ruislip,0
Southfields,Wimbledon Park,0
Oxford Circus,Tottenham Court Road,0
Leicester Square,Tottenham Court Road,0
Acton Town,Ealing Common,95
Leicester Square,Piccadilly Circus,0
Bow Road,Bromley-by-Bow,70
Clapham Common,Clapham North,102
Chalfont and Latimer,Chorleywood,63
Pimlico,Vauxhall,0
Camden Town,Euston,207
Wimbledon,Wimbledon Park,0
Aldgate,Liverpool Street,38
East Putney,Southfields,81
Fairlop,Hainault,33
Debden,Theydon Bois,63
Kilburn Park,Maida Vale,0
Euston,Warren Street,67
Sloane Square,Victoria,0
Elephant and Castle,Lambeth North,78
Earls Court,Gloucester Road,189
Euston Square,Kings Cross St. Pancras,25
Bond Street,Green Park,37
Grange Hill,Hainault,24
Green Park,Oxford Circus,0
East Ham,Upton Park,430
Waterloo,Westminster,0
Edgware Road (Bakerloo),Paddington,19
Finsbury Park,Seven Sisters,235
Moor Park,Rickmansworth,0
Oakwood,Southgate,0
Stratford,West Ham,0
Finchley Central,West Finchley,116
Chiswick Park,Turnham Green,35
Harrow-on-the-Hill,Northwick Park,0
Hatton Cross,Heathrow Terminals 1 2 3,0
Hounslow Central,Hounslow West,0
Harrow-on-the-Hill,North Harrow,0
Monument,Tower Hill,19
Archway,Highgate,92
Clapham North,Stockwell,64
Harlesden,Willesden Junction,0
Amersham,Chalfont and Latimer,68
Becontree,Upney,95
Chancery Lane,Holborn,9
Kentish Town,Tufnell Park,0
Euston,Kings Cross St. Pancras,125
Heathrow Terminal 4,Heathrow Terminals 1 2 3,0
Sloane Square,South Kensington,0
Hyde Park Corner,Knightsbridge,0
Leytonstone,Wanstead,0
Monument,London Bridge,23
Gloucester Road,High Street Kensington,43
Gloucester Road,South Kensington,38
Tooting Bec,Tooting Broadway,0
Gunnersbury,Turnham Green,0
Rayners Lane,West Harrow,0
Kennington,Waterloo,0
Northwood Hills,Pinner,0
Bethnal Green,Mile End,84
Harrow and Wealdstone,Kenton,0
Aldgate East,Liverpool Street,62
Shepherds Bush Market,Wood Lane,0
Barons Court,West Kensington,29
Charing Cross,Embankment,71
Covent Garden,Leicester Square,13
Maida Vale,Warwick Avenue,0
London Bridge,Southwark,0
Dagenham East,Dagenham Heathway,288
Gants Hill,Newbury Park,188
North Acton,West Acton,0
Morden,South Wimbledon,0
Buckhurst Hill,Loughton,34
Arsenal,Finsbury Park,242
Arnos Grove,Bounds Green,261
Goodge Street,Tottenham Court Road,6
Heathrow Terminal 5,Heathrow Terminals 1 2 3,0
Kilburn,West Hampstead,0
Mile End,Stepney Green,0
Southwark,Waterloo,0
Stepney Green,Whitechapel,0
Finsbury Park,Manor House,198
Brixton,Stockwell,733
Moor Park,Northwood,0
Borough,Elephant and Castle,87
East Finchley,Finchley Central,251
Clapham Common,Clapham South,132
Hillingdon,Uxbridge,0
St. Jamess Park,Westminster,0
Fulham Broadway,West Brompton,25
Blackfriars,Temple,55
Neasden,Wembley Park,0
Stockwell,Vauxhall,0
Plaistow,West Ham,0
Oval,Stockwell,0
Leytonstone,Snaresbrook,0
Canning Town,West Ham,483
Farringdon,Kings Cross St. Pancras,115
High Barnet,Totteridge and Whetstone,0
Bounds Green,Wood Green,127
Northwick Park,Preston Road,0
Earls Court,West Kensington,107
East Acton,North Acton,81
Barbican,Farringdon,60
Blackfriars,Mansion House,63
Borough,London Bridge,16
Finchley Road,West Hampstead,30
Bermondsey,London Bridge,89
Notting Hill Gate,Queensway,0
Ruislip,Ruislip Manor,0
Finchley Road,Swiss Cottage,30
Knightsbridge,South Kensington,0
Northfields,South Ealing,0
Belsize Park,Hampstead,20
Monument,Cannon Street,54
Holborn,Russell Square,0
Baker Street,Marylebone,23
Baker Street,St. Johns Wood,34
Epping,Theydon Bois,141
Euston Square,Great Portland Street,24
Bayswater,Paddington,22
Earls Court,High Street Kensington,90
Hornchurch,Upminster Bridge,0
Eastcote,Rayners Lane,49
Roding Valley,Woodford,0
Colliers Wood,Tooting Broadway,201
North Wembley,Wembley Central,0
Hatton Cross,Hounslow West,0
Aldgate,Tower Hill,23
Ealing Broadway,Ealing Common,217
Kew Gardens,Richmond,0
Colliers Wood,South Wimbledon,238
Archway,Tufnell Park,115
Bow Road,Mile End,57
