Source Station,Target Station,Weight
Ealing Common,North Ealing,29
Lancaster Gate,Queensway,0
High Street Kensington,Notting Hill Gate,0
Kings Cross St. Pancras,Russell Square,0
Finchley Central,West Finchley,103
Harlesden,Willesden Junction,0
Elm Park,Hornchurch,69
Seven Sisters,Tottenham Hale,0
North Harrow,Pinner,0
Colindale,Hendon Central,235
Covent Garden,Leicester Square,11
Clapham Common,Clapham South,131
Oakwood,Southgate,0
Leytonstone,Wanstead,0
Chancery Lane,Holborn,6
Bethnal Green,Mile End,102
Kingsbury,Wembley Park,0
Arsenal,Finsbury Park,251
Notting Hill Gate,Queensway,0
Hatton Cross,Hounslow West,0
Southfields,Wimbledon Park,0
Camden Town,Kentish Town,33
Dagenham East,Dagenham Heathway,326
Northolt,South Ruislip,0
Caledonian Road,Holloway Road,28
Kensal Green,Queens Park,0
Barbican,Moorgate,15
Ladbroke Grove,Westbourne Park,0
Sloane Square,South Kensington,0
Hounslow East,Osterley,0
Latimer Road,Wood Lane,0
Neasden,Wembley Park,0
Canons Park,Stanmore,56
Oxford Circus,Warren Street,0
Grange Hill,Hainault,15
Becontree,Dagenham Heathway,314
Earls Court,Kensington (Olympia),54
Kew Gardens,Richmond,0
Camden Town,Euston,241
Oxford Circus,Piccadilly Circus,0
Holborn,Russell Square,0
Euston Square,Great Portland Street,22
Elephant and Castle,Lambeth North,73
Boston Manor,Northfields,29
Holland Park,Shepherds Bush,0
Wimbledon,Wimbledon Park,0
Gunnersbury,Kew Gardens,0
Rayners Lane,South Harrow,0
Camden Town,Mornington Crescent,40
Baker Street,Bond Street,56
Greenford,Northolt,0
Chalfont and Latimer,Chorleywood,55
Belsize Park,Hampstead,33
South Harrow,Sudbury Hill,0
Canning Town,West Ham,448
Earls Court,Gloucester Road,215
Finchley Road,Wembley Park,34
Arnos Grove,Southgate,113
Mile End,Stepney Green,0
Canada Water,Canary Wharf,429
Covent Garden,Holborn,16
Paddington,Royal Oak,0
Rayners Lane,West Harrow,0
Eastcote,Ruislip Manor,29
Euston,Mornington Crescent,105
Totteridge and Whetstone,Woodside Park,0
Ickenham,Ruislip,0
North Wembley,Wembley Central,0
Euston,Kings Cross St. Pancras,167
Earls Court,West Kensington,103
Lambeth North,Waterloo,0
Blackfriars,Temple,38
Holland Park,Notting Hill Gate,0
Croxley,Watford,2
Goodge Street,Tottenham Court Road,8
Arsenal,Holloway Road,10
Barbican,Farringdon,69
Harrow-on-the-Hill,West Harrow,0
East Finchley,Highgate,54
Gants Hill,Newbury Park,203
Brixton,Stockwell,716
Eastcote,Rayners Lane,38
Fairlop,Hainault,34
Chancery Lane,St. Pauls,7
Canning Town,North Greenwich,331
Brent Cross,Hendon Central,42
Royal Oak,Westbourne Park,0
Chorleywood,Rickmansworth,13
Bermondsey,Canada Water,220
Dagenham East,Elm Park,155
Acton Town,South Ealing,57
Aldgate East,Whitechapel,24
Bond Street,Green Park,17
Boston Manor,Osterley,33
Charing Cross,Leicester Square,56
South Woodford,Woodford,0
Acton Town,Chiswick Park,75
Goldhawk Road,Shepherds Bush Market,55
Archway,Tufnell Park,111
Liverpool Street,Moorgate,0
Barkingside,Newbury Park,43
Becontree,Upney,123
Kenton,South Kenton,0
Angel,Kings Cross St. Pancras,52
Elephant and Castle,Kennington,139
Preston Road,Wembley Park,0
Hillingdon,Uxbridge,0
Bethnal Green,Liverpool Street,97
Parsons Green,Putney Bridge,0
Hyde Park Corner,Knightsbridge,0
Hillingdon,Ickenham,0
Monument,Waterloo,28
High Barnet,Totteridge and Whetstone,0
Plaistow,Upton Park,0
Leicester Square,Tottenham Court Road,0
Goodge Street,Warren Street,1
Euston,Warren Street,78
Southwark,Waterloo,0
Bow Road,Bromley-by-Bow,59
Hanger Lane,Perivale,0
East Acton,North Acton,70
West Finchley,Woodside Park,0
Kennington,Nine Elms,0
Kilburn Park,Queens Park,0
Kilburn,West Hampstead,0
Baker Street,Great Portland Street,33
Amersham,Chalfont and Latimer,76
Debden,Loughton,50
Manor House,Turnpike Lane,0
Aldgate,Liverpool Street,54
Moor Park,Rickmansworth,0
Balham,Tooting Bec,140
Chigwell,Grange Hill,45
Chiswick Park,Turnham Green,34
Alperton,Sudbury Town,84
Hatton Cross,Heathrow Terminals 1 2 3,0
Green Park,Piccadilly Circus,0
Redbridge,Wanstead,0
Lancaster Gate,Marble Arch,0
Finsbury Park,Manor House,199
Baker Street,Finchley Road,100
Morden,South Wimbledon,0
Bond Street,Oxford Circus,33
Oxford Circus,Tottenham Court Road,0
Harrow-on-the-Hill,Northwick Park,0
Ealing Broadway,West Acton,160
Hornchurch,Upminster Bridge,0
Kentish Town,Tufnell Park,0
Brent Cross,Golders Green,177
Belsize Park,Chalk Farm,63
Kilburn,Willesden Green,0
St. Jamess Park,Westminster,0
Roding Valley,Woodford,0
Bayswater,Notting Hill Gate,37
Shepherds Bush,White City,0
Gloucester Road,High Street Kensington,37
East Putney,Southfields,91
Leyton,Stratford,0
Green Park,Hyde Park Corner,0
Arnos Grove,Bounds Green,282
London Bridge,Southwark,0
Bermondsey,London Bridge,87
Leytonstone,Snaresbrook,0
Pimlico,Vauxhall,0
Hatton Cross,Heathrow Terminal 4,0
Fulham Broadway,West Brompton,30
Hounslow Central,Hounslow West,0
St. Johns Wood,Swiss Cottage,0
Alperton,Park Royal,85
Turnpike Lane,Wood Green,0
Leyton,Leytonstone,0
Ruislip Gardens,West Ruislip,0
Kennington,Waterloo,0
Blackhorse Road,Walthamstow Central,318
Cannon Street,Mansion House,22
Barons Court,West Kensington,36
Blackfriars,Mansion House,51
Bayswater,Paddington,47
Harrow and Wealdstone,Kenton,0
Archway,Highgate,126
Canary Wharf,North Greenwich,279
Balham,Clapham South,172
North Acton,West Acton,0
Burnt Oak,Edgware,358
Kingsbury,Queensbury,0
Finchley Road,Swiss Cottage,33
Kensal Green,Willesden Junction,0
Fulham Broadway,Parsons Green,35
Aldgate East,Tower Hill,40
Baker Street,St. Johns Wood,27
Golders Green,Hampstead,92
Barkingside,Fairlop,68
Sloane Square,Victoria,0
Stepney Green,Whitechapel,0
Greenford,Perivale,0
Kilburn Park,Maida Vale,0
Bromley-by-Bow,West Ham,70
Aldgate East,Liverpool Street,55
Pimlico,Victoria,0
Mile End,Stratford,0
