Source Station,Target Station,Weight
Gloucester Road,High Street Kensington,287
Acton Town,Ealing Common,163
Plaistow,West Ham,0
Harrow-on-the-Hill,West Harrow,0
Latimer Road,Wood Lane,0
Paddington,Royal Oak,0
Leyton,Leytonstone,0
Finchley Central,Mill Hill East,144
Bond Street,Green Park,1035
Bond Street,Oxford Circus,1120
Finsbury Park,Seven Sisters,776
Gants Hill,Newbury Park,150
Blackhorse Road,Walthamstow Central,374
Moor Park,Northwood,0
Ealing Broadway,Ealing Common,551
Baker Street,St. Johns Wood,328
Ickenham,Ruislip,0
Lambeth North,Waterloo,0
Oxford Circus,Tottenham Court Road,0
Borough,Elephant and Castle,371
Canons Park,Queensbury,111
Goodge Street,Warren Street,84
Barons Court,West Kensington,112
Sudbury Hill,Sudbury Town,0
Leicester Square,Piccadilly Circus,0
Elephant and Castle,Lambeth North,249
Hyde Park Corner,Knightsbridge,0
Blackfriars,Mansion House,287
Goldhawk Road,Shepherds Bush Market,133
Lancaster Gate,Marble Arch,0
Moorgate,Old Street,0
Canada Water,Canary Wharf,1753
Finsbury Park,Manor House,674
Gloucester Road,South Kensington,278
Hillingdon,Ickenham,0
Chorleywood,Rickmansworth,56
Finchley Road,Swiss Cottage,124
Elephant and Castle,Kennington,540
Gunnersbury,Kew Gardens,0
Heathrow Terminal 4,Heathrow Terminals 1 2 3,0
Eastcote,Rayners Lane,84
Stamford Brook,Turnham Green,0
Aldgate East,Liverpool Street,416
Dollis Hill,Willesden Green,91
Monument,Moorgate,351
Chigwell,Roding Valley,10
Oval,Stockwell,0
Chancery Lane,St. Pauls,62
Arnos Grove,Bounds Green,329
St. Jamess Park,Westminster,0
Dagenham East,Dagenham Heathway,163
Ladbroke Grove,Westbourne Park,0
Kings Cross St. Pancras,Russell Square,0
East Putney,Southfields,338
Northwick Park,Preston Road,0
Monument,Cannon Street,311
Brent Cross,Golders Green,366
Harlesden,Stonebridge Park,0
Eastcote,Ruislip Manor,46
Acton Town,Chiswick Park,184
Monument,St. Pauls,207
Baker Street,Marylebone,261
North Harrow,Pinner,0
Arnos Grove,Southgate,191
Parsons Green,Putney Bridge,0
Baker Street,Great Portland Street,406
Camden Town,Euston,1956
Becontree,Dagenham Heathway,185
Colliers Wood,South Wimbledon,389
Holborn,Russell Square,0
Oxford Circus,Regents Park,0
Northwood,Northwood Hills,0
Earls Court,Kensington (Olympia),202
