Source Station,Target Station,Weight
Leicester Square,Piccadilly Circus,0
Debden,Theydon Bois,96
Heathrow Terminal 5,Heathrow Terminals 1 2 3,0
Aldgate East,Liverpool Street,423
Greenford,Perivale,0
Ickenham,Ruislip,0
Sloane Square,South Kensington,0
Bromley-by-Bow,West Ham,141
Oakwood,Southgate,0
Clapham Common,Clapham North,499
Chancery Lane,Holborn,130
Boston Manor,Northfields,44
Acton Town,Chiswick Park,172
Southwark,Waterloo,0
Euston,Kings Cross St. Pancras,775
East Putney,Southfields,334
Dollis Hill,Willesden Green,104
Ruislip Gardens,South Ruislip,0
Monument,Waterloo,380
Upminster,Upminster Bridge,0
Kilburn,West Hampstead,0
Hounslow Central,Hounslow East,0
Shepherds Bush Market,Wood Lane,0
Eastcote,Rayners Lane,71
Croxley,Watford,11
Earls Court,High Street Kensington,411
Camden Town,Euston,1984
Snaresbrook,South Woodford,0
Stratford,West Ham,0
East Finchley,Finchley Central,584
Kensal Green,Queens Park,0
Southfields,Wimbledon Park,0
Eastcote,Ruislip Manor,49
Clapham North,Stockwell,266
Parsons Green,Putney Bridge,0
Bond Street,Green Park,1067
Paddington,Royal Oak,0
Plaistow,Upton Park,0
Bethnal Green,Mile End,350
Kennington,Oval,0
Hatton Cross,Heathrow Terminals 1 2 3,0
Bow Road,Bromley-by-Bow,154
Kennington,Waterloo,0
Euston,Warren Street,406
Charing Cross,Piccadilly Circus,477
Cockfosters,Oakwood,126
South Woodford,Woodford,0
Farringdon,Kings Cross St. Pancras,495
Aldgate,Tower Hill,118
Preston Road,Wembley Park,0
South Harrow,Sudbury Hill,0
Arnos Grove,Bounds Green,363
Holborn,Tottenham Court Road,0
Hillingdon,Uxbridge,0
Mile End,Stepney Green,0
Edgware Road (Bakerloo),Marylebone,52
Harrow-on-the-Hill,North Harrow,0
Dollis Hill,Neasden,85
Kingsbury,Queensbury,0
Ruislip,Ruislip Manor,0
Embankment,Temple,291
Canning Town,West Ham,514
Holborn,Russell Square,0
Lancaster Gate,Marble Arch,0
Bounds Green,Wood Green,148
Aldgate East,Tower Hill,288
Covent Garden,Holborn,494
Manor House,Turnpike Lane,0
Rayners Lane,South Harrow,0
Blackhorse Road,Walthamstow Central,358
Waterloo,Westminster,0
Baker Street,Great Portland Street,389
Arsenal,Finsbury Park,829
Arsenal,Holloway Road,74
Plaistow,West Ham,0
Green Park,Victoria,84
Barons Court,Earls Court,860
Euston Square,Great Portland Street,167
Bayswater,Notting Hill Gate,117
Barbican,Moorgate,67
Moor Park,Rickmansworth,0
Northolt,South Ruislip,0
Kilburn,Willesden Green,0
Chorleywood,Rickmansworth,47
Baker Street,Regents Park,225
Baker Street,Marylebone,286
Buckhurst Hill,Loughton,72
Tooting Bec,Tooting Broadway,0
Hanger Lane,North Acton,0
Kensal Green,Willesden Junction,0
Belsize Park,Chalk Farm,389
Green Park,Hyde Park Corner,36
Finchley Central,Mill Hill East,127
Fulham Broadway,Parsons Green,271
Barking,East Ham,755
Charing Cross,Leicester Square,544
Acton Town,Ealing Common,167
Green Park,Westminster,67
Euston,Mornington Crescent,478
Earls Court,West Brompton,353
Monument,Moorgate,395
Chalfont and Latimer,Chesham,85
Charing Cross,Embankment,739
Seven Sisters,Tottenham Hale,0
Goodge Street,Warren Street,102
Leytonstone,Wanstead,0
Ladbroke Grove,Westbourne Park,0
Monument,St. Pauls,200
Sudbury Hill,Sudbury Town,0
Kilburn Park,Maida Vale,0
Ravenscourt Park,Stamford Brook,0
Totteridge and Whetstone,Woodside Park,0
Green Park,Oxford Circus,124
Barkingside,Newbury Park,41
