Source Station,Target Station,Weight
Finchley Road,Swiss Cottage,294
Kensal Green,Willesden Junction,334
Burnt Oak,Colindale,513
Oakwood,Southgate,423
Bow Road,Bromley-by-Bow,162
Ladbroke Grove,Westbourne Park,547
Hanger Lane,North Acton,250
Kingsbury,Queensbury,166
Harrow and Wealdstone,Kenton,280
Leytonstone,Snaresbrook,204
Oval,Stockwell,380
Arsenal,Finsbury Park,776
Ealing Common,North Ealing,67
Boston Manor,Northfields,160
Stepney Green,Whitechapel,398
Canning Town,West Ham,675
North Wembley,Wembley Central,290
Bow Road,Mile End,380
Balham,Clapham South,761
Earls Court,High Street Kensington,1204
Shepherds Bush Market,Wood Lane,752
Harrow-on-the-Hill,Northwick Park,276
Kilburn,Willesden Green,389
Brent Cross,Hendon Central,317
Heathrow Terminal 4,Heathrow Terminals 1 2 3,456
Covent Garden,Holborn,896
Canning Town,North Greenwich,1688
Sloane Square,Victoria,1310
Epping,Theydon Bois,339
Amersham,Chalfont and Latimer,251
High Barnet,Totteridge and Whetstone,369
Kilburn Park,Queens Park,318
Leicester Square,Piccadilly Circus,2392
Euston Square,Kings Cross St. Pancras,1063
Hounslow East,Osterley,188
Earls Court,West Kensington,727
Camden Town,Chalk Farm,944
Acton Town,Ealing Common,197
Holland Park,Notting Hill Gate,550
North Ealing,Park Royal,85
Green Park,Hyde Park Corner,518
Belsize Park,Hampstead,390
Finchley Central,West Finchley,317
East Putney,Southfields,600
East Acton,North Acton,243
Buckhurst Hill,Woodford,206
Angel,Kings Cross St. Pancras,1508
Monument,Tower Hill,1180
Bethnal Green,Liverpool Street,1046
North Acton,West Acton,164
Caledonian Road,Holloway Road,220
Blackfriars,Mansion House,463
Arnos Grove,Bounds Green,358
Kew Gardens,Richmond,1785
East Finchley,Finchley Central,495
Kennington,Oval,232
Croxley,Watford,109
Debden,Loughton,268
Barking,Upney,600
Chorleywood,Rickmansworth,129
Greenford,Perivale,202
Ealing Broadway,Ealing Common,528
Barbican,Moorgate,368
East Ham,Upton Park,571
