Source Station,Target Station,Weight
Leyton,Leytonstone,598
Redbridge,Wanstead,136
Arnos Grove,Bounds Green,353
Gunnersbury,Kew Gardens,687
Chigwell,Grange Hill,16
Manor House,Turnpike Lane,458
Upminster,Upminster Bridge,337
Eastcote,Rayners Lane,125
Acton Town,Turnham Green,459
Paddington,Warwick Avenue,1280
Kensal Green,Queens Park,305
Bermondsey,Canada Water,634
Brent Cross,Golders Green,396
Gloucester Road,High Street Kensington,619
North Acton,West Acton,165
Clapham Common,Clapham North,471
Fulham Broadway,Parsons Green,517
Hounslow East,Osterley,172
Hatton Cross,Heathrow Terminals 1 2 3,620
Stratford,West Ham,2743
Bayswater,Paddington,1028
Hanger Lane,Perivale,162
East Putney,Southfields,575
Hillingdon,Ickenham,124
Stonebridge Park,Wembley Central,308
Lambeth North,Waterloo,967
Alperton,Sudbury Town,131
Kings Cross St. Pancras,Russell Square,941
Epping,Theydon Bois,371
Edgware Road (Bakerloo),Paddington,1156
Balham,Tooting Bec,750
Oxford Circus,Tottenham Court Road,3198
Earls Court,West Brompton,665
Barkingside,Fairlop,97
Roding Valley,Woodford,118
Bounds Green,Wood Green,582
Greenford,Perivale,195
Baker Street,Regents Park,313
Croxley,Watford,96
Baker Street,Great Portland Street,451
Northwood,Northwood Hills,98
West Finchley,Woodside Park,206
Leicester Square,Piccadilly Circus,2275
South Harrow,Sudbury Hill,87
Harrow-on-the-Hill,North Harrow,294
Eastcote,Ruislip Manor,102
Boston Manor,Northfields,174
Aldgate,Tower Hill,506
Source Station,Target Station,Weight
Oxford Circus,Regents Park,724
Arnos Grove,Southgate,404
Fulham Broadway,West Brompton,407
Brent Cross,Golders Green,359
Burnt Oak,Edgware,487
Kilburn Park,Maida Vale,206
Green Park,Piccadilly Circus,1477
Shepherds Bush,White City,1072
Leicester Square,Piccadilly Circus,2249
Bond Street,Oxford Circus,2276
Hornchurch,Upminster Bridge,109
Alperton,Park Royal,185
Finchley Road,Swiss Cottage,285
Brixton,Stockwell,1607
St. Johns Wood,Swiss Cottage,221
Greenford,Perivale,205
Dagenham East,Elm Park,156
Euston Square,Great Portland Street,176
Ealing Broadway,West Acton,470
Southwark,Waterloo,968
Colliers Wood,South Wimbledon,691
Acton Town,Chiswick Park,200
Leicester Square,Tottenham Court Road,2959
Moor Park,Northwood,112
Baker Street,Great Portland Street,416
North Wembley,South Kenton,117
Angel,Old Street,522
Holborn,Russell Square,467
Dollis Hill,Neasden,161
Leyton,Stratford,1656
Goldhawk Road,Shepherds Bush Market,334
Cannon Street,Mansion House,134
Bond Street,Marble Arch,912
Finsbury Park,Seven Sisters,1203
Gunnersbury,Kew Gardens,684
Barking,East Ham,810
Seven Sisters,Tottenham Hale,774
Camden Town,Mornington Crescent,936
North Acton,West Acton,186
Monument,Liverpool Street,2359
Tooting Bec,Tooting Broadway,1023
Euston Square,Kings Cross St. Pancras,997
Finchley Central,West Finchley,353
West Finchley,Woodside Park,193
Acton Town,South Ealing,226
Kenton,South Kenton,162
Canary Wharf,North Greenwich,2956
Green Park,Victoria,2066
Debden,Loughton,264
Hillingdon,Ickenham,138
High Street Kensington,Notting Hill Gate,730
North Ealing,Park Royal,71
Blackfriars,Temple,448
Pimlico,Victoria,1108
Oxford Circus,Warren Street,1313
Hounslow East,Osterley,212
Caledonian Road,Holloway Road,231
Balham,Tooting Bec,859
Southfields,Wimbledon Park,516
Ladbroke Grove,Westbourne Park,527
Harlesden,Stonebridge Park,162
Highbury and Islington,Kings Cross St. Pancras,1382
Cockfosters,Oakwood,258
Harrow-on-the-Hill,Northwick Park,312
Hatton Cross,Hounslow West,202
Dagenham East,Dagenham Heathway,208
Blackfriars,Mansion House,400
Knightsbridge,South Kensington,1685
Covent Garden,Leicester Square,1355
Earls Court,Gloucester Road,1240
Stockwell,Vauxhall,1348
Aldgate East,Whitechapel,585
Earls Court,West Kensington,720
Turnpike Lane,Wood Green,650
Camden Town,Kentish Town,954
Chigwell,Grange Hill,10
Gants Hill,Newbury Park,266
Maida Vale,Warwick Avenue,189
Bounds Green,Wood Green,599
Angel,Kings Cross St. Pancras,1455
Caledonian Road,Kings Cross St. Pancras,1047
Stepney Green,Whitechapel,383
Baker Street,Bond Street,1384
Bow Road,Mile End,328
Barbican,Farringdon,293
Hanger Lane,Perivale,169
Northfields,South Ealing,177
Chancery Lane,St. Pauls,259
Barking,Upney,588
Eastcote,Rayners Lane,143
Barons Court,West Kensington,274
Chorleywood,Rickmansworth,124
East Putney,Putney Bridge,751
Bow Road,Bromley-by-Bow,175
Totteridge and Whetstone,Woodside Park,319
Oval,Stockwell,392
Oakwood,Southgate,437
Boston Manor,Osterley,160
Baker Street,St. Johns Wood,568
Paddington,Royal Oak,1214
Baker Street,Marylebone,544
Monument,Cannon Street,315
Stamford Brook,Turnham Green,283
Finchley Central,Mill Hill East,271
Lancaster Gate,Queensway,433
Finchley Road,West Hampstead,423
Farringdon,Kings Cross St. Pancras,1419
East Putney,Southfields,606
Kingsbury,Wembley Park,460
Camden Town,Chalk Farm,981
Hounslow Central,Hounslow West,184
Embankment,Waterloo,1970
Plaistow,West Ham,228
Holborn,Tottenham Court Road,2001
Sudbury Hill,Sudbury Town,87
Aldgate East,Tower Hill,896
Ruislip,Ruislip Manor,135
Earls Court,West Brompton,665
Clapham Common,Clapham South,550
East Finchley,Finchley Central,524
Embankment,Westminster,1085
Harrow-on-the-Hill,North Harrow,258
Northolt,South Ruislip,272
Monument,Tower Hill,1216
Ickenham,Ruislip,111
Kensal Green,Queens Park,306
Mile End,Stratford,2769
Amersham,Chalfont and Latimer,218
Barons Court,Earls Court,834
Gloucester Road,South Kensington,1401
Aldgate,Liverpool Street,990
Harrow-on-the-Hill,West Harrow,172
Bond Street,Green Park,1562
Northwood,Northwood Hills,85
Waterloo,Westminster,1971
High Barnet,Totteridge and Whetstone,351
Gloucester Road,High Street Kensington,660
Ruislip Gardens,West Ruislip,172
Bermondsey,Canada Water,625
Preston Road,Wembley Park,385
Eastcote,Ruislip Manor,124
Fairlop,Hainault,127
Hatton Cross,Heathrow Terminal 4,288
Greenford,Northolt,298
Hillingdon,Uxbridge,467
Burnt Oak,Colindale,569
Canons Park,Stanmore,354
Hatton Cross,Heathrow Terminals 1 2 3,603
Canada Water,Canary Wharf,1893
Barbican,Moorgate,328
Snaresbrook,South Woodford,152
Kings Cross St. Pancras,Russell Square,989
Manor House,Turnpike Lane,526
Shepherds Bush Market,Wood Lane,742
Leyton,Leytonstone,468
Canons Park,Queensbury,283
Finsbury Park,Highbury and Islington,1102
Acton Town,Ealing Common,178
Stonebridge Park,Wembley Central,319
Epping,Theydon Bois,341
Charing Cross,Leicester Square,1767
Upminster,Upminster Bridge,341
Covent Garden,Holborn,850
Northwood Hills,Pinner,152
Oxford Circus,Piccadilly Circus,2350
Archway,Tufnell Park,398
St. Jamess Park,Victoria,912
Notting Hill Gate,Queensway,741
Kilburn,Willesden Green,452
Buckhurst Hill,Loughton,220
Battersea Power Station,Nine Elms,1154
Rayners Lane,South Harrow,116
Borough,Elephant and Castle,316
Roding Valley,Woodford,144
Hanger Lane,North Acton,223
Monument,London Bridge,2649
Liverpool Street,Moorgate,1707
Edgware Road (Bakerloo),Paddington,1091
Kennington,Waterloo,1647
London Bridge,Southwark,1359
Barkingside,Fairlop,84
Blackhorse Road,Walthamstow Central,1330
Finsbury Park,Manor House,929
Rayners Lane,West Harrow,66
Camden Town,Euston,1880
Belsize Park,Hampstead,383
Borough,London Bridge,1398
Kilburn Park,Queens Park,317
Debden,Theydon Bois,177
Heathrow Terminal 4,Heathrow Terminals 1 2 3,439
Bayswater,Paddington,1000
Chancery Lane,Holborn,443
Mile End,Stepney Green,315
Embankment,Temple,527
Chiswick Park,Turnham Green,260
Euston,Mornington Crescent,649
Northwick Park,Preston Road,81
Edgware Road (Bakerloo),Marylebone,221
Green Park,Oxford Circus,2613
Neasden,Wembley Park,458
Canning Town,West Ham,596
Lambeth North,Waterloo,938
Parsons Green,Putney Bridge,638
Elephant and Castle,Kennington,588
East Acton,North Acton,260
Kennington,Oval,240
Blackhorse Road,Tottenham Hale,1259
Pimlico,Vauxhall,670
Harlesden,Willesden Junction,307
Goodge Street,Tottenham Court Road,1013
Becontree,Upney,121
Hounslow Central,Hounslow East,158
Sloane Square,Victoria,1293
Croxley,Moor Park,59
Croxley,Watford,104
Alperton,Sudbury Town,138
Stratford,West Ham,2702
Elm Park,Hornchurch,136
Barkingside,Newbury Park,182
Earls Court,Kensington (Olympia),403
Leytonstone,Snaresbrook,262
Dollis Hill,Willesden Green,280
Arnos Grove,Bounds Green,365
Ealing Broadway,Ealing Common,542
Redbridge,Wanstead,136
Bethnal Green,Mile End,504
Monument,Moorgate,945
Green Park,Westminster,1244
Grange Hill,Hainault,81
Sloane Square,South Kensington,1406
Arsenal,Finsbury Park,802
Paddington,Warwick Avenue,1359
Bermondsey,London Bridge,1703
Brent Cross,Hendon Central,353
Chalfont and Latimer,Chesham,161
Baker Street,Regents Park,296
Baker Street,Finchley Road,773
Charing Cross,Piccadilly Circus,1300
Holland Park,Shepherds Bush,743
Holland Park,Notting Hill Gate,544
Monument,Waterloo,1958
Latimer Road,Wood Lane,478
Gunnersbury,Turnham Green,404
Belsize Park,Chalk Farm,383
South Harrow,Sudbury Hill,124
Kilburn,West Hampstead,451
Moorgate,Old Street,671
Lancaster Gate,Marble Arch,521
Chigwell,Roding Valley,11
Aldgate,Tower Hill,511
South Woodford,Woodford,303
Fulham Broadway,Parsons Green,552
Kingsbury,Queensbury,157
Charing Cross,Embankment,815
Harrow and Wealdstone,Kenton,297
Hyde Park Corner,Knightsbridge,707
Aldgate East,Liverpool Street,1651
Canning Town,North Greenwich,1732
Leytonstone,Wanstead,288
Colliers Wood,Tooting Broadway,1181
Golders Green,Hampstead,488
Earls Court,High Street Kensington,1177
Bayswater,Notting Hill Gate,405
Clapham North,Stockwell,435
Gants Hill,Redbridge,207
Bethnal Green,Liverpool Street,1001
Ealing Common,North Ealing,58
East Ham,Upton Park,591
Elephant and Castle,Lambeth North,329
North Harrow,Pinner,118
Finchley Road,Wembley Park,696
Buckhurst Hill,Woodford,240
Green Park,Hyde Park Corner,499
Clapham Common,Clapham North,446
Archway,Highgate,486
Oxford Circus,Tottenham Court Road,3340
Euston,Warren Street,553
Euston,Kings Cross St. Pancras,1796
Kew Gardens,Richmond,1731
Kennington,Nine Elms,255
St. Jamess Park,Westminster,522
Plaistow,Upton Park,319
Ruislip Gardens,South Ruislip,158
Chalfont and Latimer,Chorleywood,155
Royal Oak,Westbourne Park,198
Goodge Street,Warren Street,228
Kensal Green,Willesden Junction,288
North Wembley,Wembley Central,285
Bromley-by-Bow,West Ham,206
Colindale,Hendon Central,542
East Finchley,Highgate,411
Heathrow Terminal 5,Heathrow Terminals 1 2 3,464
Ravenscourt Park,Stamford Brook,189
East Acton,White City,371
Becontree,Dagenham Heathway,188
Moor Park,Rickmansworth,103
Ladbroke Grove,Latimer Road,609
Morden,South Wimbledon,1001
Monument,St. Pauls,533
Arsenal,Holloway Road,200
Acton Town,Turnham Green,537
Kentish Town,Tufnell Park,320
Boston Manor,Northfields,149
Balham,Clapham South,725
Wimbledon,Wimbledon Park,2126
Source Station,Target Station,Weight
Kilburn,Willesden Green,450
Green Park,Piccadilly Circus,1563
Angel,Kings Cross St. Pancras,1376
Ladbroke Grove,Westbourne Park,545
Clapham Common,Clapham North,415
Mile End,Stepney Green,401
Harrow-on-the-Hill,West Harrow,231
Boston Manor,Osterley,156
Kingsbury,Queensbury,179
Waterloo,Westminster,1948
Moor Park,Rickmansworth,102
Paddington,Warwick Avenue,1253
Borough,Elephant and Castle,372
Stockwell,Vauxhall,1386
Chiswick Park,Turnham Green,251
Liverpool Street,Moorgate,1642
Battersea Power Station,Nine Elms,1151
Blackfriars,Mansion House,460
Paddington,Royal Oak,1192
Finchley Central,West Finchley,318
Bow Road,Bromley-by-Bow,154
Hanger Lane,North Acton,248
Dollis Hill,Willesden Green,320
Finchley Central,Mill Hill East,270
Harlesden,Willesden Junction,348
Bethnal Green,Liverpool Street,1041
Gloucester Road,High Street Kensington,721
Kennington,Nine Elms,296
Oxford Circus,Piccadilly Circus,2407
Monument,Waterloo,2046
Debden,Loughton,256
Baker Street,Regents Park,321
Snaresbrook,South Woodford,165
Barking,East Ham,805
Kensal Green,Queens Park,297
Finchley Road,Swiss Cottage,245
Kings Cross St. Pancras,Russell Square,974
Hanger Lane,Perivale,177
Arnos Grove,Southgate,420
Holland Park,Shepherds Bush,772
Elephant and Castle,Kennington,601
Alperton,Sudbury Town,142
Bounds Green,Wood Green,595
Fulham Broadway,Parsons Green,546
Euston,Kings Cross St. Pancras,1804
Finchley Road,West Hampstead,373
Canning Town,West Ham,591
Hornchurch,Upminster Bridge,124
Bond Street,Oxford Circus,2288
Canada Water,Canary Wharf,1856
East Ham,Upton Park,576
Northwood,Northwood Hills,122
Monument,Cannon Street,319
Gunnersbury,Turnham Green,456
Sloane Square,Victoria,1354
Euston,Warren Street,610
Lambeth North,Waterloo,881
Cannon Street,Mansion House,168
Totteridge and Whetstone,Woodside Park,330
Blackfriars,Temple,389
Canning Town,North Greenwich,1678
Kensal Green,Willesden Junction,328
Oxford Circus,Regents Park,685
Kenton,South Kenton,159
Sudbury Hill,Sudbury Town,89
Seven Sisters,Tottenham Hale,846
Monument,Tower Hill,1127
Stepney Green,Whitechapel,361
Goldhawk Road,Shepherds Bush Market,320
Sloane Square,South Kensington,1299
Archway,Tufnell Park,397
Hyde Park Corner,Knightsbridge,679
South Harrow,Sudbury Hill,98
Ruislip,Ruislip Manor,116
Croxley,Moor Park,63
Gants Hill,Newbury Park,250
Maida Vale,Warwick Avenue,161
North Ealing,Park Royal,90
Plaistow,West Ham,233
Wimbledon,Wimbledon Park,2092
Leytonstone,Snaresbrook,257
Shepherds Bush,White City,1104
Camden Town,Mornington Crescent,976
Lancaster Gate,Marble Arch,528
Greenford,Northolt,292
Angel,Old Street,540
Blackhorse Road,Tottenham Hale,1255
Earls Court,High Street Kensington,1192
Chigwell,Grange Hill,14
Barbican,Moorgate,389
Plaistow,Upton Park,346
Brent Cross,Golders Green,338
High Street Kensington,Notting Hill Gate,729
Acton Town,Ealing Common,218
Grange Hill,Hainault,85
Northolt,South Ruislip,259
Caledonian Road,Holloway Road,238
Kennington,Waterloo,1587
Cockfosters,Oakwood,266
Chalfont and Latimer,Chesham,135
Amersham,Chalfont and Latimer,218
Borough,London Bridge,1281
East Finchley,Highgate,424
Finsbury Park,Manor House,936
Chorleywood,Rickmansworth,121
Earls Court,Gloucester Road,1221
Aldgate,Liverpool Street,948
Colliers Wood,South Wimbledon,705
Stratford,West Ham,2724
Clapham Common,Clapham South,607
Northfields,South Ealing,150
Hounslow Central,Hounslow East,212
Monument,Moorgate,957
Pimlico,Vauxhall,681
Eastcote,Rayners Lane,131
Arnos Grove,Bounds Green,376
St. Johns Wood,Swiss Cottage,209
Oakwood,Southgate,386
Edgware Road (Bakerloo),Paddington,1151
Chancery Lane,St. Pauls,262
Fulham Broadway,West Brompton,437
Hatton Cross,Hounslow West,251
North Harrow,Pinner,120
Colindale,Hendon Central,509
Euston Square,Kings Cross St. Pancras,1037
Ruislip Gardens,West Ruislip,138
Archway,Highgate,466
Monument,Liverpool Street,2184
Edgware Road (Bakerloo),Marylebone,230
Earls Court,Kensington (Olympia),408
Kilburn,West Hampstead,478
Mile End,Stratford,2779
Arsenal,Holloway Road,192
North Wembley,Wembley Central,311
Aldgate East,Whitechapel,619
Gunnersbury,Kew Gardens,663
Camden Town,Chalk Farm,915
Monument,London Bridge,2662
Greenford,Perivale,201
Kentish Town,Tufnell Park,366
Holland Park,Notting Hill Gate,429
Arsenal,Finsbury Park,808
Baker Street,St. Johns Wood,545
Latimer Road,Wood Lane,416
Knightsbridge,South Kensington,1680
Chalfont and Latimer,Chorleywood,179
Green Park,Victoria,2002
Northwick Park,Preston Road,102
Southwark,Waterloo,949
Leyton,Leytonstone,538
Neasden,Wembley Park,448
Earls Court,West Kensington,722
Hounslow East,Osterley,160
Kilburn Park,Queens Park,343
East Acton,White City,359
Oxford Circus,Tottenham Court Road,3140
Upminster,Upminster Bridge,326
Caledonian Road,Kings Cross St. Pancras,1100
Stamford Brook,Turnham Green,276
Holborn,Tottenham Court Road,2121
Bermondsey,Canada Water,657
Leyton,Stratford,1659
Baker Street,Finchley Road,741
Barbican,Farringdon,250
Oxford Circus,Warren Street,1230
Embankment,Temple,447
Morden,South Wimbledon,982
Leicester Square,Tottenham Court Road,2955
Baker Street,Marylebone,550
Chancery Lane,Holborn,455
Balham,Tooting Bec,851
Tooting Bec,Tooting Broadway,1032
Holborn,Russell Square,482
Leicester Square,Piccadilly Circus,2266
Turnpike Lane,Wood Green,634
Monument,St. Pauls,535
West Finchley,Woodside Park,193
Heathrow Terminal 4,Heathrow Terminals 1 2 3,460
Charing Cross,Piccadilly Circus,1166
Harrow and Wealdstone,Kenton,266
Canary Wharf,North Greenwich,2807
Fairlop,Hainault,125
Green Park,Oxford Circus,2607
Moor Park,Northwood,131
Eastcote,Ruislip Manor,130
Bow Road,Mile End,371
Highbury and Islington,Kings Cross St. Pancras,1403
Ickenham,Ruislip,128
Becontree,Dagenham Heathway,215
Acton Town,Turnham Green,489
Bermondsey,London Bridge,1711
Kingsbury,Wembley Park,517
Stonebridge Park,Wembley Central,330
Preston Road,Wembley Park,431
East Finchley,Finchley Central,534
Hounslow Central,Hounslow West,169
Rayners Lane,South Harrow,156
East Putney,Putney Bridge,670
Chigwell,Roding Valley,8
Aldgate,Tower Hill,546
Croxley,Watford,108
London Bridge,Southwark,1259
Bond Street,Marble Arch,906
Alperton,Park Royal,158
Epping,Theydon Bois,301
Goodge Street,Warren Street,225
Hillingdon,Uxbridge,491
Notting Hill Gate,Queensway,697
Charing Cross,Leicester Square,1681
Leytonstone,Wanstead,261
Camden Town,Euston,1831
Goodge Street,Tottenham Court Road,964
East Acton,North Acton,261
Debden,Theydon Bois,152
Embankment,Waterloo,1921
Barkingside,Fairlop,76
Burnt Oak,Edgware,495
Parsons Green,Putney Bridge,647
Farringdon,Kings Cross St. Pancras,1429
Harrow-on-the-Hill,North Harrow,302
Gloucester Road,South Kensington,1340
Southfields,Wimbledon Park,548
East Putney,Southfields,579
Aldgate East,Tower Hill,862
Dagenham East,Elm Park,136
Kilburn Park,Maida Vale,203
Green Park,Hyde Park Corner,513
Ealing Common,North Ealing,77
Elephant and Castle,Lambeth North,308
Acton Town,South Ealing,211
Heathrow Terminal 5,Heathrow Terminals 1 2 3,431
Canons Park,Queensbury,233
Earls Court,West Brompton,696
Hillingdon,Ickenham,129
Rayners Lane,West Harrow,85
Bond Street,Green Park,1586
Bethnal Green,Mile End,520
Becontree,Upney,139
Euston Square,Great Portland Street,180
Green Park,Westminster,1188
North Acton,West Acton,180
Belsize Park,Chalk Farm,386
Aldgate East,Liverpool Street,1638
Colliers Wood,Tooting Broadway,1067
Ladbroke Grove,Latimer Road,557
Covent Garden,Holborn,846
Hatton Cross,Heathrow Terminal 4,228
South Woodford,Woodford,283
Ealing Broadway,Ealing Common,536
Manor House,Turnpike Lane,417
Buckhurst Hill,Woodford,215
Camden Town,Kentish Town,989
Euston,Mornington Crescent,676
Acton Town,Chiswick Park,251
Covent Garden,Leicester Square,1344
High Barnet,Totteridge and Whetstone,361
Finchley Road,Wembley Park,666
North Wembley,South Kenton,86
Canons Park,Stanmore,351
Roding Valley,Woodford,122
Dollis Hill,Neasden,155
Bromley-by-Bow,West Ham,207
Belsize Park,Hampstead,440
Royal Oak,Westbourne Park,179
Gants Hill,Redbridge,234
Moorgate,Old Street,687
Brixton,Stockwell,1526
Charing Cross,Embankment,821
Harrow-on-the-Hill,Northwick Park,302
Hatton Cross,Heathrow Terminals 1 2 3,600
Clapham North,Stockwell,484
Northwood Hills,Pinner,149
Ravenscourt Park,Stamford Brook,181
Elm Park,Hornchurch,134
St. Jamess Park,Victoria,959
Bayswater,Paddington,972
Buckhurst Hill,Loughton,221
Shepherds Bush Market,Wood Lane,769
Redbridge,Wanstead,128
Kennington,Oval,213
Boston Manor,Northfields,167
Blackhorse Road,Walthamstow Central,1395
Burnt Oak,Colindale,527
Ealing Broadway,West Acton,431
Balham,Clapham South,707
Golders Green,Hampstead,431
Barons Court,Earls Court,818
Bayswater,Notting Hill Gate,366
Barkingside,Newbury Park,159
Oval,Stockwell,367
Harlesden,Stonebridge Park,175
Embankment,Westminster,1136
Ruislip Gardens,South Ruislip,178
Barons Court,West Kensington,227
Baker Street,Bond Street,1411
St. Jamess Park,Westminster,500
Finsbury Park,Seven Sisters,1195
Baker Street,Great Portland Street,426
Barking,Upney,568
Kew Gardens,Richmond,1811
Dagenham East,Dagenham Heathway,179
Lancaster Gate,Queensway,375
Pimlico,Victoria,1070
Finsbury Park,Highbury and Islington,1037
Brent Cross,Hendon Central,392
Source Station,Target Station,Weight
Ruislip Gardens,West Ruislip,130
North Wembley,South Kenton,104
Hounslow Central,Hounslow East,179
Highbury and Islington,Kings Cross St. Pancras,1388
Plaistow,West Ham,216
Canning Town,North Greenwich,1656
Gloucester Road,High Street Kensington,670
Green Park,Oxford Circus,2543
Baker Street,Regents Park,330
Plaistow,Upton Park,308
North Wembley,Wembley Central,307
Monument,Waterloo,2072
Hillingdon,Ickenham,122
Holland Park,Shepherds Bush,752
Hounslow East,Osterley,212
East Acton,White City,379
Blackhorse Road,Tottenham Hale,1302
Kennington,Waterloo,1795
Kensal Green,Queens Park,311
Kilburn,West Hampstead,472
Seven Sisters,Tottenham Hale,902
Burnt Oak,Edgware,442
Finchley Road,Swiss Cottage,260
East Putney,Southfields,647
Lancaster Gate,Marble Arch,486
Euston Square,Great Portland Street,159
Heathrow Terminal 4,Heathrow Terminals 1 2 3,441
Embankment,Temple,506
Croxley,Moor Park,75
Bethnal Green,Mile End,523
Lambeth North,Waterloo,940
Sudbury Hill,Sudbury Town,111
Covent Garden,Holborn,905
Boston Manor,Northfields,137
Maida Vale,Warwick Avenue,166
Clapham Common,Clapham South,595
Parsons Green,Putney Bridge,670
Kew Gardens,Richmond,1739
Tooting Bec,Tooting Broadway,989
Charing Cross,Embankment,816
Southfields,Wimbledon Park,507
Farringdon,Kings Cross St. Pancras,1428
Aldgate East,Tower Hill,909
Acton Town,Turnham Green,449
Becontree,Dagenham Heathway,206
Charing Cross,Leicester Square,1643
Lancaster Gate,Queensway,413
Bethnal Green,Liverpool Street,1041
Ladbroke Grove,Latimer Road,584
Ruislip Gardens,South Ruislip,158
Belsize Park,Chalk Farm,374
Northolt,South Ruislip,263
Eastcote,Rayners Lane,133
Angel,Kings Cross St. Pancras,1484
Boston Manor,Osterley,129
Hillingdon,Uxbridge,511
Caledonian Road,Holloway Road,216
Snaresbrook,South Woodford,165
Bond Street,Marble Arch,910
Kingsbury,Queensbury,153
Preston Road,Wembley Park,381
Roding Valley,Woodford,120
Mile End,Stratford,2766
West Finchley,Woodside Park,218
Oval,Stockwell,359
Stratford,West Ham,2674
Leicester Square,Piccadilly Circus,2339
South Woodford,Woodford,283
Borough,London Bridge,1352
Gants Hill,Redbridge,200
Oxford Circus,Regents Park,646
Barking,East Ham,833
Northwood,Northwood Hills,96
Oxford Circus,Piccadilly Circus,2337
Canada Water,Canary Wharf,1932
Paddington,Warwick Avenue,1205
Canons Park,Queensbury,231
Camden Town,Chalk Farm,937
Barons Court,Earls Court,873
Ealing Broadway,Ealing Common,552
Monument,London Bridge,2696
Mile End,Stepney Green,322
Earls Court,West Brompton,756
Chorleywood,Rickmansworth,120
Ealing Common,North Ealing,61
Blackfriars,Mansion House,461
Monument,Tower Hill,1148
Paddington,Royal Oak,1247
Hounslow Central,Hounslow West,148
Euston,Kings Cross St. Pancras,1784
Archway,Highgate,486
Kentish Town,Tufnell Park,367
Barking,Upney,574
Acton Town,Chiswick Park,192
Clapham Common,Clapham North,446
Gunnersbury,Turnham Green,436
Edgware Road (Bakerloo),Marylebone,209
Colindale,Hendon Central,509
London Bridge,Southwark,1385
Charing Cross,Piccadilly Circus,1247
Northwick Park,Preston Road,84
Latimer Road,Wood Lane,442
Debden,Theydon Bois,163
Balham,Clapham South,743
Colliers Wood,Tooting Broadway,1060
East Finchley,Finchley Central,552
Dagenham East,Dagenham Heathway,214
Angel,Old Street,515
North Harrow,Pinner,105
Stepney Green,Whitechapel,380
Shepherds Bush Market,Wood Lane,736
Kenton,South Kenton,132
Arsenal,Finsbury Park,773
Holland Park,Notting Hill Gate,539
Greenford,Northolt,246
Bow Road,Mile End,349
Gloucester Road,South Kensington,1346
Monument,St. Pauls,578
Fairlop,Hainault,114
Greenford,Perivale,173
Blackfriars,Temple,414
Holborn,Russell Square,505
Baker Street,St. Johns Wood,577
North Ealing,Park Royal,73
Hornchurch,Upminster Bridge,105
Fulham Broadway,Parsons Green,551
Acton Town,South Ealing,219
Green Park,Piccadilly Circus,1540
Pimlico,Victoria,1037
Dagenham East,Elm Park,163
Morden,South Wimbledon,1046
Harrow-on-the-Hill,Northwick Park,307
Barkingside,Newbury Park,186
Stockwell,Vauxhall,1308
Kennington,Oval,232
Camden Town,Mornington Crescent,907
Earls Court,Gloucester Road,1106
East Finchley,Highgate,396
Bermondsey,Canada Water,691
Northfields,South Ealing,147
Finsbury Park,Seven Sisters,1136
Ealing Broadway,West Acton,456
Chiswick Park,Turnham Green,222
Hyde Park Corner,Knightsbridge,637
Covent Garden,Leicester Square,1323
Heathrow Terminal 5,Heathrow Terminals 1 2 3,485
Stamford Brook,Turnham Green,280
Buckhurst Hill,Woodford,225
Gants Hill,Newbury Park,307
Golders Green,Hampstead,433
Liverpool Street,Moorgate,1729
Knightsbridge,South Kensington,1705
Elm Park,Hornchurch,133
Amersham,Chalfont and Latimer,228
Camden Town,Kentish Town,1028
Pimlico,Vauxhall,650
Chancery Lane,Holborn,464
Kingsbury,Wembley Park,490
Kennington,Nine Elms,280
Embankment,Waterloo,1900
Rayners Lane,South Harrow,121
Clapham North,Stockwell,451
Harlesden,Willesden Junction,332
Harrow and Wealdstone,Kenton,246
Kilburn,Willesden Green,478
Acton Town,Ealing Common,197
Leyton,Stratford,1587
Harlesden,Stonebridge Park,227
Belsize Park,Hampstead,400
Bounds Green,Wood Green,537
Elephant and Castle,Kennington,535
Baker Street,Finchley Road,725
Arnos Grove,Bounds Green,403
Shepherds Bush,White City,1213
Wimbledon,Wimbledon Park,2129
East Putney,Putney Bridge,728
Manor House,Turnpike Lane,440
Euston,Mornington Crescent,643
Hatton Cross,Hounslow West,229
Upminster,Upminster Bridge,349
Bond Street,Green Park,1540
Canning Town,West Ham,601
Chigwell,Roding Valley,8
Green Park,Victoria,2131
Sloane Square,Victoria,1382
Buckhurst Hill,Loughton,224
Euston Square,Kings Cross St. Pancras,1059
Aldgate East,Liverpool Street,1693
Barkingside,Fairlop,79
Ravenscourt Park,Stamford Brook,198
Canons Park,Stanmore,329
Kings Cross St. Pancras,Russell Square,979
Hanger Lane,Perivale,167
Ruislip,Ruislip Manor,123
Leytonstone,Wanstead,285
Redbridge,Wanstead,118
Epping,Theydon Bois,314
Cannon Street,Mansion House,144
Hanger Lane,North Acton,235
Leytonstone,Snaresbrook,238
Alperton,Sudbury Town,136
Chancery Lane,St. Pauls,248
East Acton,North Acton,231
Southwark,Waterloo,987
Dollis Hill,Willesden Green,312
Euston,Warren Street,597
Stonebridge Park,Wembley Central,338
St. Johns Wood,Swiss Cottage,227
Leyton,Leytonstone,522
St. Jamess Park,Victoria,884
Bermondsey,London Bridge,1639
Moorgate,Old Street,662
Canary Wharf,North Greenwich,2950
Oxford Circus,Tottenham Court Road,3190
Barbican,Farringdon,286
Sloane Square,South Kensington,1376
