Source Station,Target Station,Weight
Ealing Broadway,Ealing Common,533
Baker Street,Bond Street,1546
Stepney Green,Whitechapel,166
Bond Street,Green Park,1442
Belsize Park,Chalk Farm,388
East Ham,Upton Park,408
Stamford Brook,Turnham Green,143
Kingsbury,Wembley Park,254
Gloucester Road,South Kensington,764
Burnt Oak,Edgware,441
Brent Cross,Golders Green,394
Hounslow Central,Hounslow West,90
Brixton,Stockwell,1490
Bermondsey,Canada Water,649
Shepherds Bush,White City,493
Finchley Central,West Finchley,315
Bromley-by-Bow,West Ham,167
Colindale,Hendon Central,454
Kew Gardens,Richmond,780
Snaresbrook,South Woodford,81
High Street Kensington,Notting Hill Gate,376
Lambeth North,Waterloo,456
Caledonian Road,Kings Cross St. Pancras,551
Wimbledon,Wimbledon Park,1172
Kilburn Park,Maida Vale,101
Charing Cross,Embankment,696
Moorgate,Old Street,246
Battersea Power Station,Nine Elms,1015
