Source Station,Target Station,Weight
Bromley-by-Bow,West Ham,117
Lambeth North,Waterloo,49
South Woodford,Woodford,29
Barons Court,West Kensington,162
Canary Wharf,North Greenwich,1440
Charing Cross,Leicester Square,636
Canning Town,West Ham,525
Hanger Lane,North Acton,27
Barbican,Farringdon,262
Finchley Road,West Hampstead,137
Maida Vale,Warwick Avenue,8
Finchley Road,Wembley Park,245
Mile End,Stratford,163
Clapham Common,Clapham North,480
Acton Town,Ealing Common,209
Clapham North,Stockwell,247
St. Jamess Park,Westminster,55
Ealing Broadway,West Acton,390
Bayswater,Paddington,154
Ealing Common,North Ealing,41
Northwood Hills,Pinner,5
Latimer Road,Wood Lane,41
Leytonstone,Snaresbrook,17
Totteridge and Whetstone,Woodside Park,27
Fulham Broadway,West Brompton,271
Kensal Green,Willesden Junction,28
Arsenal,Finsbury Park,756
Ravenscourt Park,Stamford Brook,6
Gloucester Road,High Street Kensington,379
Green Park,Victoria,371
Ladbroke Grove,Latimer Road,31
Baker Street,Finchley Road,784
Finsbury Park,Seven Sisters,823
Barking,Upney,464
Bethnal Green,Liverpool Street,380
Aldgate,Tower Hill,135
Baker Street,Marylebone,298
Stepney Green,Whitechapel,15
Turnpike Lane,Wood Green,49
Finchley Central,Mill Hill East,187
Balham,Clapham South,765
Mile End,Stepney Green,11
Earls Court,Gloucester Road,1201
Aldgate East,Tower Hill,305
Parsons Green,Putney Bridge,48
Barkingside,Fairlop,69
Leytonstone,Wanstead,19
Kennington,Waterloo,134
Arsenal,Holloway Road,69
Oxford Circus,Regents Park,77
Becontree,Dagenham Heathway,148
Kennington,Oval,17
Sloane Square,South Kensington,63
East Finchley,Finchley Central,557
Euston,Warren Street,352
Camden Town,Kentish Town,652
Angel,Old Street,257
Oxford Circus,Warren Street,126
Canada Water,Canary Wharf,1845
Golders Green,Hampstead,215
Gants Hill,Redbridge,127
Covent Garden,Leicester Square,532
Shepherds Bush Market,Wood Lane,76
Elm Park,Hornchurch,73
Kilburn,Willesden Green,21
Goodge Street,Warren Street,105
Bermondsey,Canada Water,678
Wimbledon,Wimbledon Park,180
Kennington,Nine Elms,11
Gunnersbury,Kew Gardens,42
Boston Manor,Northfields,47
Embankment,Westminster,454
Acton Town,South Ealing,107
Eastcote,Rayners Lane,63
Greenford,Northolt,37
Notting Hill Gate,Queensway,65
Bow Road,Bromley-by-Bow,141
Earls Court,Kensington (Olympia),211
Boston Manor,Osterley,54
Hanger Lane,Perivale,12
Leicester Square,Tottenham Court Road,153
Euston,Kings Cross St. Pancras,800
Monument,Cannon Street,311
London Bridge,Southwark,78
Kentish Town,Tufnell Park,15
Sudbury Hill,Sudbury Town,5
Euston Square,Kings Cross St. Pancras,307
Harrow-on-the-Hill,West Harrow,12
Ladbroke Grove,Westbourne Park,40
Northfields,South Ealing,5
Bond Street,Green Park,1340
Northolt,South Ruislip,29
Bayswater,Notting Hill Gate,148
Leicester Square,Piccadilly Circus,142
Chalfont and Latimer,Chesham,131
Caledonian Road,Holloway Road,131
Hounslow Central,Hounslow East,19
North Harrow,Pinner,3
Buckhurst Hill,Woodford,100
Hatton Cross,Heathrow Terminal 4,22
Fairlop,Hainault,39
Pimlico,Vauxhall,26
Stratford,West Ham,179
Ruislip Gardens,South Ruislip,23
Monument,Tower Hill,392
West Finchley,Woodside Park,27
Oval,Stockwell,13
Monument,Waterloo,493
Euston,Mornington Crescent,477
Morden,South Wimbledon,71
Heathrow Terminal 5,Heathrow Terminals 1 2 3,29
Clapham Common,Clapham South,532
East Ham,Upton Park,308
Camden Town,Mornington Crescent,667
Balham,Tooting Bec,474
Knightsbridge,South Kensington,47
Hillingdon,Ickenham,5
Moorgate,Old Street,42
Edgware Road (Bakerloo),Paddington,206
Burnt Oak,Edgware,402
North Ealing,Park Royal,4
Kingsbury,Wembley Park,48
Chiswick Park,Turnham Green,95
Royal Oak,Westbourne Park,17
Embankment,Temple,320
