Source Station,Target Station,Weight
Harrow-on-the-Hill,Northwick Park,26
Rayners Lane,South Harrow,17
Waterloo,Westminster,193
Becontree,Upney,79
Archway,Highgate,286
Elephant and Castle,Kennington,492
Moor Park,Rickmansworth,15
Monument,London Bridge,538
Southfields,Wimbledon Park,35
Arnos Grove,Bounds Green,389
Green Park,Piccadilly Circus,364
Hatton Cross,Heathrow Terminals 1 2 3,77
Colindale,Hendon Central,293
Chancery Lane,St. Pauls,75
Hyde Park Corner,Knightsbridge,32
Stamford Brook,Turnham Green,26
Earls Court,West Brompton,369
Hatton Cross,Hounslow West,31
Chigwell,Grange Hill,17
Sloane Square,Victoria,82
Acton Town,Chiswick Park,204
Debden,Theydon Bois,108
Liverpool Street,Moorgate,107
Caledonian Road,Kings Cross St. Pancras,202
Brent Cross,Golders Green,380
Dagenham East,Dagenham Heathway,180
Stockwell,Vauxhall,78
Greenford,Perivale,18
Kingsbury,Queensbury,4
Euston Square,Great Portland Street,167
Finsbury Park,Highbury and Islington,586
Canons Park,Stanmore,78
Alperton,Park Royal,70
Borough,London Bridge,206
Green Park,Westminster,296
Aldgate East,Whitechapel,231
Bounds Green,Wood Green,211
Baker Street,Great Portland Street,421
Harrow-on-the-Hill,North Harrow,21
Heathrow Terminal 4,Heathrow Terminals 1 2 3,35
Ruislip,Ruislip Manor,5
Northwood,Northwood Hills,1
Amersham,Chalfont and Latimer,164
Northwick Park,Preston Road,9
Elephant and Castle,Lambeth North,224
Arnos Grove,Southgate,203
Finchley Road,Swiss Cottage,130
Bethnal Green,Mile End,391
Chalfont and Latimer,Chorleywood,133
Cannon Street,Mansion House,92
Barking,East Ham,752
Finchley Central,West Finchley,256
East Acton,White City,80
Chancery Lane,Holborn,108
Redbridge,Wanstead,4
Monument,Moorgate,435
Brent Cross,Hendon Central,154
Holland Park,Notting Hill Gate,31
Kilburn Park,Maida Vale,17
Colliers Wood,South Wimbledon,359
Leyton,Leytonstone,28
Canons Park,Queensbury,100
Camden Town,Chalk Farm,943
Lancaster Gate,Marble Arch,18
Leyton,Stratford,117
Monument,St. Pauls,215
Tooting Bec,Tooting Broadway,93
North Wembley,South Kenton,10
Goldhawk Road,Shepherds Bush Market,191
Epping,Theydon Bois,257
Stonebridge Park,Wembley Central,35
Green Park,Hyde Park Corner,136
Earls Court,High Street Kensington,471
Debden,Loughton,112
Hornchurch,Upminster Bridge,7
Dollis Hill,Willesden Green,114
Kensal Green,Queens Park,26
Green Park,Oxford Circus,570
Covent Garden,Holborn,581
Harlesden,Stonebridge Park,19
High Street Kensington,Notting Hill Gate,52
Highbury and Islington,Kings Cross St. Pancras,112
Gants Hill,Newbury Park,162
Charing Cross,Embankment,736
Ruislip Gardens,West Ruislip,26
East Putney,Putney Bridge,320
Bond Street,Marble Arch,607
Croxley,Moor Park,45
Earls Court,West Kensington,464
Rayners Lane,West Harrow,7
Canning Town,North Greenwich,458
Seven Sisters,Tottenham Hale,72
Belsize Park,Hampstead,204
Goodge Street,Tottenham Court Road,166
Oxford Circus,Tottenham Court Road,231
Bond Street,Oxford Circus,1279
Chorleywood,Rickmansworth,47
East Acton,North Acton,89
Gunnersbury,Turnham Green,46
Roding Valley,Woodford,12
St. Johns Wood,Swiss Cottage,10
Gloucester Road,South Kensington,323
Hounslow Central,Hounslow West,20
Kilburn Park,Queens Park,40
High Barnet,Totteridge and Whetstone,19
Finsbury Park,Manor House,704
Burnt Oak,Colindale,581
Hillingdon,Uxbridge,35
Dagenham East,Elm Park,122
Grange Hill,Hainault,25
Blackfriars,Temple,269
Barkingside,Newbury Park,49
Neasden,Wembley Park,40
Blackhorse Road,Walthamstow Central,374
Acton Town,Turnham Green,267
Pimlico,Victoria,100
Croxley,Watford,20
Moor Park,Northwood,10
Charing Cross,Piccadilly Circus,588
Barbican,Moorgate,104
Blackhorse Road,Tottenham Hale,609
Holborn,Tottenham Court Road,105
Baker Street,St. Johns Wood,357
Aldgate East,Liverpool Street,444
Harlesden,Willesden Junction,28
Lancaster Gate,Queensway,12
Edgware Road (Bakerloo),Marylebone,94
Alperton,Sudbury Town,104
Manor House,Turnpike Lane,22
Archway,Tufnell Park,244
Camden Town,Euston,1981
Oakwood,Southgate,30
Bow Road,Mile End,159
Hounslow East,Osterley,12
South Harrow,Sudbury Hill,2
Embankment,Waterloo,582
Holborn,Russell Square,27
Paddington,Warwick Avenue,81
Cockfosters,Oakwood,131
Barons Court,Earls Court,838
Battersea Power Station,Nine Elms,1003
Dollis Hill,Neasden,89
Plaistow,Upton Park,9
Brixton,Stockwell,1438
Harrow and Wealdstone,Kenton,10
Kings Cross St. Pancras,Russell Square,51
Plaistow,West Ham,9
Blackfriars,Mansion House,335
St. Jamess Park,Victoria,86
Paddington,Royal Oak,80
Belsize Park,Chalk Farm,409
Baker Street,Regents Park,254
East Putney,Southfields,343
Holland Park,Shepherds Bush,27
Chigwell,Roding Valley,9
Shepherds Bush,White City,45
Southwark,Waterloo,61
Buckhurst Hill,Loughton,94
Borough,Elephant and Castle,328
Fulham Broadway,Parsons Green,293
Kenton,South Kenton,12
Preston Road,Wembley Park,26
Eastcote,Ruislip Manor,61
Angel,Kings Cross St. Pancras,707
Kilburn,West Hampstead,22
North Acton,West Acton,19
Ickenham,Ruislip,8
Bermondsey,London Bridge,343
Upminster,Upminster Bridge,16
North Wembley,Wembley Central,24
Colliers Wood,Tooting Broadway,394
Oxford Circus,Piccadilly Circus,266
Baker Street,Bond Street,1546
Snaresbrook,South Woodford,12
East Finchley,Highgate,200
Kew Gardens,Richmond,105
Aldgate,Liverpool Street,238
Ealing Broadway,Ealing Common,518
Farringdon,Kings Cross St. Pancras,550
Monument,Liverpool Street,683
