Source Station,Target Station,Weight
Aldgate,Tower Hill,117
Boston Manor,Northfields,46
Boston Manor,Osterley,54
Green Park,Oxford Circus,29
Sloane Square,Victoria,0
Kilburn,West Hampstead,0
Camden Town,Euston,1225
Chancery Lane,Holborn,53
Gloucester Road,High Street Kensington,253
Finchley Road,Wembley Park,119
North Harrow,Pinner,0
Debden,Loughton,89
Bow Road,Bromley-by-Bow,180
Aldgate,Liverpool Street,163
Kensal Green,Willesden Junction,0
Moor Park,Rickmansworth,0
Colliers Wood,Tooting Broadway,333
Earls Court,West Brompton,377
Archway,Highgate,277
Ruislip Gardens,South Ruislip,0
Colliers Wood,South Wimbledon,404
Blackfriars,Mansion House,272
Bayswater,Notting Hill Gate,129
Kennington,Waterloo,0
Hyde Park Corner,Knightsbridge,0
Belsize Park,Hampstead,146
Camden Town,Chalk Farm,259
Hillingdon,Ickenham,0
Aldgate East,Whitechapel,123
Cannon Street,Mansion House,53
Bayswater,Paddington,144
Upminster,Upminster Bridge,0
High Street Kensington,Notting Hill Gate,0
Morden,South Wimbledon,0
Baker Street,Great Portland Street,160
Hanger Lane,Perivale,0
Holland Park,Notting Hill Gate,0
Monument,Moorgate,108
Monument,St. Pauls,68
St. Johns Wood,Swiss Cottage,0
Angel,Kings Cross St. Pancras,254
Dagenham East,Dagenham Heathway,360
Archway,Tufnell Park,244
Brent Cross,Hendon Central,64
Hatton Cross,Hounslow West,0
Leytonstone,Snaresbrook,0
Barons Court,West Kensington,120
Lancaster Gate,Marble Arch,0
Mile End,Stepney Green,0
Parsons Green,Putney Bridge,0
Acton Town,South Ealing,114
Caledonian Road,Kings Cross St. Pancras,159
Finchley Road,Swiss Cottage,102
Green Park,Victoria,19
Kentish Town,Tufnell Park,0
Angel,Old Street,89
Chigwell,Grange Hill,14
Finchley Road,West Hampstead,83
Harrow and Wealdstone,Kenton,0
Canning Town,West Ham,598
Bond Street,Marble Arch,76
Balham,Tooting Bec,380
Hounslow Central,Hounslow West,0
Burnt Oak,Colindale,676
Acton Town,Chiswick Park,207
Elm Park,Hornchurch,133
Camden Town,Mornington Crescent,157
Oxford Circus,Tottenham Court Road,0
Rayners Lane,West Harrow,0
Blackfriars,Temple,207
Balham,Clapham South,636
Canada Water,Canary Wharf,1192
Borough,Elephant and Castle,227
Caledonian Road,Holloway Road,89
Battersea Power Station,Nine Elms,160
Green Park,Westminster,22
High Barnet,Totteridge and Whetstone,0
Acton Town,Ealing Common,232
Dollis Hill,Willesden Green,115
Kings Cross St. Pancras,Russell Square,0
Fulham Broadway,West Brompton,193
Preston Road,Wembley Park,0
Buckhurst Hill,Loughton,71
Leyton,Stratford,0
Southfields,Wimbledon Park,0
Bond Street,Oxford Circus,122
Farringdon,Kings Cross St. Pancras,413
Liverpool Street,Moorgate,0
Acton Town,Turnham Green,260
Stratford,West Ham,0
Heathrow Terminal 5,Heathrow Terminals 1 2 3,0
Finchley Central,Mill Hill East,148
Greenford,Perivale,0
Stepney Green,Whitechapel,0
Borough,London Bridge,72
Greenford,Northolt,0
Ruislip,Ruislip Manor,0
Leyton,Leytonstone,0
Chancery Lane,St. Pauls,28
Colindale,Hendon Central,420
Totteridge and Whetstone,Woodside Park,0
Plaistow,Upton Park,0
Barkingside,Newbury Park,36
Earls Court,West Kensington,543
Eastcote,Ruislip Manor,94
East Putney,Putney Bridge,272
Baker Street,Finchley Road,410
Amersham,Chalfont and Latimer,295
Leicester Square,Tottenham Court Road,0
Debden,Theydon Bois,116
Latimer Road,Wood Lane,0
Heathrow Terminal 4,Heathrow Terminals 1 2 3,0
Earls Court,High Street Kensington,540
Baker Street,St. Johns Wood,125
Oxford Circus,Regents Park,0
Neasden,Wembley Park,0
Elephant and Castle,Kennington,269
Barbican,Farringdon,167
Alperton,Park Royal,86
Edgware Road (Bakerloo),Marylebone,39
Bermondsey,Canada Water,495
Redbridge,Wanstead,0
Monument,Tower Hill,104
Holland Park,Shepherds Bush,0
Brixton,Stockwell,1313
Becontree,Dagenham Heathway,312
Ladbroke Grove,Latimer Road,0
Charing Cross,Piccadilly Circus,131
Aldgate East,Liverpool Street,303
Kensal Green,Queens Park,0
Chiswick Park,Turnham Green,86
Ladbroke Grove,Westbourne Park,0
Kingsbury,Queensbury,0
Northwood Hills,Pinner,0
Canons Park,Stanmore,72
Arnos Grove,Bounds Green,427
Euston,Warren Street,404
Camden Town,Kentish Town,130
East Acton,White City,77
Gants Hill,Redbridge,212
Hillingdon,Uxbridge,0
Blackhorse Road,Tottenham Hale,530
Tooting Bec,Tooting Broadway,0
Fairlop,Hainault,32
East Ham,Upton Park,345
Moor Park,Northwood,0
Rayners Lane,South Harrow,0
Finsbury Park,Highbury and Islington,447
Chigwell,Roding Valley,6
Lancaster Gate,Queensway,0
Oakwood,Southgate,0
Stockwell,Vauxhall,0
Arnos Grove,Southgate,253
Hatton Cross,Heathrow Terminal 4,0
Bow Road,Mile End,164
Brent Cross,Golders Green,316
Monument,Waterloo,152
Gants Hill,Newbury Park,216
