Source Station,Target Station,Weight
Burnt Oak,Edgware,479
Paddington,Warwick Avenue,602
Kew Gardens,Richmond,306
Northfields,South Ealing,44
Bond Street,Green Park,164
Gunnersbury,Kew Gardens,145
Arsenal,Finsbury Park,762
Buckhurst Hill,Woodford,182
Gants Hill,Newbury Park,290
Hanger Lane,Perivale,89
Maida Vale,Warwick Avenue,56
Embankment,Temple,66
Bow Road,Bromley-by-Bow,160
Leytonstone,Wanstead,110
Colliers Wood,Tooting Broadway,682
Shepherds Bush Market,Wood Lane,187
Embankment,Westminster,147
Barons Court,West Kensington,201
Moor Park,Rickmansworth,48
Kingsbury,Wembley Park,192
Stamford Brook,Turnham Green,144
Arsenal,Holloway Road,110
Oxford Circus,Warren Street,86
Chalfont and Latimer,Chorleywood,214
Chorleywood,Rickmansworth,83
Bond Street,Marble Arch,83
Goodge Street,Tottenham Court Road,67
Dollis Hill,Willesden Green,250
Hanger Lane,North Acton,148
Clapham North,Stockwell,304
Lancaster Gate,Queensway,105
Turnpike Lane,Wood Green,318
Angel,Old Street,115
Kensal Green,Willesden Junction,167
North Ealing,Park Royal,20
Euston,Kings Cross St. Pancras,1208
Edgware Road (Bakerloo),Paddington,517
Ladbroke Grove,Westbourne Park,99
Heathrow Terminal 5,Heathrow Terminals 1 2 3,331
Monument,Waterloo,639
Buckhurst Hill,Loughton,137
Chiswick Park,Turnham Green,115
Acton Town,Chiswick Park,184
Northwood,Northwood Hills,61
Roding Valley,Woodford,76
High Street Kensington,Notting Hill Gate,129
Oakwood,Southgate,260
Acton Town,South Ealing,139
Leytonstone,Snaresbrook,129
Covent Garden,Leicester Square,110
Acton Town,Turnham Green,326
Gunnersbury,Turnham Green,176
Finchley Road,West Hampstead,250
Monument,St. Pauls,98
Hillingdon,Ickenham,98
Debden,Theydon Bois,121
Monument,London Bridge,823
Aldgate East,Whitechapel,216
Clapham Common,Clapham North,342
Finchley Road,Wembley Park,292
Barking,East Ham,1000
St. Jamess Park,Westminster,47
Bromley-by-Bow,West Ham,174
Canons Park,Stanmore,238
Baker Street,St. Johns Wood,156
Ladbroke Grove,Latimer Road,111
Parsons Green,Putney Bridge,154
Blackfriars,Temple,210
East Acton,White City,115
Earls Court,West Kensington,680
Monument,Cannon Street,112
Goodge Street,Warren Street,38
Gloucester Road,South Kensington,274
Aldgate,Liverpool Street,412
Bermondsey,Canada Water,518
Royal Oak,Westbourne Park,55
Stockwell,Vauxhall,456
East Ham,Upton Park,427
Fairlop,Hainault,95
Mile End,Stepney Green,132
Ruislip Gardens,South Ruislip,94
Epping,Theydon Bois,401
Green Park,Hyde Park Corner,46
Becontree,Upney,145
Totteridge and Whetstone,Woodside Park,217
Ruislip Gardens,West Ruislip,79
Moorgate,Old Street,133
St. Jamess Park,Victoria,243
Leicester Square,Piccadilly Circus,101
Angel,Kings Cross St. Pancras,586
Finchley Central,Mill Hill East,177
Cannon Street,Mansion House,46
Euston Square,Kings Cross St. Pancras,481
Barking,Upney,651
East Putney,Southfields,495
Chigwell,Roding Valley,6
Monument,Moorgate,300
Gants Hill,Redbridge,264
Chancery Lane,Holborn,82
Embankment,Waterloo,460
Kilburn,Willesden Green,186
Blackhorse Road,Tottenham Hale,1056
Shepherds Bush,White City,158
Amersham,Chalfont and Latimer,286
Battersea Power Station,Nine Elms,164
Blackhorse Road,Walthamstow Central,897
Sloane Square,Victoria,312
Rayners Lane,West Harrow,58
Elm Park,Hornchurch,173
Brent Cross,Golders Green,339
Brent Cross,Hendon Central,190
Balham,Tooting Bec,538
Kilburn Park,Maida Vale,88
Belsize Park,Chalk Farm,218
Southfields,Wimbledon Park,352
Hatton Cross,Hounslow West,188
Goldhawk Road,Shepherds Bush Market,231
Moor Park,Northwood,61
Green Park,Oxford Circus,140
Belsize Park,Hampstead,195
Oxford Circus,Regents Park,29
Bow Road,Mile End,244
Croxley,Moor Park,69
Plaistow,Upton Park,156
Green Park,Piccadilly Circus,115
Hounslow Central,Hounslow East,133
Bounds Green,Wood Green,396
Kennington,Nine Elms,85
North Wembley,South Kenton,94
Green Park,Victoria,580
Harrow-on-the-Hill,Northwick Park,84
Grange Hill,Hainault,73
Neasden,Wembley Park,164
Northwood Hills,Pinner,56
Barkingside,Fairlop,81
Elephant and Castle,Kennington,332
Farringdon,Kings Cross St. Pancras,704
Ealing Broadway,West Acton,366
Baker Street,Great Portland Street,147
Baker Street,Marylebone,237
Morden,South Wimbledon,446
Debden,Loughton,148
Barbican,Farringdon,213
Manor House,Turnpike Lane,191
