Source Station,Target Station,Weight
Leytonstone,Snaresbrook,0
Becontree,Dagenham Heathway,317
Embankment,Westminster,86
Dollis Hill,Neasden,81
Stratford,West Ham,0
Aldgate,Tower Hill,120
Chigwell,Roding Valley,1
Green Park,Westminster,9
Barking,Upney,581
Shepherds Bush,White City,0
Blackfriars,Mansion House,249
South Woodford,Woodford,0
Pimlico,Vauxhall,0
Baker Street,Finchley Road,393
Kingsbury,Queensbury,0
Hatton Cross,Hounslow West,0
Ealing Common,North Ealing,58
North Ealing,Park Royal,0
Acton Town,Chiswick Park,180
Colindale,Hendon Central,355
Leicester Square,Tottenham Court Road,0
Hanger Lane,Perivale,0
Kilburn,Willesden Green,0
Shepherds Bush Market,Wood Lane,0
Dagenham East,Dagenham Heathway,354
Goldhawk Road,Shepherds Bush Market,167
Arnos Grove,Southgate,268
Canada Water,Canary Wharf,1203
Hornchurch,Upminster Bridge,0
Oxford Circus,Tottenham Court Road,0
Lambeth North,Waterloo,0
Kilburn Park,Queens Park,0
Covent Garden,Leicester Square,64
Camden Town,Kentish Town,124
Moor Park,Rickmansworth,0
Caledonian Road,Holloway Road,74
Plaistow,Upton Park,0
Ruislip Gardens,West Ruislip,0
Morden,South Wimbledon,0
Edgware Road (Bakerloo),Marylebone,44
Arsenal,Holloway Road,74
Embankment,Temple,82
Harrow-on-the-Hill,North Harrow,0
Knightsbridge,South Kensington,0
Aldgate East,Tower Hill,200
Heathrow Terminal 4,Heathrow Terminals 1 2 3,0
Ruislip,Ruislip Manor,0
Oxford Circus,Regents Park,0
Amersham,Chalfont and Latimer,264
Finchley Central,West Finchley,289
North Wembley,South Kenton,0
Earls Court,High Street Kensington,552
Hounslow East,Osterley,0
Bond Street,Green Park,153
Farringdon,Kings Cross St. Pancras,381
Elm Park,Hornchurch,127
Hyde Park Corner,Knightsbridge,0
Harrow-on-the-Hill,Northwick Park,0
Leyton,Stratford,0
Bow Road,Bromley-by-Bow,183
East Ham,Upton Park,346
Hanger Lane,North Acton,0
Plaistow,West Ham,0
Leytonstone,Wanstead,0
East Acton,North Acton,108
Leyton,Leytonstone,0
Waterloo,Westminster,0
Fulham Broadway,Parsons Green,247
Euston,Kings Cross St. Pancras,811
North Acton,West Acton,0
Kingsbury,Wembley Park,0
Green Park,Hyde Park Corner,6
Charing Cross,Embankment,159
Euston Square,Great Portland Street,119
Fulham Broadway,West Brompton,178
Baker Street,Great Portland Street,166
Barkingside,Newbury Park,48
Totteridge and Whetstone,Woodside Park,0
Bayswater,Paddington,172
Green Park,Piccadilly Circus,12
Cockfosters,Oakwood,255
Gloucester Road,South Kensington,229
Sloane Square,South Kensington,0
Borough,London Bridge,62
Golders Green,Hampstead,240
Greenford,Northolt,0
Greenford,Perivale,0
High Barnet,Totteridge and Whetstone,0
Gants Hill,Redbridge,193
Notting Hill Gate,Queensway,0
Lancaster Gate,Queensway,0
Camden Town,Mornington Crescent,132
London Bridge,Southwark,0
Holland Park,Shepherds Bush,0
East Finchley,Finchley Central,616
Baker Street,Regents Park,99
Bond Street,Oxford Circus,130
Croxley,Watford,24
Colliers Wood,South Wimbledon,466
Acton Town,South Ealing,94
Upminster,Upminster Bridge,0
Kennington,Oval,0
Hatton Cross,Heathrow Terminal 4,0
Moor Park,Northwood,0
Elephant and Castle,Kennington,372
Hillingdon,Uxbridge,0
Euston,Warren Street,466
Hounslow Central,Hounslow East,0
Kennington,Nine Elms,0
Goodge Street,Tottenham Court Road,52
Heathrow Terminal 5,Heathrow Terminals 1 2 3,0
Brent Cross,Golders Green,340
Baker Street,Bond Street,296
Ladbroke Grove,Westbourne Park,0
Hounslow Central,Hounslow West,0
Northfields,South Ealing,0
Gants Hill,Newbury Park,187
Bond Street,Marble Arch,67
Clapham Common,Clapham North,332
Highbury and Islington,Kings Cross St. Pancras,0
Camden Town,Chalk Farm,238
Bermondsey,Canada Water,527
Ravenscourt Park,Stamford Brook,0
Archway,Tufnell Park,248
North Harrow,Pinner,0
Clapham North,Stockwell,215
Rayners Lane,South Harrow,0
Kew Gardens,Richmond,0
Liverpool Street,Moorgate,0
Oval,Stockwell,0
Bermondsey,London Bridge,219
High Street Kensington,Notting Hill Gate,0
Gunnersbury,Turnham Green,0
Redbridge,Wanstead,0
Arnos Grove,Bounds Green,460
Kilburn Park,Maida Vale,0
Monument,Liverpool Street,169
Euston Square,Kings Cross St. Pancras,213
Acton Town,Ealing Common,192
Monument,Cannon Street,140
East Putney,Putney Bridge,278
Leicester Square,Piccadilly Circus,0
Barbican,Farringdon,220
Harlesden,Willesden Junction,0
Earls Court,West Brompton,395
Croxley,Moor Park,39
Barons Court,West Kensington,160
Belsize Park,Hampstead,157
Colliers Wood,Tooting Broadway,306
Green Park,Victoria,15
Belsize Park,Chalk Farm,236
Finchley Road,Swiss Cottage,98
Wimbledon,Wimbledon Park,0
Sloane Square,Victoria,0
Seven Sisters,Tottenham Hale,0
Southfields,Wimbledon Park,0
Canning Town,West Ham,594
Paddington,Royal Oak,0
Fairlop,Hainault,34
Canary Wharf,North Greenwich,793
Becontree,Upney,117
Maida Vale,Warwick Avenue,0
Elephant and Castle,Lambeth North,180
Ruislip Gardens,South Ruislip,0
Finsbury Park,Manor House,563
Brixton,Stockwell,1301
Boston Manor,Osterley,67
Balham,Tooting Bec,412
Debden,Theydon Bois,108
Grange Hill,Hainault,10
Bounds Green,Wood Green,254
Ealing Broadway,Ealing Common,473
Alperton,Park Royal,68
Goodge Street,Warren Street,28
Stamford Brook,Turnham Green,0
Archway,Highgate,293
Oxford Circus,Piccadilly Circus,0
Debden,Loughton,91
Paddington,Warwick Avenue,0
Camden Town,Euston,1179
Monument,London Bridge,103
Alperton,Sudbury Town,62
Kensal Green,Willesden Junction,0
Stepney Green,Whitechapel,0
Northolt,South Ruislip,0
Bow Road,Mile End,144
Mile End,Stepney Green,0
Eastcote,Ruislip Manor,101
Aldgate,Liverpool Street,168
Holborn,Tottenham Court Road,0
Ladbroke Grove,Latimer Road,0
North Wembley,Wembley Central,0
Holborn,Russell Square,0
Earls Court,Gloucester Road,1090
Dagenham East,Elm Park,230
Acton Town,Turnham Green,246
Kilburn,West Hampstead,0
Charing Cross,Leicester Square,117
Finsbury Park,Seven Sisters,609
Latimer Road,Wood Lane,0
Aldgate East,Liverpool Street,322
Burnt Oak,Colindale,702
Northwick Park,Preston Road,0
Chiswick Park,Turnham Green,70
Burnt Oak,Edgware,488
Mile End,Stratford,0
Cannon Street,Mansion House,53
Earls Court,West Kensington,537
Chigwell,Grange Hill,7
Monument,Waterloo,138
Turnpike Lane,Wood Green,0
Moorgate,Old Street,0
Blackhorse Road,Tottenham Hale,606
East Putney,Southfields,320
Manor House,Turnpike Lane,0
Angel,Old Street,116
Baker Street,Marylebone,133
Bethnal Green,Mile End,295
Earls Court,Kensington (Olympia),219
Kings Cross St. Pancras,Russell Square,0
Stockwell,Vauxhall,0
Pimlico,Victoria,0
Northwood Hills,Pinner,0
Kentish Town,Tufnell Park,0
Embankment,Waterloo,129
Arsenal,Finsbury Park,664
Chancery Lane,St. Pauls,26
Sudbury Hill,Sudbury Town,0
Caledonian Road,Kings Cross St. Pancras,185
Barking,East Ham,1006
Tooting Bec,Tooting Broadway,0
Eastcote,Rayners Lane,104
Preston Road,Wembley Park,0
Finchley Central,Mill Hill East,138
Aldgate East,Whitechapel,164
Boston Manor,Northfields,34
Chalfont and Latimer,Chesham,196
Gunnersbury,Kew Gardens,0
Lancaster Gate,Marble Arch,0
Oxford Circus,Warren Street,0
Finsbury Park,Highbury and Islington,420
Hatton Cross,Heathrow Terminals 1 2 3,0
Hillingdon,Ickenham,0
Kenton,South Kenton,0
Dollis Hill,Willesden Green,139
Barkingside,Fairlop,88
Harrow and Wealdstone,Kenton,0
Monument,Tower Hill,98
West Finchley,Woodside Park,0
Blackfriars,Temple,217
Epping,Theydon Bois,435
St. Johns Wood,Swiss Cottage,0
Southwark,Waterloo,0
Ealing Broadway,West Acton,332
Barbican,Moorgate,61
Green Park,Oxford Circus,18
Canons Park,Queensbury,153
East Finchley,Highgate,195
Buckhurst Hill,Woodford,93
Neasden,Wembley Park,0
Roding Valley,Woodford,0
Stonebridge Park,Wembley Central,0
Chorleywood,Rickmansworth,48
Balham,Clapham South,716
Harrow-on-the-Hill,West Harrow,0
Barons Court,Earls Court,934
Covent Garden,Holborn,80
Harlesden,Stonebridge Park,0
Blackhorse Road,Walthamstow Central,444
Bayswater,Notting Hill Gate,133
Battersea Power Station,Nine Elms,164
Kensal Green,Queens Park,0
Monument,Moorgate,117
Buckhurst Hill,Loughton,62
Baker Street,St. Johns Wood,149
Gloucester Road,High Street Kensington,232
Charing Cross,Piccadilly Circus,108
Monument,St. Pauls,41
Ickenham,Ruislip,0
Finchley Road,Wembley Park,142
Euston,Mornington Crescent,504
Bromley-by-Bow,West Ham,141
St. Jamess Park,Victoria,0
East Acton,White City,116
St. Jamess Park,Westminster,0
Chancery Lane,Holborn,51
Canons Park,Stanmore,81
Brent Cross,Hendon Central,73
Northwood,Northwood Hills,0
Edgware Road (Bakerloo),Paddington,124
Finchley Road,West Hampstead,88
Rayners Lane,West Harrow,0
Angel,Kings Cross St. Pancras,279
Oakwood,Southgate,0
Chalfont and Latimer,Chorleywood,204
Borough,Elephant and Castle,261
Canning Town,North Greenwich,489
Snaresbrook,South Woodford,0
South Harrow,Sudbury Hill,0
Parsons Green,Putney Bridge,0
Royal Oak,Westbourne Park,0
Bethnal Green,Liverpool Street,242
Kennington,Waterloo,0
Clapham Common,Clapham South,464
Holland Park,Notting Hill Gate,0
