Source Station,Target Station,Weight
Green Park,Piccadilly Circus,51
Harrow-on-the-Hill,North Harrow,30
Ruislip Gardens,South Ruislip,48
North Wembley,Wembley Central,61
Shepherds Bush Market,Wood Lane,91
Latimer Road,Wood Lane,28
Alperton,Sudbury Town,80
Monument,Liverpool Street,418
Camden Town,Chalk Farm,249
Bethnal Green,Mile End,321
East Finchley,Highgate,220
Ruislip Gardens,West Ruislip,42
Arsenal,Holloway Road,105
Kenton,South Kenton,30
East Putney,Putney Bridge,293
Aldgate,Tower Hill,159
Acton Town,Chiswick Park,193
Bond Street,Oxford Circus,172
Clapham Common,Clapham North,377
Holland Park,Shepherds Bush,37
Leytonstone,Wanstead,42
Plaistow,West Ham,54
East Acton,White City,117
Bromley-by-Bow,West Ham,141
Barkingside,Fairlop,80
Kentish Town,Tufnell Park,50
Kilburn Park,Maida Vale,22
Colliers Wood,Tooting Broadway,493
Debden,Theydon Bois,93
Oval,Stockwell,54
Edgware Road (Bakerloo),Paddington,267
Buckhurst Hill,Woodford,129
Belsize Park,Chalk Farm,242
Cannon Street,Mansion House,40
Monument,Tower Hill,177
Eastcote,Ruislip Manor,94
Stockwell,Vauxhall,154
Upminster,Upminster Bridge,70
Baker Street,Finchley Road,371
Acton Town,Turnham Green,263
Moor Park,Rickmansworth,20
Monument,London Bridge,398
Leicester Square,Piccadilly Circus,37
Lancaster Gate,Queensway,27
Barking,Upney,628
Green Park,Oxford Circus,90
East Acton,North Acton,157
Golders Green,Hampstead,279
Barbican,Moorgate,85
Canons Park,Queensbury,165
High Barnet,Totteridge and Whetstone,84
Harrow-on-the-Hill,Northwick Park,44
Fairlop,Hainault,67
Fulham Broadway,West Brompton,195
Holborn,Tottenham Court Road,35
Roding Valley,Woodford,47
Blackhorse Road,Tottenham Hale,775
Greenford,Northolt,81
Aldgate East,Tower Hill,254
Green Park,Hyde Park Corner,26
Kilburn,West Hampstead,68
Kensal Green,Willesden Junction,55
Rayners Lane,West Harrow,18
Knightsbridge,South Kensington,20
Manor House,Turnpike Lane,78
Moorgate,Old Street,44
Buckhurst Hill,Loughton,101
Northwood Hills,Pinner,40
Boston Manor,Northfields,65
Hornchurch,Upminster Bridge,35
Bayswater,Paddington,310
Chalfont and Latimer,Chesham,215
Colliers Wood,South Wimbledon,488
Dagenham East,Elm Park,212
Burnt Oak,Colindale,701
Grange Hill,Hainault,24
Eastcote,Rayners Lane,99
Leyton,Stratford,162
Blackfriars,Mansion House,239
East Ham,Upton Park,385
Kennington,Oval,21
Monument,Cannon Street,129
North Wembley,South Kenton,26
Caledonian Road,Holloway Road,99
Covent Garden,Leicester Square,84
Baker Street,Marylebone,152
Maida Vale,Warwick Avenue,16
Borough,Elephant and Castle,204
St. Jamess Park,Victoria,107
Kennington,Nine Elms,42
Oakwood,Southgate,89
Bond Street,Marble Arch,112
Brent Cross,Hendon Central,107
Heathrow Terminal 5,Heathrow Terminals 1 2 3,154
Bow Road,Mile End,147
Holborn,Russell Square,25
Arnos Grove,Southgate,292
Ravenscourt Park,Stamford Brook,19
North Acton,West Acton,33
East Putney,Southfields,376
Sloane Square,South Kensington,26
Waterloo,Westminster,157
Bow Road,Bromley-by-Bow,174
Tooting Bec,Tooting Broadway,229
