Source Station,Target Station,Weight
East Finchley,Finchley Central,538
Northwick Park,Preston Road,0
Barbican,Moorgate,46
Alperton,Park Royal,83
Chalfont and Latimer,Chesham,198
Canning Town,West Ham,610
Moor Park,Northwood,0
Northolt,South Ruislip,0
Heathrow Terminal 5,Heathrow Terminals 1 2 3,0
Belsize Park,Hampstead,130
Euston,Warren Street,397
Baker Street,Marylebone,106
Harlesden,Willesden Junction,0
Harlesden,Stonebridge Park,0
Elephant and Castle,Kennington,325
St. Jamess Park,Victoria,0
North Acton,West Acton,0
Aldgate,Liverpool Street,169
Bermondsey,London Bridge,215
Charing Cross,Leicester Square,122
Hounslow Central,Hounslow East,0
Leyton,Stratford,0
Ladbroke Grove,Latimer Road,0
Earls Court,West Brompton,377
Barkingside,Newbury Park,50
Golders Green,Hampstead,244
Canons Park,Stanmore,88
Battersea Power Station,Nine Elms,165
Kennington,Oval,0
Monument,Cannon Street,149
Colindale,Hendon Central,405
Northwood,Northwood Hills,0
Turnpike Lane,Wood Green,0
Northwood Hills,Pinner,0
Gunnersbury,Kew Gardens,0
Edgware Road (Bakerloo),Marylebone,44
Greenford,Northolt,0
East Finchley,Highgate,215
Ealing Broadway,West Acton,354
Oxford Circus,Piccadilly Circus,0
Hounslow Central,Hounslow West,0
Cannon Street,Mansion House,46
Aldgate East,Tower Hill,217
Elm Park,Hornchurch,124
Finsbury Park,Manor House,600
Ravenscourt Park,Stamford Brook,0
Goodge Street,Tottenham Court Road,32
Charing Cross,Piccadilly Circus,111
Clapham Common,Clapham North,372
Archway,Tufnell Park,230
Balham,Tooting Bec,401
Becontree,Dagenham Heathway,320
Barking,East Ham,1036
Fulham Broadway,West Brompton,156
Aldgate East,Whitechapel,165
Lancaster Gate,Marble Arch,0
Harrow-on-the-Hill,West Harrow,0
High Street Kensington,Notting Hill Gate,0
Camden Town,Euston,1190
Finchley Road,West Hampstead,88
Belsize Park,Chalk Farm,229
Camden Town,Chalk Farm,225
Pimlico,Vauxhall,0
Earls Court,Gloucester Road,1067
Chigwell,Grange Hill,10
Alperton,Sudbury Town,64
Chigwell,Roding Valley,5
Hatton Cross,Hounslow West,0
Finsbury Park,Highbury and Islington,445
Arnos Grove,Southgate,262
Buckhurst Hill,Woodford,96
Burnt Oak,Edgware,473
Highbury and Islington,Kings Cross St. Pancras,0
Morden,South Wimbledon,0
Earls Court,High Street Kensington,527
Boston Manor,Osterley,66
Canary Wharf,North Greenwich,858
Green Park,Victoria,3
Barbican,Farringdon,248
Stamford Brook,Turnham Green,0
Kennington,Waterloo,0
Hyde Park Corner,Knightsbridge,0
Ruislip Gardens,West Ruislip,0
Archway,Highgate,267
Borough,Elephant and Castle,242
Blackfriars,Mansion House,278
Goldhawk Road,Shepherds Bush Market,171
Charing Cross,Embankment,164
Kentish Town,Tufnell Park,0
Gunnersbury,Turnham Green,0
Wimbledon,Wimbledon Park,0
Kilburn,West Hampstead,0
Seven Sisters,Tottenham Hale,0
Plaistow,Upton Park,0
Embankment,Temple,77
East Ham,Upton Park,344
Monument,London Bridge,109
Paddington,Warwick Avenue,0
Blackhorse Road,Walthamstow Central,403
Green Park,Hyde Park Corner,3
Earls Court,Kensington (Olympia),268
Sloane Square,Victoria,0
Colliers Wood,Tooting Broadway,331
Farringdon,Kings Cross St. Pancras,415
Ruislip Gardens,South Ruislip,0
Green Park,Westminster,1
Cockfosters,Oakwood,195
Fulham Broadway,Parsons Green,224
Royal Oak,Westbourne Park,0
Southwark,Waterloo,0
Lancaster Gate,Queensway,0
Brent Cross,Hendon Central,92
Finchley Central,West Finchley,292
Mile End,Stepney Green,0
Edgware Road (Bakerloo),Paddington,81
Gants Hill,Newbury Park,218
Hatton Cross,Heathrow Terminal 4,0
Monument,St. Pauls,64
East Putney,Southfields,319
Dagenham East,Dagenham Heathway,298
Parsons Green,Putney Bridge,0
Oxford Circus,Tottenham Court Road,0
Holland Park,Shepherds Bush,0
Croxley,Moor Park,57
Earls Court,West Kensington,545
Rayners Lane,South Harrow,0
Finchley Road,Swiss Cottage,87
London Bridge,Southwark,0
Blackhorse Road,Tottenham Hale,614
Northfields,South Ealing,0
Maida Vale,Warwick Avenue,0
Sloane Square,South Kensington,0
Bermondsey,Canada Water,530
Sudbury Hill,Sudbury Town,0
Chorleywood,Rickmansworth,53
Aldgate,Tower Hill,93
Eastcote,Rayners Lane,104
Lambeth North,Waterloo,0
Snaresbrook,South Woodford,0
Monument,Moorgate,133
Totteridge and Whetstone,Woodside Park,0
Leyton,Leytonstone,0
Barking,Upney,595
Bethnal Green,Mile End,307
Blackfriars,Temple,215
Buckhurst Hill,Loughton,82
Acton Town,Chiswick Park,201
Bond Street,Green Park,132
Camden Town,Kentish Town,123
North Wembley,South Kenton,0
Ickenham,Ruislip,0
Monument,Waterloo,134
Euston Square,Great Portland Street,86
Bayswater,Paddington,162
Chalfont and Latimer,Chorleywood,158
Angel,Old Street,75
Leicester Square,Piccadilly Circus,0
North Ealing,Park Royal,0
Kennington,Nine Elms,0
Gants Hill,Redbridge,201
