Ladbroke Grove,Latimer Road,189
Chigwell,Roding Valley,5
Harrow and Wealdstone,Kenton,293
Greenford,Perivale,184
Harrow-on-the-Hill,Northwick Park,274
Goldhawk Road,Shepherds Bush Market,284
Kilburn,West Hampstead,354
Bond Street,Oxford Circus,193
Notting Hill Gate,Queensway,362
Becontree,Dagenham Heathway,314
Aldgate,Liverpool Street,746
Epping,Theydon Bois,391
Seven Sisters,Tottenham Hale,1108
Mile End,Stepney Green,322
Arsenal,Holloway Road,184
Blackhorse Road,Tottenham Hale,1438
Ladbroke Grove,Westbourne Park,229
Goodge Street,Tottenham Court Road,121
Canning Town,North Greenwich,876
Leyton,Leytonstone,372
Bethnal Green,Mile End,363
Earls Court,High Street Kensington,800
Acton Town,Turnham Green,395
Waterloo,Westminster,737
Alperton,Park Royal,132
Baker Street,Bond Street,207
Blackfriars,Mansion House,262
Green Park,Oxford Circus,248
Debden,Theydon Bois,168
Green Park,Westminster,117
Barbican,Moorgate,159
Euston,Kings Cross St. Pancras,1583
Upminster,Upminster Bridge,418
Hanger Lane,North Acton,300
Hatton Cross,Hounslow West,318
Euston Square,Kings Cross St. Pancras,888
Turnpike Lane,Wood Green,731
Angel,Old Street,230
Aldgate East,Tower Hill,521
Holland Park,Notting Hill Gate,195
Ruislip Gardens,West Ruislip,148
Finsbury Park,Highbury and Islington,655
Snaresbrook,South Woodford,177
Canning Town,West Ham,680
Ruislip,Ruislip Manor,125
Gunnersbury,Turnham Green,315
Elephant and Castle,Kennington,423
Barons Court,Earls Court,883
East Acton,North Acton,242
Clapham Common,Clapham South,436
Becontree,Upney,172
Leicester Square,Piccadilly Circus,169
East Putney,Putney Bridge,452
Hatton Cross,Heathrow Terminals 1 2 3,914
Northwood,Northwood Hills,114
Blackfriars,Temple,175
Oxford Circus,Piccadilly Circus,201
Source Station,Target Station,Weight
Kensal Green,Willesden Junction,307
Earls Court,West Brompton,661
St. Johns Wood,Swiss Cottage,130
Aldgate East,Whitechapel,378
Aldgate East,Tower Hill,468
St. Jamess Park,Westminster,92
Lancaster Gate,Queensway,314
Earls Court,Kensington (Olympia),337
Tooting Bec,Tooting Broadway,867
Hanger Lane,Perivale,194
Ravenscourt Park,Stamford Brook,133
Brent Cross,Hendon Central,292
Canons Park,Stanmore,372
Monument,Waterloo,927
Becontree,Dagenham Heathway,340
Earls Court,West Kensington,838
Barkingside,Newbury Park,235
Euston,Kings Cross St. Pancras,1623
Plaistow,West Ham,281
Finsbury Park,Highbury and Islington,700
St. Jamess Park,Victoria,553
Ealing Broadway,West Acton,343
Kilburn,West Hampstead,390
Acton Town,South Ealing,249
East Putney,Southfields,676
Burnt Oak,Colindale,742
Monument,Moorgate,425
Arsenal,Holloway Road,194
Dagenham East,Elm Park,204
Rayners Lane,West Harrow,121
Covent Garden,Holborn,169
Southwark,Waterloo,536
Holborn,Tottenham Court Road,289
Colliers Wood,South Wimbledon,620
Kenton,South Kenton,180
Kensal Green,Queens Park,304
East Acton,White City,199
Chigwell,Roding Valley,7
Pimlico,Vauxhall,497
Highbury and Islington,Kings Cross St. Pancras,1018
Parsons Green,Putney Bridge,355
Ladbroke Grove,Westbourne Park,216
Maida Vale,Warwick Avenue,153
Ruislip,Ruislip Manor,144
Kilburn,Willesden Green,413
Manor House,Turnpike Lane,463
Wimbledon,Wimbledon Park,1493
North Acton,West Acton,169
Edgware Road (Bakerloo),Marylebone,168
Edgware Road (Bakerloo),Paddington,1062
Chalfont and Latimer,Chesham,145
Baker Street,Regents Park,123
Embankment,Waterloo,819
Ruislip Gardens,West Ruislip,162
Hillingdon,Ickenham,209
Leytonstone,Snaresbrook,233
Gants Hill,Redbridge,328
Eastcote,Ruislip Manor,135
Turnpike Lane,Wood Green,614
Roding Valley,Woodford,170
Kennington,Nine Elms,234
Latimer Road,Wood Lane,172
Hounslow Central,Hounslow East,256
Ickenham,Ruislip,111
Totteridge and Whetstone,Woodside Park,327
Sloane Square,Victoria,601
Northwick Park,Preston Road,92
Paddington,Warwick Avenue,1188
Elephant and Castle,Lambeth North,228
Lancaster Gate,Marble Arch,213
Oxford Circus,Piccadilly Circus,226
Euston,Mornington Crescent,491
Leicester Square,Piccadilly Circus,172
Golders Green,Hampstead,348
Belsize Park,Chalk Farm,178
Bow Road,Mile End,319
Elm Park,Hornchurch,180
Barking,East Ham,990
Angel,Kings Cross St. Pancras,994
Becontree,Upney,177
Fulham Broadway,West Brompton,294
Buckhurst Hill,Loughton,190
Baker Street,Great Portland Street,154
Clapham Common,Clapham South,422
Greenford,Perivale,156
Stamford Brook,Turnham Green,228
Acton Town,Turnham Green,393
Redbridge,Wanstead,147
Baker Street,Marylebone,369
Kingsbury,Wembley Park,402
North Wembley,Wembley Central,258
Mile End,Stepney Green,301
Canning Town,North Greenwich,948
Heathrow Terminal 5,Heathrow Terminals 1 2 3,575
Bond Street,Green Park,159
Goldhawk Road,Shepherds Bush Market,289
Burnt Oak,Edgware,429
Holborn,Russell Square,250
Knightsbridge,South Kensington,221
Hornchurch,Upminster Bridge,142
Holland Park,Shepherds Bush,322
Acton Town,Ealing Common,229
Arsenal,Finsbury Park,649
Canada Water,Canary Wharf,1073
Boston Manor,Northfields,146
Leicester Square,Tottenham Court Road,247
Hounslow East,Osterley,216
Oxford Circus,Warren Street,178
Finchley Central,West Finchley,337
Leytonstone,Wanstead,270
Alperton,Sudbury Town,133
Sloane Square,South Kensington,209
Kennington,Oval,183
Boston Manor,Osterley,152
Bow Road,Bromley-by-Bow,146
Southfields,Wimbledon Park,537
Debden,Theydon Bois,154
Gloucester Road,South Kensington,379
Cockfosters,Oakwood,303
Neasden,Wembley Park,362
Greenford,Northolt,354
Bethnal Green,Liverpool Street,681
Finchley Central,Mill Hill East,229
Liverpool Street,Moorgate,1089
Hatton Cross,Hounslow West,364
Preston Road,Wembley Park,292
Monument,St. Pauls,127
Kew Gardens,Richmond,670
Grange Hill,Hainault,107
Leyton,Leytonstone,421
Kilburn Park,Queens Park,287
Baker Street,Finchley Road,337
Earls Court,Gloucester Road,952
Hanger Lane,North Acton,281
Chalfont and Latimer,Chorleywood,182
Gants Hill,Newbury Park,417
East Ham,Upton Park,663
Oxford Circus,Tottenham Court Road,343
Balham,Tooting Bec,675
Ruislip Gardens,South Ruislip,159
Canning Town,West Ham,640
Finchley Road,West Hampstead,290
Waterloo,Westminster,747
Oakwood,Southgate,467
Barkingside,Fairlop,67
Sudbury Hill,Sudbury Town,98
Canary Wharf,North Greenwich,1249
West Finchley,Woodside Park,199
Farringdon,Kings Cross St. Pancras,1136
Archway,Highgate,478
East Finchley,Finchley Central,560
Bayswater,Notting Hill Gate,236
East Finchley,Highgate,350
Balham,Clapham South,630
Oxford Circus,Regents Park,76
Kennington,Waterloo,908
Embankment,Temple,92
Colliers Wood,Tooting Broadway,978
Hyde Park Corner,Knightsbridge,75
Green Park,Westminster,154
Finsbury Park,Seven Sisters,1153
Monument,Tower Hill,469
Holland Park,Notting Hill Gate,186
Euston,Warren Street,425
Royal Oak,Westbourne Park,123
Euston Square,Great Portland Street,97
Paddington,Royal Oak,1137
Colindale,Hendon Central,625
Moor Park,Northwood,98
Embankment,Westminster,162
High Street Kensington,Notting Hill Gate,223
Hounslow Central,Hounslow West,270
Harrow and Wealdstone,Kenton,364
Buckhurst Hill,Woodford,243
Stepney Green,Whitechapel,247
Dollis Hill,Neasden,165
Goodge Street,Warren Street,77
Stratford,West Ham,1292
Bounds Green,Wood Green,586
Chancery Lane,St. Pauls,65
Chorleywood,Rickmansworth,106
Blackhorse Road,Tottenham Hale,1496
Blackhorse Road,Walthamstow Central,1507
Green Park,Hyde Park Corner,75
Dollis Hill,Willesden Green,341
Battersea Power Station,Nine Elms,181
Gunnersbury,Turnham Green,303
Harrow-on-the-Hill,West Harrow,198
Monument,London Bridge,1411
Harrow-on-the-Hill,Northwick Park,246
Croxley,Moor Park,58
Eastcote,Rayners Lane,202
Moorgate,Old Street,357
Aldgate East,Liverpool Street,1141
Kentish Town,Tufnell Park,254
Northolt,South Ruislip,301
Borough,London Bridge,710
Epping,Theydon Bois,424
Camden Town,Mornington Crescent,166
Harlesden,Stonebridge Park,151
Morden,South Wimbledon,927
Earls Court,High Street Kensington,787
Bromley-by-Bow,West Ham,221
Aldgate,Tower Hill,285
Clapham North,Stockwell,390
Blackfriars,Temple,188
Finsbury Park,Manor House,789
Monument,Cannon Street,141
Bond Street,Marble Arch,142
Snaresbrook,South Woodford,185
Ealing Broadway,Ealing Common,444
Green Park,Victoria,994
Camden Town,Chalk Farm,249
Gunnersbury,Kew Gardens,265
Camden Town,Kentish Town,319
Euston Square,Kings Cross St. Pancras,844
Monument,Liverpool Street,1410
Shepherds Bush,White City,452
Baker Street,Bond Street,225
Kilburn Park,Maida Vale,221
Harlesden,Willesden Junction,253
Charing Cross,Embankment,154
Ealing Common,North Ealing,70
Fulham Broadway,Parsons Green,351
Charing Cross,Leicester Square,224
High Barnet,Totteridge and Whetstone,363
Stockwell,Vauxhall,1045
North Harrow,Pinner,136
Debden,Loughton,260
Green Park,Piccadilly Circus,158
Northfields,South Ealing,181
Lambeth North,Waterloo,533
Barbican,Farringdon,197
Seven Sisters,Tottenham Hale,1051
Green Park,Oxford Circus,247
Caledonian Road,Holloway Road,193
East Putney,Putney Bridge,473
Dagenham East,Dagenham Heathway,313
Barons Court,West Kensington,251
Blackfriars,Mansion House,271
Baker Street,St. Johns Wood,270
Brixton,Stockwell,1336
Hatton Cross,Heathrow Terminals 1 2 3,921
Moor Park,Rickmansworth,60
Bermondsey,Canada Water,471
Bond Street,Oxford Circus,205
Elephant and Castle,Kennington,400
Belsize Park,Hampstead,211
Upminster,Upminster Bridge,347
London Bridge,Southwark,748
Alperton,Park Royal,129
Chigwell,Grange Hill,13
Mile End,Stratford,1374
Archway,Tufnell Park,385
East Acton,North Acton,287
Finchley Road,Wembley Park,451
Stonebridge Park,Wembley Central,266
Bayswater,Paddington,1008
Canons Park,Queensbury,284
Chancery Lane,Holborn,132
Aldgate,Liverpool Street,724
Harrow-on-the-Hill,North Harrow,258
Camden Town,Euston,973
Shepherds Bush Market,Wood Lane,347
Northwood Hills,Pinner,134
Angel,Old Street,255
Arnos Grove,Bounds Green,430
Goodge Street,Tottenham Court Road,153
Bethnal Green,Mile End,456
Cannon Street,Mansion House,70
Borough,Elephant and Castle,225
Northwood,Northwood Hills,112
Heathrow Terminal 4,Heathrow Terminals 1 2 3,612
Oval,Stockwell,283
Barbican,Moorgate,206
Kingsbury,Queensbury,198
Leyton,Stratford,835
Rayners Lane,South Harrow,151
Acton Town,Chiswick Park,168
Hatton Cross,Heathrow Terminal 4,280
Plaistow,Upton Park,300
North Wembley,South Kenton,119
Covent Garden,Leicester Square,147
Caledonian Road,Kings Cross St. Pancras,1021
Barking,Upney,625
Hillingdon,Uxbridge,498
South Woodford,Woodford,323
Amersham,Chalfont and Latimer,293
Clapham Common,Clapham North,319
Kings Cross St. Pancras,Russell Square,923
Chiswick Park,Turnham Green,162
Notting Hill Gate,Queensway,332
South Harrow,Sudbury Hill,110
Finchley Road,Swiss Cottage,221
Arnos Grove,Southgate,465
Fairlop,Hainault,149
Pimlico,Victoria,759
Gloucester Road,High Street Kensington,339
Bermondsey,London Bridge,975
Brent Cross,Golders Green,346
Croxley,Watford,122
North Ealing,Park Royal,75
Charing Cross,Piccadilly Circus,200
Barons Court,Earls Court,882
Ladbroke Grove,Latimer Road,236
Source Station,Target Station,Weight
Finchley Central,Mill Hill East,254
Ruislip Gardens,South Ruislip,178
Acton Town,Ealing Common,192
Camden Town,Kentish Town,322
Harrow-on-the-Hill,North Harrow,247
Totteridge and Whetstone,Woodside Park,317
Canary Wharf,North Greenwich,1281
Debden,Loughton,214
Hanger Lane,North Acton,290
Charing Cross,Piccadilly Circus,177
Hounslow Central,Hounslow East,277
Ravenscourt Park,Stamford Brook,121
Blackhorse Road,Tottenham Hale,1528
Kennington,Nine Elms,198
Monument,St. Pauls,128
Seven Sisters,Tottenham Hale,1028
Acton Town,Chiswick Park,163
Bond Street,Marble Arch,124
Green Park,Hyde Park Corner,67
Kensal Green,Queens Park,276
Archway,Tufnell Park,383
Bond Street,Oxford Circus,211
Bounds Green,Wood Green,579
Upminster,Upminster Bridge,375
Hounslow Central,Hounslow West,277
Borough,London Bridge,713
Greenford,Northolt,369
Tooting Bec,Tooting Broadway,861
Embankment,Westminster,166
Baker Street,Finchley Road,357
Pimlico,Vauxhall,481
Greenford,Perivale,204
Euston Square,Great Portland Street,100
Cockfosters,Oakwood,331
Brixton,Stockwell,1352
Aldgate East,Whitechapel,386
Camden Town,Euston,1014
Paddington,Royal Oak,1169
High Barnet,Totteridge and Whetstone,349
Cannon Street,Mansion House,59
Finsbury Park,Manor House,824
Camden Town,Chalk Farm,217
Barons Court,Earls Court,867
Elephant and Castle,Lambeth North,236
Croxley,Watford,105
St. Jamess Park,Westminster,130
Camden Town,Mornington Crescent,168
Acton Town,South Ealing,222
Earls Court,Gloucester Road,1029
Gunnersbury,Kew Gardens,323
Dagenham East,Dagenham Heathway,298
Monument,Moorgate,438
Kew Gardens,Richmond,676
Boston Manor,Northfields,166
Angel,Old Street,205
Finchley Road,Wembley Park,451
Gloucester Road,South Kensington,363
Turnpike Lane,Wood Green,701
London Bridge,Southwark,734
Colliers Wood,South Wimbledon,616
Stepney Green,Whitechapel,240
Monument,Tower Hill,526
Monument,London Bridge,1400
East Finchley,Highgate,397
Aldgate East,Liverpool Street,1100
Kingsbury,Queensbury,197
Green Park,Piccadilly Circus,130
Goodge Street,Tottenham Court Road,133
Baker Street,Great Portland Street,152
Hatton Cross,Hounslow West,338
Embankment,Temple,81
Leyton,Stratford,851
Clapham Common,Clapham North,323
Eastcote,Rayners Lane,182
Alperton,Sudbury Town,138
Oxford Circus,Piccadilly Circus,184
Acton Town,Turnham Green,375
Notting Hill Gate,Queensway,322
Aldgate,Tower Hill,301
Sloane Square,South Kensington,230
Hillingdon,Ickenham,202
Stonebridge Park,Wembley Central,253
Moor Park,Rickmansworth,72
Northwick Park,Preston Road,106
Chorleywood,Rickmansworth,111
Burnt Oak,Colindale,611
Ladbroke Grove,Westbourne Park,248
Gunnersbury,Turnham Green,281
Maida Vale,Warwick Avenue,149
Becontree,Dagenham Heathway,308
Lancaster Gate,Queensway,278
Covent Garden,Leicester Square,118
Leytonstone,Snaresbrook,260
Lambeth North,Waterloo,563
Angel,Kings Cross St. Pancras,1045
Farringdon,Kings Cross St. Pancras,1194
Holland Park,Shepherds Bush,308
Fairlop,Hainault,149
Oxford Circus,Tottenham Court Road,326
Finchley Road,Swiss Cottage,219
Kennington,Waterloo,903
Kilburn,Willesden Green,430
Dollis Hill,Willesden Green,343
Elm Park,Hornchurch,180
Harrow-on-the-Hill,Northwick Park,261
Neasden,Wembley Park,352
Canning Town,West Ham,726
Buckhurst Hill,Woodford,246
Northfields,South Ealing,173
Edgware Road (Bakerloo),Paddington,1042
Baker Street,Regents Park,94
Aldgate,Liverpool Street,716
Euston,Kings Cross St. Pancras,1607
Bow Road,Bromley-by-Bow,134
Bromley-by-Bow,West Ham,205
Southwark,Waterloo,548
Ealing Broadway,West Acton,339
Balham,Clapham South,597
Arnos Grove,Southgate,445
Barons Court,West Kensington,278
Monument,Liverpool Street,1411
Royal Oak,Westbourne Park,115
Blackfriars,Temple,213
Leicester Square,Piccadilly Circus,175
Aldgate East,Tower Hill,455
Chigwell,Grange Hill,12
Euston,Warren Street,417
Sudbury Hill,Sudbury Town,129
North Harrow,Pinner,124
Hanger Lane,Perivale,172
Arnos Grove,Bounds Green,475
St. Johns Wood,Swiss Cottage,129
Holland Park,Notting Hill Gate,146
Baker Street,St. Johns Wood,234
Bermondsey,Canada Water,474
Boston Manor,Osterley,140
Holborn,Tottenham Court Road,295
Oval,Stockwell,306
Kensal Green,Willesden Junction,317
Paddington,Warwick Avenue,1218
Stamford Brook,Turnham Green,231
Belsize Park,Hampstead,231
Ealing Broadway,Ealing Common,455
Burnt Oak,Edgware,517
Roding Valley,Woodford,136
Rayners Lane,South Harrow,168
Alperton,Park Royal,140
Waterloo,Westminster,759
Canning Town,North Greenwich,880
Goodge Street,Warren Street,68
Hyde Park Corner,Knightsbridge,61
East Acton,North Acton,266
Green Park,Westminster,167
Ruislip Gardens,West Ruislip,129
North Wembley,Wembley Central,261
Brent Cross,Hendon Central,292
Gants Hill,Newbury Park,402
Ruislip,Ruislip Manor,134
Baker Street,Bond Street,258
Bermondsey,London Bridge,927
Green Park,Victoria,912
Liverpool Street,Moorgate,1101
Parsons Green,Putney Bridge,351
Kennington,Oval,162
Barking,East Ham,949
Covent Garden,Holborn,170
Oakwood,Southgate,476
East Putney,Southfields,519
Heathrow Terminal 4,Heathrow Terminals 1 2 3,604
Snaresbrook,South Woodford,157
North Acton,West Acton,181
East Putney,Putney Bridge,452
Buckhurst Hill,Loughton,176
Kingsbury,Wembley Park,374
Becontree,Upney,179
Clapham North,Stockwell,396
Preston Road,Wembley Park,292
Borough,Elephant and Castle,239
Brent Cross,Golders Green,305
Mile End,Stratford,1346
Baker Street,Marylebone,360
Arsenal,Finsbury Park,650
East Acton,White City,171
Leicester Square,Tottenham Court Road,270
Plaistow,Upton Park,294
Archway,Highgate,435
North Wembley,South Kenton,131
Edgware Road (Bakerloo),Marylebone,207
Barbican,Farringdon,196
Amersham,Chalfont and Latimer,276
Rayners Lane,West Harrow,116
Stratford,West Ham,1285
Leyton,Leytonstone,448
Hornchurch,Upminster Bridge,123
West Finchley,Woodside Park,184
Colliers Wood,Tooting Broadway,867
Colindale,Hendon Central,612
Earls Court,West Kensington,824
South Woodford,Woodford,305
Chalfont and Latimer,Chesham,165
Ickenham,Ruislip,125
Kenton,South Kenton,200
Sloane Square,Victoria,633
Epping,Theydon Bois,427
South Harrow,Sudbury Hill,102
Goldhawk Road,Shepherds Bush Market,297
Hounslow East,Osterley,214
Balham,Tooting Bec,664
Debden,Theydon Bois,114
Dollis Hill,Neasden,151
Leytonstone,Wanstead,235
Finchley Central,West Finchley,328
High Street Kensington,Notting Hill Gate,287
Barkingside,Newbury Park,243
Harrow and Wealdstone,Kenton,309
Monument,Cannon Street,127
Wimbledon,Wimbledon Park,1567
Clapham Common,Clapham South,491
Bond Street,Green Park,170
Charing Cross,Embankment,155
Blackhorse Road,Walthamstow Central,1482
Barbican,Moorgate,187
Kilburn Park,Queens Park,334
Knightsbridge,South Kensington,210
Kilburn Park,Maida Vale,216
North Ealing,Park Royal,75
Kilburn,West Hampstead,355
Croxley,Moor Park,53
Charing Cross,Leicester Square,205
Oxford Circus,Warren Street,181
Kentish Town,Tufnell Park,261
Fulham Broadway,West Brompton,268
Chiswick Park,Turnham Green,143
Earls Court,West Brompton,711
Canada Water,Canary Wharf,1020
Mile End,Stepney Green,343
Bethnal Green,Mile End,502
Fulham Broadway,Parsons Green,336
Morden,South Wimbledon,927
Bayswater,Paddington,1003
Earls Court,Kensington (Olympia),344
Dagenham East,Elm Park,218
Northolt,South Ruislip,348
Finsbury Park,Highbury and Islington,723
Redbridge,Wanstead,175
Caledonian Road,Holloway Road,167
Southfields,Wimbledon Park,558
Finchley Road,West Hampstead,303
Battersea Power Station,Nine Elms,246
Belsize Park,Chalk Farm,198
Finsbury Park,Seven Sisters,1106
Chigwell,Roding Valley,9
Highbury and Islington,Kings Cross St. Pancras,1033
Grange Hill,Hainault,135
Chancery Lane,St. Pauls,46
Manor House,Turnpike Lane,448
Blackfriars,Mansion House,256
Caledonian Road,Kings Cross St. Pancras,965
Chancery Lane,Holborn,126
Gants Hill,Redbridge,316
Harlesden,Stonebridge Park,151
Pimlico,Victoria,736
Canons Park,Queensbury,274
Euston,Mornington Crescent,466
Arsenal,Holloway Road,169
Shepherds Bush Market,Wood Lane,323
Hatton Cross,Heathrow Terminals 1 2 3,869
Hatton Cross,Heathrow Terminal 4,271
Harlesden,Willesden Junction,297
Eastcote,Ruislip Manor,124
