Source Station,Target Station,Weight
Croxley,Moor Park,58
Oxford Circus,Warren Street,159
Paddington,Warwick Avenue,1188
Parsons Green,Putney Bridge,325
Ealing Common,North Ealing,56
Caledonian Road,Kings Cross St. Pancras,943
Oxford Circus,Tottenham Court Road,284
Finchley Road,Wembley Park,474
Hounslow Central,Hounslow West,266
Colindale,Hendon Central,641
Caledonian Road,Holloway Road,182
Moor Park,Rickmansworth,81
Bow Road,Bromley-by-Bow,170
High Street Kensington,Notting Hill Gate,263
Canary Wharf,North Greenwich,1212
Ealing Broadway,West Acton,331
Oval,Stockwell,250
North Harrow,Pinner,120
Kenton,South Kenton,170
Covent Garden,Holborn,155
Bond Street,Marble Arch,112
Clapham Common,Clapham North,317
Earls Court,West Brompton,676
Kew Gardens,Richmond,675
Earls Court,Kensington (Olympia),310
Harrow-on-the-Hill,West Harrow,203
Hounslow Central,Hounslow East,267
Earls Court,Gloucester Road,1025
Rayners Lane,West Harrow,90
Fairlop,Hainault,162
Southfields,Wimbledon Park,560
Tooting Bec,Tooting Broadway,884
South Woodford,Woodford,327
Bermondsey,Canada Water,470
Greenford,Northolt,372
Camden Town,Chalk Farm,238
Finchley Road,West Hampstead,272
Balham,Clapham South,593
Hornchurch,Upminster Bridge,132
Heathrow Terminal 5,Heathrow Terminals 1 2 3,587
Barbican,Farringdon,216
Covent Garden,Leicester Square,126
Battersea Power Station,Nine Elms,201
Croxley,Watford,105
Euston,Warren Street,420
Canada Water,Canary Wharf,1112
Sloane Square,South Kensington,226
Northwick Park,Preston Road,106
Hillingdon,Uxbridge,530
Kennington,Oval,188
Cockfosters,Oakwood,308
Sloane Square,Victoria,650
Edgware Road (Bakerloo),Paddington,1010
Golders Green,Hampstead,347
Acton Town,Chiswick Park,175
Camden Town,Euston,1037
Knightsbridge,South Kensington,226
Monument,Moorgate,470
Monument,St. Pauls,101
Monument,Tower Hill,492
Arsenal,Finsbury Park,674
Lancaster Gate,Marble Arch,198
East Finchley,Highgate,377
Moorgate,Old Street,354
Bethnal Green,Liverpool Street,787
Barkingside,Fairlop,81
Morden,South Wimbledon,841
Dagenham East,Elm Park,193
Brent Cross,Hendon Central,292
Lambeth North,Waterloo,549
Holborn,Tottenham Court Road,286
Charing Cross,Piccadilly Circus,196
Northfields,South Ealing,148
Redbridge,Wanstead,142
Dollis Hill,Neasden,147
Oxford Circus,Regents Park,59
East Acton,White City,187
Borough,Elephant and Castle,209
Kingsbury,Wembley Park,346
North Wembley,Wembley Central,228
Monument,Liverpool Street,1420
Gloucester Road,High Street Kensington,360
North Acton,West Acton,185
Ealing Broadway,Ealing Common,417
Monument,Waterloo,937
Hillingdon,Ickenham,195
Neasden,Wembley Park,373
Leyton,Stratford,866
Grange Hill,Hainault,123
Debden,Loughton,184
Acton Town,Ealing Common,198
Mile End,Stratford,1299
Roding Valley,Woodford,168
Green Park,Hyde Park Corner,76
Burnt Oak,Colindale,674
North Ealing,Park Royal,63
Belsize Park,Hampstead,223
Green Park,Piccadilly Circus,164
Ickenham,Ruislip,112
Baker Street,Regents Park,90
Aldgate,Tower Hill,289
Stockwell,Vauxhall,964
Bounds Green,Wood Green,575
Oakwood,Southgate,427
East Finchley,Finchley Central,522
Chalfont and Latimer,Chesham,183
Sudbury Hill,Sudbury Town,100
South Harrow,Sudbury Hill,86
Bayswater,Notting Hill Gate,249
Chalfont and Latimer,Chorleywood,206
Eastcote,Rayners Lane,184
Kennington,Waterloo,1043
Stamford Brook,Turnham Green,234
Barons Court,West Kensington,255
Wimbledon,Wimbledon Park,1479
Gants Hill,Newbury Park,426
Baker Street,Finchley Road,375
Baker Street,Great Portland Street,122
Stratford,West Ham,1304
Edgware Road (Bakerloo),Marylebone,200
Blackhorse Road,Walthamstow Central,1510
Chigwell,Grange Hill,5
West Finchley,Woodside Park,185
Stepney Green,Whitechapel,242
Elephant and Castle,Lambeth North,234
Kilburn Park,Maida Vale,214
Southwark,Waterloo,562
Balham,Tooting Bec,632
Kennington,Nine Elms,224
Chancery Lane,Holborn,119
Kingsbury,Queensbury,213
Baker Street,St. Johns Wood,280
Alperton,Sudbury Town,116
Bond Street,Green Park,176
Shepherds Bush Market,Wood Lane,324
Arnos Grove,Bounds Green,380
London Bridge,Southwark,753
Archway,Highgate,408
Finchley Road,Swiss Cottage,230
Aldgate East,Liverpool Street,1128
East Ham,Upton Park,611
Borough,London Bridge,698
Finsbury Park,Manor House,832
Acton Town,South Ealing,192
Aldgate East,Whitechapel,352
Belsize Park,Chalk Farm,220
Gunnersbury,Kew Gardens,271
Fulham Broadway,Parsons Green,321
Buckhurst Hill,Loughton,184
Finchley Central,West Finchley,328
Archway,Tufnell Park,432
Northolt,South Ruislip,371
Royal Oak,Westbourne Park,125
Preston Road,Wembley Park,315
Harlesden,Stonebridge Park,194
Euston,Mornington Crescent,498
Hyde Park Corner,Knightsbridge,52
Hounslow East,Osterley,234
Holborn,Russell Square,264
Fulham Broadway,West Brompton,275
St. Johns Wood,Swiss Cottage,153
Monument,Cannon Street,108
Brent Cross,Golders Green,355
Embankment,Waterloo,808
Heathrow Terminal 4,Heathrow Terminals 1 2 3,623
Kensal Green,Queens Park,277
Pimlico,Vauxhall,495
Harlesden,Willesden Junction,280
Liverpool Street,Moorgate,1175
Gloucester Road,South Kensington,334
Hatton Cross,Heathrow Terminal 4,281
North Wembley,South Kenton,151
Totteridge and Whetstone,Woodside Park,314
Camden Town,Kentish Town,272
Finsbury Park,Seven Sisters,1143
Bromley-by-Bow,West Ham,213
Leytonstone,Wanstead,266
Latimer Road,Wood Lane,188
Camden Town,Mornington Crescent,172
Shepherds Bush,White City,442
Barkingside,Newbury Park,234
Northwood Hills,Pinner,111
Green Park,Victoria,926
Goodge Street,Warren Street,55
Maida Vale,Warwick Avenue,139
Pimlico,Victoria,711
Highbury and Islington,Kings Cross St. Pancras,1118
Bow Road,Mile End,338
Kilburn,Willesden Green,421
Barking,Upney,702
Kentish Town,Tufnell Park,253
Embankment,Temple,73
Leicester Square,Tottenham Court Road,271
Earls Court,West Kensington,808
Holland Park,Shepherds Bush,290
Stonebridge Park,Wembley Central,307
Hanger Lane,Perivale,171
Lancaster Gate,Queensway,309
Angel,Kings Cross St. Pancras,957
Embankment,Westminster,159
Farringdon,Kings Cross St. Pancras,1142
Brixton,Stockwell,1384
St. Jamess Park,Westminster,105
Kings Cross St. Pancras,Russell Square,974
Colliers Wood,Tooting Broadway,964
Rayners Lane,South Harrow,149
Ravenscourt Park,Stamford Brook,155
Gants Hill,Redbridge,311
Boston Manor,Osterley,166
Harrow-on-the-Hill,North Harrow,240
Elm Park,Hornchurch,181
Monument,London Bridge,1369
Manor House,Turnpike Lane,473
Canons Park,Queensbury,258
Boston Manor,Northfields,158
Chorleywood,Rickmansworth,111
High Barnet,Totteridge and Whetstone,390
Clapham North,Stockwell,435
Plaistow,West Ham,240
Baker Street,Marylebone,357
Kensal Green,Willesden Junction,322
Burnt Oak,Edgware,508
Paddington,Royal Oak,1151
Cannon Street,Mansion House,85
Leytonstone,Snaresbrook,255
Euston Square,Great Portland Street,103
Canons Park,Stanmore,383
Buckhurst Hill,Woodford,252
Charing Cross,Leicester Square,173
Finchley Central,Mill Hill East,257
Barking,East Ham,930
Kilburn Park,Queens Park,320
Dollis Hill,Willesden Green,340
Bayswater,Paddington,1074
Bermondsey,London Bridge,936
St. Jamess Park,Victoria,483
Plaistow,Upton Park,346
Dagenham East,Dagenham Heathway,310
Moor Park,Northwood,86
Colliers Wood,South Wimbledon,595
Charing Cross,Embankment,142
Arnos Grove,Southgate,454
Chiswick Park,Turnham Green,178
East Putney,Southfields,615
Amersham,Chalfont and Latimer,267
Eastcote,Ruislip Manor,141
Ruislip Gardens,South Ruislip,181
Chancery Lane,St. Pauls,55
